episode,steps,actions,episode_reward
1,437,243,1.0000000000001564e-08
2,474,274,1.0000000000001678e-08
3,1232,688,1.0000000000004402e-08
4,112,65,1.0000000000000396e-08
5,206,113,1.0000000000000745e-08
6,504,271,1.0000000000001823e-08
7,18,13,1.0000000000000051e-08
8,840,441,1.0000000000003077e-08
9,249,121,1.0000000000000938e-08
10,1956,517,1.0000000000003354e-08
11,251,3,1.0000000000000015e-08
12,113,3,1.0000000000000025e-08
13,655,3,1.000000000000002e-08
14,742,7,1.000000000000004e-08
15,461,3,1.000000000000003e-08
16,1217,2,1.000000000000001e-08
17,471,4,1.0000000000000045e-08
18,62,3,1.0000000000000025e-08
19,2033,6,1.000000000000007e-08
20,341,15,1.0000000000000048e-08
21,145,15,1.0000000000000095e-08
22,606,350,1.000000000000215e-08
23,928,521,1.0000000000003271e-08
24,686,394,1.0000000000002402e-08
25,610,157,1.0000000000000928e-08
26,413,3,1.000000000000002e-08
27,371,10,1.0000000000000035e-08
28,510,3,1.0000000000000035e-08
29,348,3,1.0000000000000015e-08
30,380,3,1.000000000000004e-08
31,19,14,1.000000000000002e-08
32,304,4,1.0000000000000025e-08
33,746,3,1.0000000000000015e-08
34,1560,6,1.000000000000004e-08
35,29,12,1.0000000000000104e-08
36,112,54,1.000000000000046e-08
37,944,467,1.0000000000004566e-08
38,365,179,1.0000000000001747e-08
39,418,224,1.0000000000001942e-08
40,19,14,1.0000000000000042e-08
41,113,51,1.0000000000000541e-08
42,507,248,1.0000000000002437e-08
43,2090,995,1.0000000000010128e-08
44,283,138,1.000000000000128e-08
45,1400,905,1.0000000000006523e-08
46,51,26,1.0000000000000209e-08
47,425,283,1.0000000000002078e-08
48,143,76,1.0000000000000576e-08
49,50,36,1.0000000000000214e-08
50,677,358,1.0000000000002991e-08
51,830,403,1.0000000000003976e-08
52,560,341,1.0000000000002745e-08
53,19,15,1.0000000000000045e-08
54,143,71,1.000000000000066e-08
55,822,407,1.0000000000003678e-08
56,914,651,1.0000000000004143e-08
57,37,24,1.0000000000000104e-08
58,142,74,1.0000000000000477e-08
59,658,409,1.000000000000315e-08
60,154,98,1.000000000000054e-08
61,411,217,1.0000000000002e-08
62,948,521,1.0000000000004475e-08
63,430,263,1.0000000000001923e-08
64,434,285,1.0000000000001868e-08
65,736,368,1.0000000000003231e-08
66,408,77,1.0000000000000604e-08
67,164,3,1.000000000000004e-08
68,637,3,1.000000000000002e-08
69,302,3,1.000000000000002e-08
70,659,3,1.000000000000002e-08
71,1524,551,1.0000000000004856e-08
72,19,13,1.0000000000000037e-08
73,488,222,1.0000000000002305e-08
74,142,81,1.0000000000000614e-08
75,38,30,1.00000000000001e-08
76,304,152,1.0000000000001478e-08
77,369,252,1.0000000000001678e-08
78,82,31,1.0000000000000293e-08
79,213,115,1.0000000000000894e-08
80,657,422,1.0000000000002978e-08
81,302,169,1.0000000000001345e-08
82,310,155,1.0000000000001241e-08
83,311,187,1.0000000000001387e-08
84,728,344,1.0000000000003355e-08
85,606,1,1.000000000000001e-08
86,19,15,1.0000000000000005e-08
87,1313,1,1.0000000000000005e-08
88,18,12,1.0000000000000055e-08
89,205,2,1.0000000000000008e-08
90,244,18,1.0000000000000043e-08
91,2580,1377,1.0000000000011764e-08
92,590,398,1.0000000000002604e-08
93,1063,656,1.0000000000005023e-08
94,418,216,1.0000000000002035e-08
95,423,235,1.000000000000204e-08
96,247,1,1.000000000000001e-08
97,360,1,1.000000000000004e-08
98,53,10,1.000000000000008e-08
99,303,3,1.000000000000003e-08
100,1243,1,1.000000000000002e-08
101,1026,597,1.0000000000003413e-08
102,300,222,1.000000000000146e-08
103,249,179,1.0000000000001089e-08
104,303,220,1.000000000000137e-08
105,224,133,1.0000000000000708e-08
106,1247,974,1.0000000000005382e-08
107,51,40,1.0000000000000179e-08
108,581,486,1.000000000000239e-08
109,934,759,1.0000000000003941e-08
110,520,419,1.0000000000002086e-08
111,303,289,1.0000000000001458e-08
112,851,716,1.0000000000003876e-08
113,941,863,1.0000000000004295e-08
114,264,249,1.0000000000001241e-08
115,185,172,1.0000000000000814e-08
116,322,304,1.0000000000001206e-08
117,831,723,1.0000000000003127e-08
118,143,117,1.0000000000000447e-08
119,345,283,1.000000000000121e-08
120,141,134,1.0000000000000635e-08
121,112,99,1.0000000000000437e-08
122,1822,1665,1.0000000000007762e-08
123,257,208,1.0000000000000796e-08
124,167,141,1.0000000000000533e-08
125,1487,1386,1.0000000000005738e-08
126,248,205,1.0000000000000884e-08
127,251,236,1.0000000000001087e-08
128,449,438,1.000000000000181e-08
129,1249,1120,1.000000000000468e-08
130,167,152,1.00000000000006e-08
131,497,460,1.0000000000001985e-08
132,305,285,1.0000000000001385e-08
133,322,313,1.000000000000144e-08
134,700,697,1.0000000000003271e-08
135,1450,1418,1.0000000000006826e-08
136,19,19,1e-08
137,4826,4481,1.0000000000019745e-08
138,256,240,1.0000000000001147e-08
139,413,375,1.0000000000001309e-08
140,499,496,1.0000000000002452e-08
141,450,412,1.0000000000001608e-08
142,438,406,1.0000000000001625e-08
143,326,262,1.0000000000000943e-08
144,249,238,1.0000000000001135e-08
145,814,772,1.0000000000003742e-08
146,260,211,1.0000000000000834e-08
