episode,steps,actions,episode_reward
1,892,505,762.2057977687953
2,1232,720,710.507910331367
3,108,59,94.54939135086185
4,434,234,382.6193215093786
5,305,165,268.64957663861685
6,18,12,32.36979342269461
7,531,275,475.6744349131327
8,1868,779,1320.6008162255262
9,876,2,10.100966623233353
10,1521,6,22.193912703948495
11,250,3,8.743726261025369
12,196,10,34.876433629589805
13,19,8,12.284799888211289
14,248,3,5.616101557290888
15,956,3,7.061546901154962
16,546,5,11.92699291916919
17,1425,3,9.159817202178067
18,2593,814,1590.905840402843
19,19,19,5.847991560223088
20,364,216,348.60177126133834
21,936,364,472.5247996165987
22,415,1,4.539921760638091
23,70,20,35.232657735615845
24,797,3,7.025575512563123
25,599,3,5.712161368799544
26,151,3,4.198199937736251
27,1790,6,21.31160389293585
28,841,18,26.250063234087424
29,139,72,271.4776712755996
30,2146,1110,5352.013497484444
31,994,538,2677.645541907418
32,914,432,2347.9866179046085
33,693,405,1804.5443161978
34,52,29,52.066556585158786
35,421,208,1011.626979356028
36,112,60,166.68738555988526
37,166,93,219.1860255762469
38,205,92,431.43071665875
39,1113,741,2604.6739630070488
40,1497,887,3694.3674617390648
41,205,95,542.6254030341207
42,369,267,855.8089727917276
43,19,17,26.752462631527766
44,953,680,1948.927458868576
45,2,2,3.023989967527997
46,194,105,440.21160817490363
47,709,414,1637.0824982136614
48,343,197,627.9704682494388
49,141,81,184.1285435550044
50,499,324,1121.2524021844786
51,2233,1335,5251.817404637019
52,114,73,196.43938897807345
53,570,315,1255.5116910975805
54,51,24,107.13721623992728
55,735,70,298.78070684932885
56,299,13,42.33501710132026
57,1626,11,26.758611274985558
58,339,200,646.5921901066664
59,1208,705,2869.361286300011
60,182,111,381.15001894280476
61,304,141,722.5545018062745
62,453,223,906.3317613612257
63,212,110,553.495045810528
64,1260,683,3241.391666694161
65,22,17,28.814035189972536
66,1328,714,2288.2027802646267
67,303,3,4.140775506378767
68,19,14,17.210900140224563
69,994,11,38.703606538666186
70,314,3,11.602111700014966
71,223,13,23.47916107240785
72,239,33,59.72281628489419
73,1064,599,1860.5007765122416
74,909,518,2290.379304306437
75,619,328,1627.0592060817232
76,840,522,1512.8888498873896
77,812,504,1933.1582993757017
78,112,54,177.7323073517102
79,299,170,765.3658824439825
80,431,242,1138.3800793138018
81,606,2,12.102691370441313
82,1207,13,39.275674641633024
83,502,1,4.539921760638091
84,183,55,140.55916423881197
85,182,137,363.5750857659499
86,251,181,667.5594372673199
87,607,434,1496.6698349101023
88,757,586,1766.6220082570294
89,19,18,2.015218577122988e-08
90,375,289,618.0148121453183
91,553,457,1175.0399052538835
92,358,313,677.984491594525
93,474,382,719.3156302802622
94,111,77,184.34920044379334
95,345,284,599.5962590032865
96,1110,968,2137.9554400090315
97,811,775,2037.3509439469472
98,1530,1458,3082.4144597177665
99,19,10,27.971789567539513
100,756,750,1752.9577213725468
101,717,665,1350.0180215668538
102,206,197,429.37113369333736
103,284,267,623.2912925696027
104,112,95,164.20232044174506
105,1054,950,1647.9125976134474
106,1499,1363,2388.5428124181103
107,652,614,1238.9115244350598
108,410,339,343.1542966696317
109,113,88,74.86139397672254
110,250,242,610.66630208629
111,693,672,1323.5615609727079
112,608,595,1173.8632246457742
113,1323,1199,2095.6022339616547
114,629,615,1384.3810777532383
115,694,686,1642.00584484194
116,551,513,1045.0397897725275
117,919,867,1856.4694380877154
118,245,200,87.27498098959794
119,143,129,198.17422097267436
120,600,584,1266.504855842896
121,267,248,534.8820016891784
122,951,892,1955.7198037524586
123,353,344,783.3633462421152
124,112,93,198.76342381692862
125,715,674,1361.4953094968255
126,628,517,532.6055002647321
127,1319,1178,1960.915007922433
128,659,624,1302.8610952003487
129,450,436,1018.0075649839753
130,999,900,1334.44998304817
131,1089,1029,2196.0086255318615
132,173,139,154.44553581463634
133,460,415,533.6036387014069
134,417,356,575.799885019997
135,202,162,208.8402761179132
136,661,624,1513.2772011001061
137,1069,1046,2518.9143549298815
138,462,421,808.2676138750458
139,304,244,296.9238008477629
140,363,348,752.8061549916797
141,53,47,51.9383600320819
142,359,349,774.9719207393135
143,208,167,198.81646556765767
144,524,463,721.358706161266
145,203,197,434.1004341892856
146,411,330,401.4115139525108
147,542,490,898.6430977783502
148,374,364,746.4491274305622
149,441,432,1129.228137821339
150,392,371,764.051013443729
151,19,19,6.22099913589505
152,973,945,2067.951263019482
153,283,282,619.0728638795739
154,785,757,1391.6059896182555
155,322,272,359.9135723971582
156,1515,1446,2972.9224877992874
157,315,298,607.7573376855138
158,249,246,565.5447435244316
159,304,270,529.2887965401369
160,2125,1918,3421.7520406764806
161,113,91,128.91013944316404
162,622,559,781.0787382872636
163,604,564,1071.3456850359726
164,2078,2023,4417.049795569612
165,59,56,50.18299587330051
166,2016,1952,4595.804614733477
167,552,546,1426.3161649740118
168,632,627,1638.5699290414339
169,308,306,538.4073539460724
170,630,628,1591.5466939281746
171,346,307,478.22201632239256
172,113,102,167.35045861353046
173,415,401,995.0741777476146
174,109,92,218.03099239290336
175,50,44,65.80389274262136
176,410,389,731.8856242063188
177,454,421,752.7318746620019
178,381,368,792.356759371628
179,305,303,692.5203736293042
180,19,19,24.584283963479272
181,1395,1374,2972.6777523106716
182,889,859,1693.860762964716
183,443,419,874.6770801113807
184,346,338,836.3421820138688
185,19,18,17.369872486513014
186,1031,1021,2181.009394862827
187,53,50,80.8614650818391
188,353,345,775.8634389243196
189,360,355,806.3953716711645
190,184,177,311.410197803907
191,203,201,456.6446476952351
192,29,26,53.04933368757254
193,1769,1724,4473.769395774128
194,246,244,660.5676285629962
195,1126,1105,2777.839245018962
196,1674,1661,3812.171030173525
197,1497,1470,3799.591796173843
198,735,724,1623.1496916575918
199,107,100,226.13583175228032
200,147,137,331.9132048012575
201,756,745,1732.4106199213875
202,217,214,517.6470377535111
203,250,244,628.2846642106605
204,500,487,1106.0322052130398
205,162,159,360.58117740882346
206,447,444,1074.0471319415199
207,235,229,510.1671790007893
208,103,95,220.6220342641911
209,123,118,288.58352532639776
210,374,367,950.2144460899864
211,149,147,355.78215756288023
212,20,19,34.629182617841096
213,303,301,688.9149331896289
214,997,993,2600.440758612109
215,474,462,1130.8048004036857
216,546,528,1313.735186659392
217,757,706,1374.1942465304173
218,733,730,1743.168280341654
219,3639,3565,8323.581227764329
220,455,452,1158.008781286782
221,140,137,333.0983352741891
222,318,304,726.2599665642662
223,111,102,211.78475831179964
224,502,498,1338.0956888232085
225,359,354,919.5857851121739
226,817,797,1934.6719070416668
227,308,301,676.3050291372576
228,1920,1901,4831.573203064559
229,321,315,812.9200547603143
230,19,15,26.250504821961417
231,50,45,81.36016802731884
232,302,300,733.8043331052883
233,306,283,634.9912133393938
234,20,20,24.261553730332285
235,143,140,333.02403674974937
236,599,596,1617.3325401833667
237,356,352,916.9510877103095
238,217,182,437.6976259927154
239,20,16,28.344293578177954
240,1209,1191,3017.312621028191
241,732,721,1788.4865436677078
242,964,945,2399.0609050049648
243,762,736,1816.227095561469
244,51,45,81.07287334472292
245,834,812,2014.085223908454
246,50,48,113.86492445642241
247,3127,3069,8110.686843397726
248,892,878,2197.5802911204346
249,19,17,14.83515204506374
250,127,123,275.30425674527504
251,779,774,2064.0302324827753
252,1183,1175,3139.977328389445
253,19,14,24.301136292830684
254,305,301,772.4411784678824
255,402,387,864.8302843827878
256,658,601,1478.1528265346951
257,732,726,1784.745710851359
258,807,784,2100.3483780370684
259,318,316,834.9668475588023
260,632,597,1519.1837174981283
261,1129,1125,3059.9648529701867
262,691,667,1474.2885073198763
263,527,504,1142.8184764584475
264,411,400,1031.6623409722376
265,19,17,20.08830010360392
266,414,398,864.3102788638313
267,204,198,535.5395573391
268,411,411,1054.3404037190967
269,390,388,1023.0274295722021
270,424,387,960.2174092427648
271,416,396,839.7179440308149
272,304,301,798.8739763864879
273,36,19,54.60709153524548
274,803,789,1864.3688838328965
275,661,619,1370.8020763619036
276,347,342,799.1007259311805
277,2483,2419,5911.234297119654
278,223,217,495.70206710552543
279,107,90,218.05524867898987
280,1337,1290,2963.8259098323433
281,1804,1794,4777.556626446631
282,202,199,532.7106332682943
283,369,365,949.8427770371925
284,259,252,583.0896094747303
285,155,130,255.79879539163784
286,899,846,2103.9334661286775
287,52,47,70.29703527129007
288,363,359,806.1204694365932
289,19,19,8.865123793251968e-05
290,203,201,528.6629006030936
291,1058,1020,2047.437016411134
292,660,618,1113.6616377811622
293,724,628,1470.9430060809439
294,214,181,334.26993159103023
295,19,13,12.847457047940573
296,1663,1577,3681.1425125632836
297,50,47,107.2328069233182
298,664,561,1527.0281949811124
299,477,438,1010.9540620051584
300,113,65,205.96278945956243
301,302,299,738.1443452367405
302,602,598,1618.6826021250295
303,374,337,802.341807381668
304,19,19,3.3124039319596736e-07
305,679,574,1358.041923477367
306,143,129,302.5512626141541
307,496,470,1069.5391614987348
308,319,309,692.4149259774987
309,765,761,2084.1904523915905
310,113,90,237.75319271706803
311,391,317,769.1939945737336
312,492,374,932.4171220455231
313,1805,1670,3790.0595240183443
314,205,199,537.1385517792291
315,505,490,1231.3846548055128
316,19,18,1.0000085409579014e-08
317,359,275,691.0965339803496
318,300,286,813.9534504055177
319,206,203,463.90245014277286
320,602,588,1590.008493875756
321,624,532,1305.0822153611557
322,412,396,997.8176922802819
323,515,489,1187.1314543283106
324,51,37,82.12206269784075
325,3013,2787,6653.5869937313155
326,952,907,2268.3241589833756
327,51,45,78.99984857212266
328,363,273,698.1283539043457
329,249,247,632.8285678485972
330,1149,1103,2581.130786218954
331,317,292,735.0190066392244
332,549,543,1358.729818348365
333,206,199,491.4277481954684
334,507,503,1244.661026485256
335,1042,989,2348.61080750367
336,1543,1505,3593.868694039631
337,205,194,551.4008358780459
338,950,818,2094.1899510250887
339,982,963,2334.832307631708
340,546,534,1335.1657111509608
341,301,233,749.8489609758727
342,253,224,622.5246333025041
343,19,13,6.227681425478714e-05
344,113,99,243.29258270971542
345,1551,1437,3426.2573875651124
346,384,311,747.017465884567
347,3153,2962,7371.624935838497
348,2376,2295,5324.801834910983
349,120,115,256.1400476662397
350,1203,1104,2515.544319616172
351,558,530,1336.9660589784282
352,315,265,656.2827546154706
353,389,384,939.170507069122
354,997,983,2365.5225984415683
355,460,456,1021.9873423588988
356,206,203,505.34101323184626
357,254,237,536.6201130634569
358,257,247,597.0062573785168
359,143,139,337.03724740424934
360,141,128,353.70099533503725
361,153,143,316.7850157252411
362,300,298,827.8772242258284
363,250,238,622.6509003503943
364,1651,1297,3350.440537249384
365,227,213,525.4317368818132
366,51,48,109.91172612499683
367,681,661,1594.49263732857
368,1150,1006,2449.8887462152175
369,451,194,806.5075157638778
370,230,217,547.746671031251
371,112,109,283.73976285498964
372,141,136,327.0227992075479
373,52,44,85.17095034388637
374,362,353,862.4635947091492
375,552,550,1540.5885539000762
376,19,17,2.7208891810540703e-05
377,51,40,98.7048034475857
378,687,645,1435.3360227472017
379,322,319,757.5836261909275
380,314,304,749.7289429776795
381,857,830,1962.9291006958447
382,607,598,1662.9930248074172
383,183,153,323.0039765126367
384,300,112,551.7762007095225
385,224,216,578.3214049898239
386,18,11,1.8106494819501227
387,2180,2159,5560.91542326581
388,203,201,553.539926692479
389,253,249,675.2379720394306
390,11,9,10.166028219568695
391,657,654,1734.0276410461356
392,203,197,458.81069521364356
393,993,959,2364.2390210599433
394,1629,1611,4089.654664895662
395,141,133,329.1111227170671
396,224,205,379.9225928531684
397,302,281,664.2238708025855
398,1274,1245,3123.6328968242897
399,257,241,619.0581167086781
400,865,837,1827.6652074017377
401,444,362,830.939902761045
402,370,354,837.6284476315459
403,723,498,1744.4244400485968
404,605,547,1471.2539387583402
405,301,293,826.1503016910327
406,1001,921,2237.5957121851798
407,252,221,600.4273871180569
408,778,751,1899.1336436020988
409,301,283,807.4388405920232
410,113,95,265.76150233056086
411,19,19,46.91714620071734
412,498,492,1375.070327440653
413,255,78,436.7880838339808
414,114,95,280.59914019286043
