episode,steps,actions,episode_reward
1,1599,889,1e-08
2,554,320,1e-08
3,137,79,1e-08
4,3307,1475,1e-08
5,685,3,1e-08
6,1510,6,1e-08
7,1682,5,1e-08
8,244,2,1e-08
9,282,3,1e-08
10,49,4,1e-08
11,268,3,1e-08
12,553,1,1e-08
13,126,3,1e-08
14,1828,187,1e-08
15,558,327,1e-08
16,665,373,1e-08
17,19,15,1e-08
18,251,145,1e-08
19,1035,397,1e-08
20,306,3,1e-08
21,635,3,1e-08
22,114,3,1e-08
23,149,3,1e-08
24,3444,9,1e-08
25,141,87,1e-08
26,144,78,1e-08
27,2435,1672,1e-08
28,545,328,1e-08
29,1232,595,1e-08
30,457,235,1e-08
31,420,209,1e-08
32,114,67,1e-08
33,502,313,1e-08
34,305,204,1e-08
35,53,35,1e-08
36,117,58,1e-08
37,515,322,1e-08
38,849,463,1e-08
39,620,345,1e-08
40,206,104,1e-08
41,362,164,1e-08
42,19,13,1e-08
43,950,494,1e-08
44,14,6,1e-08
45,406,287,1e-08
46,520,262,1e-08
47,901,622,1e-08
48,105,65,1e-08
49,409,264,1e-08
50,955,615,1e-08
51,206,113,1e-08
52,211,118,1e-08
53,437,294,1e-08
54,976,440,1e-08
55,938,1,1e-08
56,305,3,1e-08
57,916,3,1e-08
58,820,323,1e-08
59,483,235,1e-08
60,20,14,1e-08
61,472,301,1e-08
62,485,228,1e-08
63,371,169,1e-08
64,55,26,1e-08
65,9,5,1e-08
66,2120,1225,1e-08
67,111,58,1e-08
68,899,157,1e-08
69,1571,26,1e-08
70,2510,1547,1e-08
71,315,182,1e-08
72,830,580,1e-08
73,821,495,1e-08
74,823,462,1e-08
75,501,1,1e-08
76,113,3,1e-08
77,1219,5,1e-08
78,252,3,1e-08
79,382,1,1e-08
80,1639,1176,1e-08
81,225,159,1e-08
82,324,230,1e-08
83,889,759,1e-08
84,51,37,1e-08
85,369,261,1e-08
86,103,95,1e-08
87,115,74,1e-08
88,146,125,1e-08
89,1315,1129,1e-08
90,829,762,1e-08
91,887,854,1e-08
92,641,601,1e-08
93,758,741,1e-08
94,116,89,1e-08
95,158,136,1e-08
96,448,427,1e-08
97,207,201,1e-08
98,401,313,1e-08
99,1252,1164,1e-08
100,554,490,1e-08
101,1510,1351,1e-08
102,416,337,1e-08
103,251,238,1e-08
104,251,243,1e-08
105,453,422,1e-08
106,1085,1019,1e-08
107,297,279,1e-08
108,341,319,1e-08
109,139,116,1e-08
110,632,602,1e-08
111,245,243,1e-08
112,303,283,1e-08
113,183,147,1e-08
114,560,508,1e-08
115,911,887,1e-08
116,246,220,1e-08
117,1961,1878,1e-08
118,4660,4229,1e-08
119,19,19,1e-08
120,580,518,1e-08
121,1063,994,1e-08
122,179,143,1e-08
123,469,419,1e-08
124,421,340,1e-08
125,876,802,1e-08
126,1187,1169,1e-08
127,989,964,1e-08
128,626,559,1e-08
129,227,224,1e-08
130,906,872,1e-08
131,540,465,1e-08
132,378,361,1e-08
133,307,247,1e-08
134,145,117,1e-08
135,444,374,1e-08
136,20,19,1e-08
137,948,900,1e-08
138,256,211,1e-08
139,258,245,1e-08
140,331,310,1e-08
141,415,380,1e-08
142,78,72,1e-08
143,294,290,1e-08
144,976,908,1e-08
145,204,201,1e-08
146,291,241,1e-08
147,249,200,1e-08
148,632,596,1e-08
149,809,788,1e-08
150,1775,1622,1e-08
151,357,344,1e-08
152,48,42,1e-08
153,184,154,1e-08
154,3218,3064,1e-08
155,565,558,1e-08
156,206,166,1e-08
157,192,185,1e-08
158,951,933,1e-08
159,195,188,1e-08
160,298,293,1e-08
161,318,288,1e-08
162,417,408,1e-08
163,225,222,1e-08
164,180,163,1e-08
165,1471,1433,1e-08
166,686,642,1e-08
167,19,18,1e-08
168,476,468,1e-08
169,259,214,1e-08
170,721,702,1e-08
171,887,880,1e-08
172,572,562,1e-08
173,130,125,1e-08
174,508,500,1e-08
175,504,499,1e-08
176,759,747,1e-08
177,391,384,1e-08
178,33,28,1e-08
179,1807,1779,1e-08
180,678,668,1e-08
181,437,424,1e-08
182,820,817,1e-08
183,1053,1044,1e-08
184,499,474,1e-08
185,1215,1200,1e-08
186,403,396,1e-08
187,140,136,1e-08
188,1017,1004,1e-08
189,144,140,1e-08
190,52,49,1e-08
191,267,260,1e-08
192,485,481,1e-08
193,487,465,1e-08
194,248,242,1e-08
195,248,241,1e-08
196,474,468,1e-08
197,139,135,1e-08
198,318,316,1e-08
199,700,694,1e-08
200,414,405,1e-08
201,928,922,1e-08
202,19,14,1e-08
203,51,48,1e-08
204,208,193,1e-08
205,1030,1013,1e-08
206,546,535,1e-08
207,884,851,1e-08
208,1758,1743,1e-08
209,33,33,1e-08
210,207,205,1e-08
211,114,110,1e-08
212,510,494,1e-08
213,254,251,1e-08
214,143,141,1e-08
215,72,56,1e-08
216,253,249,1e-08
217,627,613,1e-08
218,318,315,1e-08
219,614,601,1e-08
220,154,149,1e-08
221,352,342,1e-08
222,293,290,1e-08
223,1072,1070,1e-08
224,574,567,1e-08
225,19,17,1e-08
226,304,297,1e-08
227,380,364,1e-08
228,52,39,1e-08
229,257,250,1e-08
230,947,940,1e-08
231,4124,3983,1e-08
232,858,846,1e-08
233,1376,1373,1e-08
234,255,249,1e-08
235,664,644,1e-08
236,1342,1335,1e-08
237,443,433,1e-08
238,115,113,1e-08
239,1326,1316,1e-08
240,605,602,1e-08
241,291,279,1e-08
242,1094,1027,1e-08
243,758,745,1e-08
244,310,308,1e-08
245,462,460,1e-08
246,959,837,1e-08
247,1032,1027,1e-08
248,1115,1079,1e-08
249,485,463,1e-08
250,1181,1131,1e-08
251,447,430,1e-08
252,1086,1067,1e-08
253,19,13,1e-08
254,835,825,1e-08
255,208,205,1e-08
256,19,18,1e-08
257,448,441,1e-08
258,351,348,1e-08
259,278,265,1e-08
260,20,18,1e-08
261,198,196,1e-08
262,2110,2054,1e-08
263,168,156,1e-08
264,2259,2209,1e-08
265,887,880,1e-08
266,566,542,1e-08
267,268,262,1e-08
268,52,37,1e-08
269,700,669,1e-08
270,1258,1207,1e-08
271,2121,1992,1e-08
272,232,152,1e-08
273,19,19,1e-08
274,1333,1293,1e-08
275,114,105,1e-08
276,191,177,1e-08
277,723,588,1e-08
278,113,91,1e-08
279,1386,1312,1e-08
280,360,326,1e-08
281,19,19,1e-08
282,687,573,1e-08
283,141,133,1e-08
284,824,806,1e-08
285,503,501,1e-08
286,141,137,1e-08
287,106,100,1e-08
288,113,83,1e-08
289,890,681,1e-08
290,2210,2128,1e-08
291,438,417,1e-08
292,259,224,1e-08
293,307,290,1e-08
294,780,769,1e-08
295,33,28,1e-08
296,600,534,1e-08
297,420,405,1e-08
298,524,439,1e-08
299,52,47,1e-08
300,52,35,1e-08
301,302,298,1e-08
302,1000,967,1e-08
303,1004,951,1e-08
304,648,611,1e-08
305,318,311,1e-08
306,669,603,1e-08
307,1227,1179,1e-08
308,2426,2410,1e-08
309,51,27,1e-08
310,20,20,1e-08
311,19,12,1e-08
312,635,630,1e-08
313,361,358,1e-08
314,909,898,1e-08
315,269,253,1e-08
316,1152,1091,1e-08
317,506,493,1e-08
318,349,259,1e-08
319,19,9,1e-08
320,674,499,1e-08
321,449,442,1e-08
322,4010,3240,1e-08
323,508,505,1e-08
324,249,218,1e-08
325,133,124,1e-08
326,412,394,1e-08
327,307,297,1e-08
328,205,189,1e-08
329,2360,2247,1e-08
330,395,350,1e-08
331,306,304,1e-08
332,143,141,1e-08
333,446,440,1e-08
334,432,417,1e-08
335,1119,1110,1e-08
336,978,941,1e-08
337,205,202,1e-08
338,399,232,1e-08
339,277,256,1e-08
340,565,527,1e-08
341,184,113,1e-08
342,19,10,1e-08
343,1467,1259,1e-08
344,193,181,1e-08
345,626,614,1e-08
346,415,272,1e-08
347,673,639,1e-08
348,182,150,1e-08
349,143,140,1e-08
350,308,249,1e-08
351,198,187,1e-08
352,19,17,1e-08
353,310,295,1e-08
354,921,681,1e-08
355,19,13,1e-08
356,52,36,1e-08
357,112,88,1e-08
358,205,203,1e-08
359,88,71,1e-08
360,288,284,1e-08
361,616,430,1e-08
362,1484,1447,1e-08
363,115,110,1e-08
364,51,50,1e-08
365,554,534,1e-08
366,1123,1104,1e-08
367,1498,1491,1e-08
368,878,869,1e-08
369,39,15,1e-08
370,2230,2202,1e-08
371,1081,1042,1e-08
372,960,828,1e-08
373,512,486,1e-08
374,227,216,1e-08
375,302,294,1e-08
376,337,15,1e-08
377,221,124,1e-08
378,206,181,1e-08
379,19,16,1e-08
380,375,354,1e-08
381,406,120,1e-08
382,909,869,1e-08
383,1259,677,1e-08
384,39,20,1e-08
385,255,190,1e-08
386,253,245,1e-08
387,19,12,1e-08
388,507,492,1e-08
389,418,410,1e-08
390,663,655,1e-08
391,113,89,1e-08
392,464,428,1e-08
393,184,172,1e-08
394,52,43,1e-08
395,445,430,1e-08
396,703,694,1e-08
397,978,929,1e-08
398,186,36,1e-08
399,939,890,1e-08
400,205,199,1e-08
401,675,559,1e-08
402,398,17,1e-08
403,296,115,1e-08
404,1258,778,1e-08
405,749,629,1e-08
406,37,13,1e-08
407,203,3,1e-08
408,310,89,1e-08
409,305,216,1e-08
410,669,464,1e-08
411,277,31,1e-08
412,629,145,1e-08
413,446,72,1e-08
414,303,238,1e-08
415,70,49,1e-08
416,222,92,1e-08
417,499,419,1e-08
418,1491,1204,1e-08
419,956,921,1e-08
420,708,611,1e-08
421,596,577,1e-08
422,193,155,1e-08
423,113,93,1e-08
424,114,79,1e-08
425,776,684,1e-08
426,1103,1086,1e-08
427,220,197,1e-08
428,210,188,1e-08
429,19,18,1e-08
430,206,178,1e-08
431,256,240,1e-08
432,805,750,1e-08
433,1919,1779,1e-08
434,225,174,1e-08
435,302,185,1e-08
436,52,25,1e-08
437,19,11,1e-08
438,545,293,1e-08
439,361,202,1e-08
440,19,10,1e-08
441,271,29,1e-08
442,752,630,1e-08
443,113,5,1e-08
444,356,9,1e-08
445,161,133,1e-08
446,902,192,1e-08
447,583,42,1e-08
448,141,4,1e-08
449,19,9,1e-08
450,206,20,1e-08
451,664,12,1e-08
452,303,8,1e-08
453,591,77,1e-08
454,314,14,1e-08
455,1166,53,1e-08
456,114,4,1e-08
457,284,4,1e-08
458,614,3,1e-08
459,1460,413,1e-08
460,1236,708,1e-08
461,489,120,1e-08
462,595,5,1e-08
463,227,8,1e-08
464,2497,1132,1e-08
465,747,7,1e-08
466,115,4,1e-08
467,142,3,1e-08
468,672,21,1e-08
469,206,16,1e-08
470,511,16,1e-08
471,758,139,1e-08
472,421,99,1e-08
473,2665,152,1e-08
474,50,44,1e-08
475,307,9,1e-08
476,465,26,1e-08
477,616,15,1e-08
478,317,23,1e-08
479,997,105,1e-08
480,505,50,1e-08
481,143,12,1e-08
482,221,30,1e-08
483,250,5,1e-08
484,885,212,1e-08
485,11,10,1e-08
486,265,47,1e-08
487,863,40,1e-08
488,556,12,1e-08
489,521,82,1e-08
490,195,44,1e-08
491,1134,147,1e-08
492,419,39,1e-08
493,2925,184,1e-08
494,590,20,1e-08
495,715,117,1e-08
496,113,34,1e-08
497,114,57,1e-08
498,1590,567,1e-08
499,1567,226,1e-08
500,627,29,1e-08
501,485,81,1e-08
502,205,42,1e-08
503,814,51,1e-08
504,19,19,1e-08
505,113,46,1e-08
506,475,80,1e-08
507,733,82,1e-08
508,896,72,1e-08
509,299,50,1e-08
510,2626,350,1e-08
511,1011,228,1e-08
512,130,64,1e-08
513,636,34,1e-08
514,1907,113,1e-08
515,52,41,1e-08
516,322,23,1e-08
517,305,73,1e-08
518,817,80,1e-08
519,1238,47,1e-08
520,251,5,1e-08
521,202,21,1e-08
522,1184,45,1e-08
523,19,16,1e-08
524,206,12,1e-08
525,205,6,1e-08
526,2021,138,1e-08
527,251,17,1e-08
528,204,36,1e-08
529,180,13,1e-08
530,375,46,1e-08
531,717,5,1e-08
532,303,17,1e-08
533,206,7,1e-08
534,363,10,1e-08
535,681,282,1e-08
536,927,265,1e-08
537,52,49,1e-08
538,19,19,1e-08
539,531,68,1e-08
540,1226,603,1e-08
541,1746,1552,1e-08
542,114,92,1e-08
543,380,229,1e-08
544,1559,127,1e-08
545,507,90,1e-08
546,294,5,1e-08
547,48,4,1e-08
548,19,19,1e-08
549,19,17,1e-08
550,1020,514,1e-08
551,1425,221,1e-08
552,395,5,1e-08
553,477,23,1e-08
554,144,7,1e-08
555,3202,1234,1e-08
556,204,17,1e-08
557,113,39,1e-08
558,805,299,1e-08
559,366,210,1e-08
560,250,9,1e-08
561,322,26,1e-08
562,52,50,1e-08
563,318,24,1e-08
