Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	731.9744	582.28326	2175.4883	5.539168e-28	320.76666	256.02585	991.0	18.0	48.3381	2803.4478	185081.14	-0.12105725	10000	5.820766e-10	7859498.0	-0.0004839081	-7857935.5	1.6939888	0.07710604	0.3152	20.0	11.200010061264038
1	1205.5985	1031.6628	3535.8813	3.743914e-06	524.0	440.55597	1440.0	51.0	12.8833	10.535412	112.44935	0.84918416	20000	-6.7055225e-08	1355.5079	-0.0047015008	-295.71997	1.3008552	0.00042249286	0.0162	79.0	23.954311847686768
2	1078.9924	948.33044	3568.2144	0.0	456.5238	394.9888	1440.0	19.0	52.30561	2559.4922	255974.56	2.7382276	30000	4.656613e-10	6551412.5	-0.00023001828	-6550656.5	1.2201998	0.008641047	0.0519	79.0	36.70767617225647
3	855.764	606.4877	2575.7434	0.0	357.14285	253.57568	1032.0	19.0	28.895754	13.199135	95.02884	1.3622462	40000	1.4901161e-08	712.6907	-0.0046294983	-369.55896	1.5234075	0.16686733	0.069900006	9.0	47.622198820114136
4	1045.8932	1021.96796	3487.0835	3.9511655e-19	440.4762	427.34448	1440.0	50.0	42.242126	11.459138	67.95541	9.624978	50000	2.2351742e-08	356.92126	-0.02211256	-216.00104	1.5642323	0.029269055	0.1692	79.0	60.39742565155029
5	1067.3076	828.74603	3302.6558	3.2400013e-23	425.94446	321.42316	1279.0	19.0	44.419857	5.0650396	77.449326	18.081257	60000	0.0	143.10123	-0.007878762	-28.444086	1.3436141	0.010224765	0.0467	79.0	73.03306889533997
6	839.2504	664.6014	2491.2795	6.2481255e-24	352.91306	254.98932	988.0	37.0	45.36608	6.42662	53.635605	18.856873	70000	-1.4901161e-08	171.42072	-0.005788409	-12.7332115	1.3766402	0.008327382	0.049000002	79.0	85.78642153739929
7	1218.5352	914.0222	3104.083	1.9154776e-07	526.3158	397.41718	1440.0	52.0	45.46273	5.6516128	55.18198	23.439207	80000	3.7252903e-09	173.53482	-0.010088267	-6.907997	1.4279473	0.01957744	0.0895	79.0	98.49074125289917
8	1249.562	1169.5715	3778.98	44.9671	508.66666	500.24496	1440.0	16.0	44.795532	6.6113043	53.66122	16.291126	90000	-7.450581e-09	122.69816	-0.0065988563	-18.793438	1.4559199	0.018608157	0.1074	79.0	111.26490020751953
9	813.2497	642.44635	2756.965	1.8860344e-28	348.15384	289.9323	1438.0	19.0	47.331394	4.1433454	60.13444	31.86357	100000	-7.450581e-09	202.0711	-0.0056236675	-14.598007	1.435374	0.005508483	0.093600005	79.0	124.05881547927856
10	1035.18	984.6217	3067.3662	1.5948886e-09	445.70587	378.42023	1180.0	50.0	45.74205	3.8784451	51.6438	29.285595	110000	1.4901161e-08	181.97057	-0.0067981016	-16.53772	1.4060881	0.003675748	0.073	79.0	136.7422535419464
11	825.9897	625.66565	2667.34	1.8025128e-26	344.82758	254.05186	1128.0	19.0	46.42262	6.734355	53.92806	12.834333	120000	-7.450581e-09	154.05911	-0.0072241733	-6.121935	1.3096181	0.014063313	0.0428	79.0	149.57782649993896
12	855.6184	803.67255	3290.861	56.958374	354.22726	346.49884	1440.0	19.0	45.768772	6.2082376	52.48295	12.350133	130000	-7.450581e-09	114.04762	-0.0061322358	-4.9860706	1.3910186	0.012522953	0.076900005	79.0	162.38189387321472
13	1112.5134	685.83453	2208.14	56.960007	447.9	285.79132	1001.0	19.0	46.89795	4.163189	52.01721	21.999863	140000	-2.2351742e-08	142.11028	-0.0053009344	-5.553898	1.2907867	0.01099237	0.0322	79.0	175.1855285167694
14	965.89557	605.12585	2296.037	1.2144902e-07	413.77274	248.05223	930.0	50.0	46.050514	5.1835685	51.628567	23.01335	150000	0.0	163.33527	-0.007597629	-7.2892227	1.3529949	0.021511348	0.070099995	79.0	187.90873742103577
15	1275.7631	1020.5943	3628.374	4.402668e-06	555.55554	386.92496	1440.0	19.0	46.216732	3.9797113	53.567276	20.17133	160000	1.4901161e-08	208.96545	-0.008060692	-28.64218	1.2502265	0.005085476	0.0836	79.0	200.70763039588928
16	1239.3484	1419.5741	3638.4214	3.33201e-10	526.0769	590.82855	1440.0	1.0	44.898083	4.8538494	51.228325	12.571957	170000	7.450581e-09	120.760025	-0.0113935685	-9.146423	1.2726859	0.04225843	0.1487	79.0	213.51737117767334
17	1235.4729	871.2618	2792.6611	87.07644	527.3571	385.18152	1440.0	68.0	47.69327	4.2982173	52.777843	7.0502744	180000	7.450581e-09	118.36778	-0.0126835	-8.80515	1.2965326	0.03143849	0.1364	79.0	226.1722869873047
18	1091.6249	781.99286	3534.7847	102.16124	469.4375	314.40918	1440.0	88.0	46.16189	3.9355512	51.14512	19.680298	190000	-7.450581e-09	198.66887	-0.007793836	-17.200813	1.2388802	0.006963772	0.0453	79.0	238.92382764816284
19	1178.0537	933.34	3545.168	14.989632	500.0	402.40414	1440.0	5.0	45.783886	5.876851	51.309628	10.293103	200000	0.0	162.58174	-0.0061152764	-6.7844067	1.230674	0.016241837	0.0429	79.0	251.65863847732544
20	1357.0372	991.7725	3601.6802	0.0	552.93335	393.6546	1440.0	19.0	45.96413	3.7846339	52.50496	21.778244	210000	1.4901161e-08	139.17612	-0.008356851	-12.823786	1.1538849	0.020049468	0.059	79.0	264.3906352519989
21	1033.0923	760.9649	2819.009	0.0	417.68182	301.023	1255.0	6.0	47.887306	3.4722307	58.820896	23.6142	220000	1.4901161e-08	139.49594	-0.005751163	-8.19577	1.2001202	0.0010648716	0.023899999	79.0	277.0490040779114
22	950.4837	1105.0104	3384.649	9.251966e-10	412.27777	422.30872	1371.0	18.0	47.704758	4.6357436	63.986275	12.3618145	230000	-7.450581e-09	181.22502	-0.004846298	-21.427923	1.1141887	-0.00012028689	0.052500002	79.0	289.7595796585083
