Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	577.7557	481.42093	1686.3691	55.97347	621.0	431.26825	1200.0	50.0	4075.216	8702.86	75238.01	-0.12737386	10000	4.656613e-09	92305340.0	-0.085264124	-90898040.0	1.3850162	-0.15950213	0.5892	79.0	12.905648708343506
1	563.82794	331.98535	1095.759	30.411295	502.29413	368.70996	1440.0	11.0	39.372437	46.71482	916.5533	2.898422	20000	8.381903e-09	2707.4802	-0.054092042	353611.47	0.89183486	-0.10341576	0.2739	79.0	25.12407088279724
2	557.8504	371.98077	1221.6405	94.73844	547.1429	445.3786	1440.0	74.0	5737.994	423303.03	30347936.0	-10369.372	30000	0.0	179217840000.0	-0.0012105033	-179217840000.0	0.8116082	-0.010005575	0.53279996	79.0	37.6195547580719
3	655.7551	485.48138	1637.4313	17.969004	400.0	356.94	1440.0	12.0	10.751138	10.795764	74.907234	1.1149323	40000	-1.8626451e-08	734.1206	-0.038175672	-40.04576	0.8904836	3.6384344	0.2424	54.0	49.309409618377686
4	911.97015	762.0092	2917.1033	51.00005	518.25	406.31616	1440.0	18.0	10.385184	10.114406	99.000916	0.19743496	50000	4.4703484e-08	787.0206	0.018177096	40.43875	0.9547714	243.99286	0.06	3.0	59.90184712409973
5	841.5836	739.03546	2632.64	3.184638e-08	469.94116	423.00525	1440.0	52.0	10.6684065	10.247179	82.514915	1.2220641	60000	3.7252903e-08	822.7291	-0.0052409787	-17.876404	0.8586259	62.23562	0.0657	14.0	70.56104183197021
6	1407.0725	996.1055	3018.5647	262.23447	677.0769	486.74738	1440.0	99.0	9.466623	8.686969	77.99473	0.15615253	70000	1.0430813e-07	1102.2883	0.0039480124	-97.33284	0.8831425	348.8987	0.022	1.0	81.03644156455994
7	1091.4862	820.85	2932.755	0.00029524858	588.2353	417.52316	1440.0	18.0	13.125784	9.825486	113.94837	0.18206273	80000	2.6077032e-08	746.364	-0.021702303	-158.9865	0.9240477	0.081898674	0.0267	5.0	91.68947315216064
8	1038.4236	754.1595	2693.7812	163.42221	578.1875	461.66577	1440.0	75.0	31.665026	31.785488	191.9054	3.3113832	90000	-5.5879354e-09	1104.4595	0.004929175	-490.03546	0.72217643	8.774269	0.0915	2.0	102.15891170501709
9	1773.2347	1094.107	3347.5198	123.928955	781.2	464.41418	1440.0	109.0	13.002829	6.3318195	47.606415	0.30882484	100000	3.7252903e-08	1122.4937	0.0142630935	-212.6706	0.9054872	155.62625	0.0283	1.0	112.56455063819885
10	670.28033	520.295	1774.665	1.4274721e-22	455.94116	391.91873	1327.0	19.0	27.366726	27.057585	173.61316	0.22657719	110000	-1.8626451e-09	705.49817	0.049196597	-369.02225	0.36909777	596.0146	0.1999	5.0	123.18079113960266
11	990.7973	635.24	2259.717	56.83074	526.3158	359.40024	1184.0	19.0	14.450394	9.236541	82.09529	0.22350708	120000	1.8626451e-09	732.3847	0.03138192	-206.0127	0.6388419	603.42584	0.0752	1.0	133.56610417366028
12	662.6249	555.19855	2005.6915	50.848686	367.45	354.5976	1362.0	18.0	23.1724	14.725261	114.58251	0.23765406	130000	-2.6077032e-08	457.8215	0.01954133	-110.86547	0.30345604	484.28278	0.112	1.0	144.11954975128174
13	675.19574	542.63696	1722.1498	29.907665	407.75	335.58722	1071.0	18.0	22.294615	11.728901	83.58742	0.24669802	140000	-1.3969839e-08	384.6546	0.017907333	-155.3765	0.40001222	429.38513	0.5123	1.0	154.58508348464966
14	1253.1981	869.9656	2347.4749	336.37164	749.6	545.5279	1440.0	143.0	23.84729	5.4277153	53.62139	0.25550926	150000	-3.3527613e-08	154.432	0.08215213	-44.99222	0.43100935	247.38553	0.4675	1.0	165.0417001247406
15	885.58826	786.33527	2773.686	63.408096	454.54544	393.75775	1440.0	52.0	33.168762	7.7602987	59.796127	0.2597883	160000	-1.1175871e-08	230.7142	0.0036103763	-30.994282	0.46809432	556.901	0.3249	2.0	175.525869846344
16	963.5804	703.7188	2827.0466	4.398996e-22	483.55554	365.4506	1440.0	19.0	35.98749	7.7468123	51.622944	9.573331	170000	-1.6763806e-08	139.14473	0.016459571	-11.451046	0.4079001	54.525406	0.050300002	1.0	186.0769784450531
17	1073.5242	697.95	2385.8987	35.067265	563.5	347.43237	1112.0	51.0	32.73585	7.0797286	59.78104	0.2611209	180000	1.4901161e-08	150.14285	0.019569052	-13.624973	0.4671213	163.80165	0.08579999	1.0	196.5931270122528
18	998.4867	727.0534	2410.0588	2.9958954	517.93335	388.7603	1254.0	19.0	39.9282	7.713105	66.72825	9.894989	190000	-2.6077032e-08	149.92949	0.03572128	-29.65837	0.45142195	25.68031	0.16389999	1.0	207.02171897888184
19	844.5104	643.44666	2222.248	25.825373	500.0	437.22455	1440.0	15.0	31.838522	9.029006	54.33279	0.2641812	200000	1.1175871e-08	108.62303	0.04920927	-11.321146	0.46093804	334.05774	0.1189	1.0	217.46913647651672
20	961.7634	639.9775	2659.5251	264.82352	510.66666	362.70648	1440.0	131.0	33.74419	8.237329	55.98967	0.2605778	210000	0.0	178.77138	0.046885308	-1.2246017	0.35984382	867.458	0.08319999	1.0	227.9410948753357
21	545.6525	592.15845	2158.4824	6.0923074e-22	519.8421	427.2643	1440.0	18.0	29.909029	10.424035	58.234203	19.40245	220000	3.7252903e-08	274.33722	-0.062557474	-132.48439	0.20034388	-0.116095975	0.31559998	79.0	240.34929132461548
22	248.03098	205.05252	769.0155	4.2488093	540.375	313.7385	1377.0	140.0	18.550493	9.797074	55.88961	-2.3774896	230000	-2.6077032e-08	193.19382	-0.08143249	-21.150658	0.11493483	3.407505	0.7559	11.0	250.9951741695404
23	800.23755	635.85345	2442.7202	41.50782	454.54544	384.8547	1440.0	31.0	17.17703	7.0949044	33.00473	0.24835661	240000	-1.0430813e-07	406.3085	-0.018757239	-276.204	0.625008	0.1107534	0.0197	3.0	261.4875888824463
24	1059.7458	772.8693	2518.3008	149.45267	548.13336	429.12793	1373.0	53.0	32.085934	8.268437	61.319595	2.2831826	250000	-3.7252903e-09	165.01625	0.017439509	-31.134619	0.54934955	60.44599	0.3492	15.0	272.3629491329193
25	689.8229	550.98157	1874.8162	53.972897	407.75	276.52393	1056.0	18.0	34.948963	9.8803005	73.37796	7.3340435	260000	1.4901161e-08	199.03082	-0.042030662	8191.764	0.38476145	0.036637068	0.1269	79.0	284.82052421569824
26	506.4215	389.56375	1723.0751	19.65433	432.4762	326.5073	1011.0	11.0	-137.9595	389.4115	49.071453	-3568.1174	270000	-3.7252903e-09	169996.02	-0.04226317	-169659.16	0.513681	0.2169106	0.41730002	2.0	295.3204667568207
27	430.4065	334.49597	1339.6558	3.327023e-23	370.37036	316.35544	1380.0	19.0	12.952503	35.66215	52.937458	-314.24255	280000	1.1175871e-08	841.9673	-0.021155532	-656.8992	0.4723103	0.21868928	0.4194	1.0	305.79936814308167
28	454.32697	332.55835	1029.4147	1.1803639e-17	540.4706	407.96194	1151.0	19.0	17.150133	22.648188	52.00591	-186.11766	290000	-1.8626451e-09	302.73663	0.011275195	-105.31711	0.315901	0.13524269	0.2433	1.0	316.2957720756531
