Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	53.17463	163.95781	680.17126	5e-39	516.58826	396.05035	1213.0	19.0	10557.569	17440.77	116416.72	0.05933859	10000	-1.1445954e-06	415800320.0	-0.0026704145	-414417920.0	3.3656352	0.5166949	0.0002	1.0	10.430783748626709
1	67.89986	114.47104	440.57047	2.49e-38	400.47827	236.54173	1031.0	112.0	-3.91635	7.042546	0.67906773	-40.607895	20000	1.4901161e-08	124.581406	0.38946754	-92.50105	3.3126307	53.93019	0.2816	9.0	21.144456386566162
2	75.2444	136.79384	494.899	5.1e-39	513.8125	384.80292	1224.0	51.0	0.94051456	0.6641155	4.8467226	0.41366667	30000	-2.9802322e-08	29.138725	-0.017623067	3.984344	3.2888892	-0.12338017	0.0347	79.0	34.13070797920227
3	82.30935	200.51344	820.1083	2.8e-39	555.55554	499.92572	1440.0	28.0	3.9637046	4.520669	43.30192	0.77491874	40000	2.9802322e-08	47.1512	-0.06849373	-13.024199	3.3154473	-0.36693352	0.71500003	79.0	47.1379451751709
4	83.67702	194.24875	630.56134	1.44e-38	465.66666	363.03693	1440.0	51.0	3.235325	3.0052452	21.262173	0.703567	50000	-2.9802322e-08	47.875973	-0.07336202	-8.001008	3.491674	14.977143	0.2762	7.0	57.77733325958252
5	83.626015	168.779	483.54443	5.1e-39	576.86664	363.19174	1433.0	51.0	4.03783	2.7048707	17.04846	1.5043311	60000	-1.4901161e-08	34.38185	0.14859238	-7.939536	3.3413413	2.0348017	0.2723	1.0	68.17218327522278
6	121.22618	253.53879	880.79443	4.9e-39	649.1539	423.7849	1440.0	19.0	2.8356388	0.23028849	8.179684	1.4395386	70000	-4.7683716e-07	34.357456	0.079337046	-0.2798102	3.5838242	222.59828	0.22029999	1.0	78.65495872497559
7	68.83837	147.32309	418.74542	5.51e-38	454.54544	290.2646	1149.0	51.0	3.1452448	0.56518316	4.9384813	1.7847797	80000	5.9604645e-08	26.88707	-0.024916157	-0.32244444	3.3476143	-0.005645927	0.4219	79.0	91.64867830276489
8	52.800644	127.73071	523.10614	3.7e-38	434.94446	343.26965	1330.0	19.0	189815.47	934768.75	4933872.0	1.9263277	90000	7.450581e-09	843801700000.0	-0.027891506	-822540960000.0	3.1918592	-0.35598245	0.69089997	79.0	104.573233127594
9	182.95084	377.2733	1555.9341	1.67e-38	444.75	333.52405	1172.0	53.0	3.5544586	0.33966547	6.835228	0.81386477	100000	5.9604645e-08	219.45079	-0.04710485	-18.922691	4.5009346	0.023154363	0.3408	79.0	117.2776927947998
10	203.63171	471.9887	1896.5059	2.05e-38	445.41177	278.65436	1121.0	113.0	6.462908	1.2878169	14.796451	0.9030357	110000	5.9604645e-08	251.18597	-0.016893767	-9.817961	4.4215765	0.07785392	0.0054	16.0	128.24361515045166
11	173.1177	462.99603	2058.2297	1.62e-38	476.1905	410.2279	1440.0	18.0	8.419418	2.1411545	16.422562	0.9020438	120000	-8.940697e-08	195.97719	-0.016290717	-13.662855	4.378479	0.078959145	0.0	4.0	138.90951490402222
12	161.11859	364.80475	1553.1125	1.9e-39	316.64	270.7239	1119.0	19.0	6.953234	1.3976849	15.888023	0.9021392	130000	0.0	266.1657	-0.0052112862	-4.976776	4.449445	0.07947031	0.0	5.0	149.52960729599
13	274.07413	690.14874	2769.1265	1.9e-39	492.1875	433.57184	1440.0	19.0	9.056945	1.9940693	25.383648	0.9026594	140000	5.9604645e-08	243.8208	-0.028355695	-23.332481	4.424881	0.08893852	0.0	5.0	160.16662335395813
14	571.7878	993.62317	2447.941	1.004e-37	1003.75	524.17	1440.0	83.0	9.15642	2.5620499	17.265074	0.902417	150000	0.0	284.84378	-0.014746755	-70.664734	4.461979	0.091511704	1e-04	4.0	170.70331478118896
15	110.767975	274.56406	1457.1415	5.2e-39	270.27026	179.52711	852.0	19.0	7.0112376	4.5356135	19.330193	0.45574498	160000	0.0	229.77965	-0.025702931	-27.081272	4.538109	0.07981774	0.1273	3.0	181.32117128372192
16	141.4385	435.13953	2239.2468	1.9e-39	258.32257	227.06691	1138.0	19.0	7.3923516	3.4278185	16.084124	0.68494266	170000	0.0	239.99944	-0.009780802	-32.209854	4.545584	0.089804724	0.052200004	4.0	191.8850338459015
17	156.93324	415.71707	1561.4786	8.2e-39	335.41666	292.51865	942.0	19.0	8.554668	4.6629343	19.025587	0.6725387	180000	0.0	199.22827	-0.010502629	-16.320375	4.552408	0.080643885	1e-04	3.0	202.41944289207458
18	178.69511	341.03323	936.2794	9e-39	476.4	384.6624	1440.0	19.0	5.246837	3.4969702	20.729794	0.90751314	190000	2.9802322e-08	272.00168	-0.08362526	-16.183874	4.583375	0.056148663	0.3574	79.0	215.24646377563477
19	189.46361	485.34668	2047.8405	6.1e-39	454.54544	320.79443	1053.0	60.0	8.138958	3.9858625	23.066986	0.9065515	200000	-2.9802322e-08	280.35913	-0.029721051	-32.064518	4.547253	0.08111979	0.0906	5.0	225.9350504875183
20	116.44837	265.8017	1106.4205	1.9e-39	275.79413	249.15514	951.0	19.0	8.26567	2.8809896	15.582884	0.88314897	210000	-2.9802322e-08	216.66402	-0.01826574	-5.0736275	4.5242863	0.07780792	0.14389999	4.0	236.56337141990662
21	275.50235	610.4546	2379.7551	4.68e-38	573.2143	500.04776	1440.0	20.0	9.044746	2.0989983	12.591224	0.87967235	220000	-2.9802322e-08	204.32732	-0.01530087	19.205132	4.5104723	386.69067	0.2964	3.0	247.12514448165894
22	208.68013	591.5032	2393.8743	1.9e-39	534.6875	316.87097	1320.0	19.0	3.5692055	0.97932786	4.7229824	0.73116004	230000	0.0	235.58194	-0.010537088	-13.574673	4.4921145	0.09567241	0.00059999997	4.0	257.71880412101746
23	128.47244	329.69058	1362.4294	5.2e-39	303.0303	283.75122	1044.0	3.0	5.25872	1.9056482	7.7185755	0.7337084	240000	2.9802322e-08	222.48984	-0.035288885	-9.1115055	4.4146633	0.078054495	0.18220001	4.0	268.2837812900543
24	250.73956	640.3265	2262.064	4.13e-38	639.25	452.9119	1440.0	19.0	7.3985515	2.5242448	10.175947	0.7354596	250000	5.9604645e-08	228.5625	-0.042438827	-1.0682545	4.269383	0.08301299	0.24589999	9.0	279.0724103450775
25	88.830605	212.91853	829.83295	1.9e-39	285.33334	275.88202	1440.0	19.0	6.3220205	3.1685104	10.254205	0.7359631	260000	5.9604645e-08	198.43738	-0.056885466	-1.5362921	4.329022	0.017762743	0.22530001	79.0	291.88448452949524
26	427.88364	824.28143	2669.7356	3.21e-38	861.0	426.06738	1440.0	321.0	8.678125	2.6415603	11.264366	0.73658913	270000	-2.9802322e-07	257.4801	-0.03298621	-0.20876026	4.1451225	0.095382355	0.2024	9.0	302.64053440093994
27	238.1225	406.95062	1424.7179	2.1e-39	555.55554	490.20746	1440.0	18.0	6.8980994	2.1284559	10.646078	0.7286929	280000	2.9802322e-08	235.67416	-0.050447635	-2.072586	4.2514133	0.08544208	0.2559	10.0	313.31343960762024
28	246.37747	651.11664	2664.529	5.2e-39	543.82355	386.2534	1440.0	52.0	8.335951	2.892044	11.787633	0.7277751	290000	-2.9802322e-08	270.1541	-0.048565544	-3.8628387	4.043974	0.10490532	0.24880001	2.0	323.9014904499054
29	157.26157	277.34668	1012.8876	2.69e-38	432.8	338.36688	1440.0	47.0	7.711503	3.0011873	12.247509	0.7279765	300000	8.940697e-08	202.66554	0.0034360364	-5.7209263	4.1248693	0.085351154	0.013499999	3.0	334.43355536460876
30	449.18848	773.9811	2003.1714	1.44e-37	959.625	400.0284	1440.0	52.0	9.101144	2.939251	13.156484	0.72804403	310000	0.0	233.73924	-0.018501692	-3.4337454	4.038011	0.075623244	0.0	3.0	345.0251967906952
31	206.59456	568.5526	2542.5696	3e-39	500.0	437.06088	1440.0	21.0	7.3386493	2.3973413	11.255158	0.72806674	320000	0.0	208.81633	-0.07355988	-4.809332	4.146314	0.08646998	0.4301	4.0	355.5885365009308
32	247.38155	646.3631	2636.7444	7.1e-39	542.9375	461.71103	1440.0	19.0	8.355364	3.4195993	14.3480835	0.7281263	330000	-5.9604645e-08	258.30283	-0.022173174	-30.746378	4.042665	0.09780592	0.2909	2.0	366.15115666389465
33	221.8491	488.27655	1597.1687	1.78e-38	443.55554	365.816	1440.0	7.0	7.085744	2.251934	13.022757	0.7283589	340000	-2.9802322e-08	246.36728	-0.062068976	-14.441601	3.9584239	0.08147907	0.3085	21.0	377.2795009613037
34	147.10587	276.47238	1072.7017	1.81e-38	368.2963	239.90381	983.0	38.0	8.064048	3.4324987	15.195024	0.72887725	350000	2.9802322e-08	223.21439	-0.01604613	-2.25918	4.034278	0.10985371	0.3116	3.0	387.88737893104553
35	173.55016	411.34702	1714.9962	5.4e-39	454.54544	392.01633	1325.0	51.0	7.2682033	2.9546638	13.567134	0.72891957	360000	-2.9802322e-08	204.29884	-0.05743794	-0.66500187	4.089199	0.08138654	0.3273	25.0	399.1092863082886
36	148.85701	353.37076	1330.6348	1.14e-38	454.86667	244.15019	890.0	113.0	8.002772	2.8007524	12.13821	0.72908336	370000	5.9604645e-08	234.74422	-0.03690309	-2.1343422	4.0078464	0.08362575	0.1375	4.0	409.68457436561584
37	238.57924	350.48386	1001.20935	5.11e-38	561.7143	416.9319	1440.0	143.0	10.041298	3.1545758	13.375986	0.7291784	380000	-8.940697e-08	241.57672	-0.024585158	-7.6969595	3.7869272	0.13128638	0.30339998	7.0	420.3633077144623
38	220.39505	337.35153	1139.8552	3e-40	438.5263	468.36664	1440.0	3.0	6.874711	2.2586398	13.367242	0.72888565	390000	0.0	233.19028	-0.014834613	-2.5741014	4.0305223	0.099242344	0.0013	3.0	430.9565351009369
39	183.15463	433.08038	1683.1061	1.13e-38	434.78262	319.17053	1085.0	3.0	7.9146647	2.9487417	14.787498	0.72929096	400000	0.0	247.10883	-0.028486863	-7.9575443	3.922193	0.1030699	0.22600001	3.0	441.4141139984131
40	198.88985	445.5143	1757.1978	1.9e-39	386.73685	299.78394	1267.0	19.0	9.174236	2.8588853	13.310306	0.7295125	410000	0.0	265.5298	-0.00726863	-2.9182377	3.6671116	0.07581791	0.0	1.0	451.95334029197693
41	184.46237	641.0192	2653.9963	1.31e-38	449.4375	409.78226	1440.0	27.0	8.429742	2.8274758	12.995588	0.7294997	420000	-8.940697e-08	228.96252	-0.10156985	-3.08037	3.6924782	0.080304	0.4817	17.0	462.9374406337738
42	139.6089	388.94537	1654.7336	6e-40	422.3889	268.45425	1124.0	6.0	8.144277	3.2517853	14.937092	0.72966653	430000	2.9802322e-08	156.04419	-0.029157855	-13.908775	3.6631298	0.07733232	0.1988	4.0	473.5764698982239
43	275.70947	640.474	1991.7491	1.41e-38	526.3158	298.62933	966.0	141.0	6.149015	1.7423682	11.336615	0.7297064	440000	-5.9604645e-08	351.74634	-0.05000288	-31.446495	3.8738127	0.077213965	0.22739999	7.0	484.2555341720581
44	350.95395	731.1015	2413.1614	8.74e-38	808.8182	396.1549	1440.0	205.0	10.641509	3.3794706	15.698222	0.73082113	450000	0.0	230.80507	-0.0249428	-9.954941	2.8841946	0.07673101	0.1774	8.0	494.86471939086914
45	171.90117	423.68008	1671.9932	5.2e-39	443.8889	383.57422	1200.0	51.0	7.8952627	3.4125292	13.103515	0.73018044	460000	-1.7881393e-07	233.70119	-0.05263778	-2.3380175	3.4034934	0.0872169	0.3193	10.0	505.5899679660797
46	199.32756	411.41504	1707.3463	2.26e-38	429.7619	335.55753	1275.0	22.0	7.9448485	3.0758386	14.648382	0.7302037	470000	-2.9802322e-08	250.75864	-0.015017077	-4.990015	3.3958836	0.149999	0.2797	2.0	516.1148443222046
47	272.1071	649.7533	2715.7263	1.92e-38	555.55554	381.10342	1440.0	142.0	8.726176	2.9953814	12.439908	0.73045677	480000	0.0	279.02374	0.0072389916	-21.36901	3.0370088	0.0784443	0.0	1.0	526.6472227573395
48	217.10808	413.31244	1228.975	1.13e-38	418.35	255.61305	1051.0	51.0	10.720355	4.2702227	16.88492	0.730544	490000	-5.9604645e-08	252.31483	0.00022710115	-8.443815	2.9887323	0.090395965	0.0	1.0	537.2112994194031
49	232.37616	607.2546	2251.278	5.2e-39	437.10526	391.46646	1440.0	52.0	9.007117	3.271443	13.566585	0.73025537	500000	-1.1920929e-07	268.77435	-0.0031540245	-5.6566753	3.2687807	0.07901511	0.0	1.0	547.7085301876068
50	159.39935	410.45026	1396.962	2.48e-38	478.17648	335.21622	1238.0	19.0	7.4988265	3.29461	14.2794895	0.73019964	510000	0.0	234.92224	-0.018933058	-6.019802	3.5759597	0.13129997	0.3165	2.0	558.2535743713379
51	197.57213	398.2801	1346.2045	1.32e-38	476.1905	337.8135	1127.0	53.0	8.354561	3.1388814	14.103948	0.7304145	520000	0.0	225.1514	0.017627515	14.4231415	3.2949972	2043.4327	0.357	1.0	568.7772305011749
52	247.08711	642.9493	2551.992	3.9e-39	598.5333	497.923	1440.0	39.0	4.031824	1.8944908	5.8055487	-0.58675086	530000	0.0	258.7345	0.0080648735	-11.218557	3.4115462	0.1065564	0.1531	2.0	579.4236278533936
53	256.4943	730.53625	3027.835	2e-39	510.94446	438.41882	1440.0	20.0	6.4207625	2.8979056	8.518945	0.19200194	540000	5.9604645e-08	269.1663	-0.0035378262	-9.217771	2.9313607	0.07891648	0.0	1.0	589.8782641887665
54	145.45595	448.5985	1981.7865	1.32e-38	410.9	369.43753	1386.0	19.0	7.8712516	3.679113	11.346972	0.053442918	550000	-8.940697e-08	271.38492	-0.0017422959	-0.7066002	2.7663777	0.08294864	0.0	1.0	600.4164845943451
55	123.34187	268.0345	965.4435	1.13e-38	384.6154	316.345	1440.0	44.0	6.5503335	4.0818434	11.757108	0.041304342	560000	2.9802322e-08	159.58412	-0.009181112	-6.1357536	3.1537821	0.1422191	0.3506	2.0	610.981271982193
56	494.36734	963.0362	2794.0295	1.51e-38	879.6667	562.8085	1440.0	9.0	7.2286625	2.6371682	9.432475	0.110418126	570000	5.9604645e-08	286.18628	0.0002503395	-5.1407585	2.811029	0.094082326	0.0	1.0	621.4768843650818
57	335.18317	886.81134	2681.4653	3e-38	951.875	496.35507	1440.0	300.0	8.782878	3.4175146	11.971636	-0.30934703	580000	-5.9604645e-08	285.1493	-0.032747075	-0.81327057	2.4966712	0.14107525	0.2637	9.0	632.3152523040771
58	148.93738	245.9106	757.2401	1.43e-38	504.94116	399.55984	1440.0	18.0	6.9803014	3.5836499	13.151323	-0.34180555	590000	-2.9802322e-08	187.56894	0.0012122989	-2.5727844	3.0926065	0.11621533	0.279	2.0	642.8497958183289
59	175.27603	459.08374	1620.5975	1.9e-39	434.78262	385.5071	1440.0	19.0	7.4680595	3.2687988	11.784256	-0.14482173	600000	-2.682209e-07	239.555	-0.009982742	-1.9132662	2.8786006	0.103929825	0.0	1.0	653.3537800312042
60	276.0269	798.2766	2790.5972	1.14e-38	695.0909	557.8842	1440.0	114.0	6.8793297	2.7077029	10.213176	-0.29703373	610000	2.0861626e-07	289.04834	-0.019202761	-5.3528633	2.9403605	0.07710336	0.075500004	2.0	663.8381841182709
61	204.3123	663.1945	3241.0684	1.9e-39	374.16666	392.53882	1440.0	13.0	8.119685	4.2072134	12.323521	-0.26052156	620000	1.7881393e-07	283.08524	0.008212827	-4.6188393	2.860468	0.09815261	0.4095	5.0	674.5353701114655
62	188.1567	571.09973	2624.4946	1.12e-38	415.34784	381.2164	1368.0	19.0	9.550388	4.373985	15.220727	-0.57227635	630000	6.2584877e-07	260.32202	-0.036134765	-4.725562	2.6843247	0.081292845	0.0372	1.0	685.1166594028473
63	242.1734	563.12555	1976.7273	3.24e-38	588.2353	426.35562	1440.0	19.0	8.757647	3.3694553	13.853795	-0.2601872	640000	5.9604645e-08	233.77792	-0.05105169	-5.8303967	2.6499634	0.14375979	0.3872	1.0	695.6968219280243
64	143.30988	426.31943	1864.0007	1.9e-39	445.73685	383.33893	1440.0	19.0	6.887458	3.6261249	11.509657	-0.3993662	650000	8.940697e-08	182.07298	-0.019836694	-3.1850624	3.0089703	0.15989353	0.3972	1.0	706.220529794693
65	197.19032	623.11475	2261.6184	6.6e-39	646.5833	544.6653	1440.0	52.0	6.840687	2.3879123	9.186162	-0.19529873	660000	8.940697e-08	254.15787	-0.0030986294	-5.4457903	2.7945638	0.21720299	0.62909997	1.0	716.738007068634
66	306.38647	632.07043	1802.923	7e-39	610.9286	375.52145	1440.0	70.0	8.49531	3.0941586	11.882683	-0.37523997	670000	1.7881393e-07	280.15417	0.0070217103	-1.6101208	2.5832136	0.25511593	0.5788	1.0	727.3517236709595
67	195.36978	442.4167	1335.215	5.3e-39	454.54544	321.17368	1135.0	19.0	7.1241407	3.6728728	11.627643	-0.51162636	680000	-5.9604645e-08	231.56467	0.026834995	-2.7720604	2.9775074	0.17711917	0.4269	1.0	737.9054551124573
68	191.1942	495.92642	2186.0532	5e-39	438.38095	442.5343	1440.0	19.0	8.973517	3.7909484	14.432447	-0.417561	690000	1.7881393e-07	236.41855	0.010932781	-2.5879507	2.6371555	0.1569943	0.3925	1.0	748.3579869270325
69	217.88727	695.24347	2946.389	1.43e-38	490.41177	419.60782	1440.0	111.0	8.939803	3.4692588	13.208358	-0.44552284	700000	4.172325e-07	274.19696	0.018722095	-3.6654606	2.5100808	0.14867568	0.1714	1.0	758.8716430664062
70	162.01735	314.65305	903.43726	1.9e-39	508.64706	387.30453	1339.0	19.0	8.036777	4.2661734	15.633834	-0.5462111	710000	-1.1920929e-07	157.99158	-0.024447165	-25.25393	2.872426	0.19757785	0.4774	1.0	769.4503927230835
