Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	149.64624	237.51224	904.2383	2.4e-39	389.08	377.3093	1440.0	24.0	3932.6755	8488.815	133915.75	-0.12737386	10000	2.4680048e-08	87470240.0	-0.12832817	-87463470.0	1.3522103	315.5296	0.79330003	64.0	12.719254493713379
1	196.21848	241.66177	714.1617	7.2e-39	512.06665	250.16408	893.0	72.0	8500.7295	605852.25	45685064.0	-3658.8066	20000	4.656613e-10	367129200000.0	0.0022960198	-367129200000.0	1.36788	346.85718	0.2279	2.0	23.39063024520874
2	260.4105	288.84213	868.63855	3.03e-38	462.5625	232.77214	1018.0	205.0	1.8194898	0.5917318	12.095233	0.10654184	30000	0.0	204.15677	-0.00838092	-10.952461	1.7733411	0.037306502	0.0779	79.0	36.05644488334656
3	462.93726	600.49927	1676.0037	3.02e-38	833.3333	486.19153	1440.0	8.0	2.4256294	0.70451546	13.483442	0.26271904	40000	0.0	242.70882	0.103724614	-9.037544	1.7721528	84.666435	0.2398	9.0	46.79150080680847
4	251.29561	317.67245	1119.317	1.95e-38	390.05	276.21466	979.0	52.0	3.3310797	1.4746444	27.265759	0.24402027	50000	8.940697e-08	278.3146	0.1002281	9.761345	1.7620203	238.70236	0.1877	4.0	57.52431678771973
5	159.70123	277.82874	1315.2407	1.9e-39	281.72415	303.04398	1362.0	10.0	2.8434095	1.3838363	22.336212	0.2302469	60000	0.0	256.25552	0.08928673	-3.713256	1.7627817	98.9309	0.2071	5.0	68.32633066177368
6	301.945	405.56155	1188.7218	1.8e-39	491.5	368.1034	1055.0	18.0	2.876069	1.1866912	15.778473	0.2208275	70000	-2.9802322e-08	228.23758	0.10436179	4.9479303	1.7438655	428.28137	0.2185	5.0	79.16564154624939
7	227.6918	335.22467	1294.6073	1.9e-39	400.0	263.6625	921.0	19.0	2.6861	1.105362	12.513904	0.17861676	80000	0.0	234.24643	-0.013161212	-23.319141	1.7150531	0.03211689	0.1025	79.0	91.87290978431702
8	234.47914	279.57846	866.5758	4.64e-38	451.77274	255.37352	1016.0	52.0	3.4649808	1.4844459	18.808392	0.17953727	90000	2.9802322e-08	171.7182	0.161244	8.675929	1.6621716	299.93576	0.3495	11.0	102.71347999572754
9	295.82404	561.6536	1829.1749	1.221e-37	678.7273	555.6304	1440.0	36.0	3.3973079	1.5779711	21.431093	0.16107309	100000	-2.9802322e-08	262.961	0.09416638	11.242553	1.6003752	608.94763	0.3687	13.0	113.60327315330505
10	315.61606	423.341	1344.2439	2.78e-38	472.3889	300.497	1049.0	52.0	2.5609066	0.9752716	6.4355187	0.13398366	110000	-8.940697e-08	262.1097	0.1297021	-8.903428	1.5952919	105.447815	0.2153	1.0	125.64004802703857
11	309.36362	416.38492	1085.769	9.1e-39	588.2353	392.14395	1440.0	52.0	2.987481	1.0684222	6.4121246	0.13438669	120000	0.0	207.71915	0.10642737	-10.839142	1.5366904	55.805885	0.3557	41.0	138.90676093101501
12	405.8614	622.70776	2051.4104	2.26e-38	656.0769	452.51254	1440.0	222.0	4.148953	1.6199377	8.108966	0.13718534	130000	0.0	323.55692	-0.019017175	-67.92775	1.4966857	0.019536627	0.1656	79.0	151.81465005874634
13	212.37544	424.1279	1703.9769	5.6e-39	418.6111	355.85504	1440.0	20.0	7.829775	4.412532	51.33317	1.2377616	140000	2.9802322e-08	175.34299	0.10325611	-8.830574	1.4488074	27.642405	0.3639	71.0	164.39030146598816
14	234.56354	291.0995	830.1019	1.356e-37	398.35294	336.14755	1356.0	19.0	8.285869	3.866734	50.601048	0.9565252	150000	-2.9802322e-08	195.26114	0.10185623	5.2125006	1.4175498	197.94882	0.2045	2.0	176.53122329711914
15	226.73254	288.05426	1144.468	1.11e-38	400.0	257.70123	950.0	111.0	6.3384337	2.8649535	13.11549	0.1351259	160000	-5.9604645e-08	175.689	0.15405995	-9.3344345	1.3289337	40.482147	0.5674	2.0	187.24548864364624
16	232.2279	353.94086	1206.565	1.9e-39	372.41666	323.20285	1052.0	7.0	8.989442	4.1725783	49.325306	0.9189673	170000	-5.9604645e-08	207.57176	0.124655634	-6.049616	1.3503207	81.27908	0.3107	22.0	198.644549369812
17	232.33553	364.95853	1426.846	1.9e-39	410.8421	392.73672	1440.0	19.0	9.582841	3.5254846	18.612774	0.13901381	180000	0.0	213.2077	0.089318916	-3.3548698	1.27607	39.045334	0.24599999	12.0	209.59490990638733
18	684.55804	793.7424	1935.9338	9.59e-38	934.8889	492.1595	1440.0	52.0	9.567461	3.7128098	28.039679	0.14054057	190000	0.0	224.97176	0.10768835	-3.7525387	1.3461144	79.64272	0.23089999	21.0	220.91613221168518
19	236.44014	362.93237	1355.8425	5.3e-39	370.37036	371.494	1440.0	19.0	10.379551	3.7860863	18.678045	0.13920861	200000	0.0	197.17003	0.10325587	-1.1839218	1.2859163	54.568954	0.2316	31.0	232.53524899482727
20	454.74075	673.0609	2275.3767	1.43e-38	571.4667	447.33267	1440.0	12.0	10.796366	3.475774	17.48673	1.0082228	210000	-2.9802322e-08	269.5667	-0.0031847358	-7.6001625	1.3216479	0.08447703	0.27530003	2.0	243.5919589996338
21	372.61554	528.84576	1823.8798	2.07e-38	605.0909	463.96658	1440.0	137.0	10.843513	3.8055265	26.958635	0.14028884	220000	2.9802322e-08	173.6553	0.0041906834	-2.9713383	1.1688263	0.07917152	0.26850003	2.0	254.19241762161255
22	597.4548	743.7851	2124.777	4.5e-38	764.9167	434.39218	1440.0	112.0	11.613178	3.7275121	18.502138	0.14157051	230000	5.9604645e-08	299.98334	0.0029010624	-9.0386505	1.3012462	0.08252135	0.33600003	2.0	264.9060432910919
23	384.07172	498.32443	1960.44	4.2e-38	555.55554	390.18304	1440.0	72.0	12.917264	3.9475112	21.083279	2.0339081	240000	-2.9802322e-08	222.91795	-0.0001590848	-1.8953094	1.1067183	0.09028718	0.2811	1.0	275.5123882293701
24	332.8732	389.07178	1106.0137	5.2e-39	378.22726	329.7656	1440.0	19.0	13.216261	3.7662413	20.421267	0.14809985	250000	0.0	262.05508	0.010970354	-2.0115242	1.1043026	0.08972879	0.2439	1.0	286.2354643344879
25	409.30127	564.02637	2132.8215	5.63e-38	541.9375	432.82352	1440.0	19.0	13.680696	3.9239242	21.155796	0.15021808	260000	2.9802322e-08	287.2215	0.008985832	-2.0309258	1.0564191	0.095896766	0.3703	1.0	297.04752135276794
26	420.49792	672.3527	2375.6514	2.8e-39	498.1579	399.57022	1317.0	28.0	15.3211	3.7720742	22.31676	0.15270609	270000	-2.9802322e-08	315.03134	0.01917836	-1.283596	0.9358699	0.09234467	0.29439998	2.0	307.6472153663635
27	252.44936	545.3676	2267.9915	2e-39	357.14285	387.38565	1439.0	8.0	15.802425	3.552335	22.347742	5.228953	280000	-5.9604645e-08	252.85516	0.052223414	-9.858006	0.75600785	17.517105	0.1997	4.0	318.33360290527344
28	465.42715	694.84436	1927.7332	1.1e-38	673.9167	465.6337	1440.0	51.0	12.948601	3.0368953	19.44601	0.1524753	290000	5.9604645e-08	238.18634	-0.00756599	-1.3316536	0.8601378	0.017587401	0.0575	79.0	330.6847653388977
29	398.41138	629.75464	2343.967	5.2e-39	464.1579	360.554	1440.0	52.0	13.712328	2.8782928	19.61203	0.15483555	300000	2.9802322e-08	309.45212	0.042785183	-7.524521	0.87008727	10.247226	0.1889	24.0	341.60474729537964
30	445.2342	643.1619	2187.2078	5.3e-39	551.13336	463.17325	1440.0	38.0	14.729446	3.403707	21.206928	0.15502974	310000	2.9802322e-08	285.96643	0.08317895	-1.5423431	0.7913095	36.88481	0.218	8.0	352.08909034729004
31	522.0339	794.7817	2735.359	8e-40	588.2353	427.38324	1440.0	2.0	15.178567	2.9571266	20.96178	0.14645067	320000	0.0	342.04968	-0.0070460737	-4.4446144	0.83459437	0.0005695566	0.042	79.0	364.22503900527954
32	370.98935	594.1076	1767.5396	1.41e-38	444.45	355.29868	1269.0	10.0	16.75513	3.3358078	22.443277	0.14953457	330000	0.0	318.92337	-0.010271996	-4.077072	0.825145	0.016758475	0.0481	79.0	376.39339876174927
33	238.251	408.7966	1400.968	1.9e-39	297.2143	251.29541	930.0	19.0	15.247253	3.0911121	21.573494	0.15173143	340000	-5.9604645e-08	262.56754	-0.011296198	-4.9260635	0.73457396	0.018650023	0.06640001	79.0	388.53646779060364
34	349.95715	533.38153	1784.3876	5.2e-39	548.8461	444.7782	1440.0	52.0	13.262945	3.1269398	19.512302	0.15265632	350000	5.9604645e-08	301.15692	-0.014923587	-11.805901	0.837277	0.008107094	0.090900004	79.0	400.66357016563416
35	266.47183	583.6501	2553.5312	1.9e-39	322.58066	351.33072	1440.0	19.0	15.843388	3.1929724	21.342308	0.15504365	360000	2.9802322e-08	302.23694	0.09076151	-3.5126648	0.68467635	11.6975	0.1656	68.0	412.4949531555176
36	333.7004	460.7008	1384.5363	6.12e-38	588.5833	200.8766	944.0	256.0	14.882681	2.991113	20.283699	1.6163287	370000	2.9802322e-08	281.82858	0.08025721	-1.407608	0.70253634	13.239834	0.1676	22.0	423.2718713283539
37	479.0727	622.7971	2175.8186	1.3e-39	586.4375	449.43436	1440.0	13.0	15.748137	2.528752	20.23885	0.15733838	380000	5.9604645e-08	296.94577	-0.0121319	-3.6552124	0.5612728	0.018023025	0.075	79.0	435.4046516418457
