Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	92.191956	236.42308	762.2058	1.37e-38	554.7647	453.21265	1440.0	108.0	4383.2964	7607.517	65713.1	-0.121764734	10000	-3.236346e-08	77037420.0	-0.11745351	-76638030.0	1.2883717	246.71066	0.2841	17.0	11.663899660110474
1	169.7867	350.3004	1284.1663	1.44e-37	610.61536	502.92584	1440.0	18.0	22.346289	35.611404	243.32878	0.6566813	20000	-2.9802322e-08	1651.9949	-0.0901088	-1580.3235	1.3152416	109.88794	0.2646	1.0	22.466398000717163
2	1.1612966	3.0137944	10.100966	5.97e-38	608.6	409.58545	1440.0	53.0	4.135558	0.3891361	9.543981	1.2003831	30000	-2.3189932e-07	17.001938	-0.0059933304	-5.3738446	0.015183998	-0.0009221487	0.0044	79.0	35.34512972831726
3	3.9462457	7.841816	34.876434	2.42e-38	434.78262	335.57828	1440.0	19.0	13.862572	5.7027493	107.97654	0.38030732	40000	-5.7742e-08	222.5516	-0.0034075337	-214.83481	0.02791298	-0.0012412276	0.0025	79.0	48.1457154750824
4	0.76331806	2.5316396	9.159817	4.9e-39	712.8333	522.2825	1440.0	49.0	-3.768203	1.7466757	0.36940798	-21.68195	50000	-3.7951395e-08	17.080164	0.14497489	-16.967346	0.022369688	9.469809	0.9875	11.0	59.19121026992798
5	107.44003	346.65372	1497.5127	1.9e-39	455.27777	377.65588	1440.0	19.0	0.23926324	0.17892715	0.37406892	-0.18878306	60000	1.4901161e-07	88.63464	0.2940848	-10.360882	1.3204298	117.13248	0.2626	1.0	70.0703136920929
6	2.6463892	7.4155107	35.23266	1.14e-38	393.68182	277.9224	1215.0	19.0	-0.5008294	0.46440935	4.142468	-3.8995624	70000	-9.313226e-09	0.9166652	0.033252068	-0.33388895	0.035971843	1.6866362	0.9799	4.0	81.60581684112549
7	3.2598095	7.406986	26.250063	1.06e-37	833.3333	519.1909	1440.0	120.0	-0.06914822	0.1819707	2.189672	-0.37516046	80000	1.8626451e-09	0.32538867	-0.0018887124	0.31541654	0.022731684	1.7031214	0.9873	1.0	92.68360018730164
8	330.7936	947.4269	3843.053	1.41e-38	487.58823	512.21814	1440.0	19.0	0.5358356	0.068839334	0.79289204	0.39236617	90000	-5.9604645e-08	611.2896	-0.025131494	-6.7602186	1.7899246	-0.1043076	0.40029997	79.0	105.47962689399719
9	421.73038	840.8109	2347.9866	2.2e-38	644.8	442.85773	1440.0	7.0	0.852752	0.011331294	1.7837425	0.8524877	100000	5.9604645e-08	651.0122	-0.014767572	-16.666403	1.7790558	0.07540423	0.0	58.0	117.92172574996948
10	218.14449	590.7563	2604.674	5.3e-39	359.9	327.36673	1280.0	50.0	1.594611	0.0029090259	1.7672069	1.5945389	110000	-5.9604645e-08	530.42645	-0.015338168	-14.013162	1.7838057	0.0048552505	0.0	79.0	130.84556770324707
11	216.15372	576.5123	2242.8586	1.4e-39	384.6154	326.74255	953.0	2.0	2.3526459	0.0104187885	2.7955513	2.352105	120000	2.9802322e-08	449.10175	0.010965884	7.1140785	1.7885995	2.378878	0.036799997	18.0	142.50923538208008
12	200.53227	433.30237	1637.0825	1.05e-38	421.7	258.77966	914.0	37.0	1.9453847	0.028445492	1.948625	1.0696108	130000	-5.9604645e-08	478.0334	-0.011523992	-0.51628345	1.7897735	-0.037845533	0.085700005	79.0	155.79581499099731
13	292.96817	804.06757	3383.2524	2.06e-38	485.05554	343.6357	1440.0	51.0	1.9751197	0.019665496	2.0985436	1.5005481	140000	2.9802322e-08	481.17108	-0.014889926	-1.0044982	1.7765021	-0.00033338694	0.0681	79.0	170.57771563529968
14	3.471663	10.525033	42.33502	1.26e-38	576.26666	338.55643	1440.0	126.0	3164.4216	628.4128	14709.314	2.0154538	150000	4.656613e-08	10267393.0	-0.0051680207	-10221982.0	0.020474248	-0.0010203912	0.0058000004	79.0	184.9446439743042
15	205.16573	577.4717	2869.3613	9e-40	370.37036	314.89352	1208.0	9.0	0.2169054	0.031064454	0.60436726	-0.20353547	160000	5.9604645e-08	501.6064	-0.023416087	-1.663614	1.7594826	0.014635013	0.1851	79.0	198.77057313919067
16	294.13083	863.31824	3241.3916	1.11e-38	538.1539	500.19315	1440.0	22.0	0.3032612	0.03708511	2.1653888	-0.10733985	170000	2.9802322e-08	594.51416	-0.01808086	-10.902899	1.766005	510.83673	0.099199995	9.0	210.70393443107605
17	7.176286	14.985083	59.722816	1.31e-38	430.18182	443.5007	1440.0	18.0	1.5170631	0.39715222	9.172757	0.32265037	180000	-1.1175871e-08	5.1394053	-0.008307492	-2.2091808	0.059645128	-0.0017754132	0.011700001	79.0	223.72873306274414
18	518.3424	904.3284	2290.3794	7.71e-38	938.25	476.30655	1440.0	19.0	0.81521755	0.18505259	3.2895365	0.21704878	190000	1.1920929e-07	537.4507	-0.012258559	-6.7745986	1.6745851	319.08258	0.1151	4.0	234.7805826663971
19	251.45752	545.56714	1933.1583	2.6e-39	454.54544	340.24026	1063.0	6.0	1.0986626	0.3328955	9.144607	0.20198852	200000	0.0	490.61478	0.0072342306	-1.9966578	1.5818286	275.90726	0.0406	1.0	245.6612982749939
20	11.557497	33.60301	140.55916	1.13e-38	542.5294	435.93268	1440.0	53.0	-26.852625	10.182437	6.653723	-217.0905	210000	7.892959e-08	810.8776	0.14475016	-797.111	0.04098119	1208.7959	0.9873	14.0	256.9089186191559
21	245.39926	505.62344	1766.622	1.66e-38	419.5	309.11816	1440.0	19.0	1.7598566	1.5144341	20.195225	-0.031178609	220000	2.9802322e-08	476.1886	-0.043015502	-27.051872	1.3679681	0.061445557	0.16669999	79.0	269.7773108482361
22	112.83352	236.51106	719.3156	5.1e-39	304.29166	207.90553	934.0	51.0	2.9066668	1.3300338	17.179916	0.26573125	230000	0.0	318.73206	-0.017613262	-16.530645	1.1990819	0.04447773	0.10440001	79.0	282.74995827674866
