Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.720806	52.23516	194.7055	0.0	626.46155	535.028	1440.0	35.0	2474.9429	4096.267	20806.129	-0.120091856	10000	8.1490725e-10	22879976.0	-0.13919432	-22814540.0	1.2880015	59.887634	0.29839998	24.0	10.995415925979614
1	20.983139	56.25953	240.31677	0.0	511.7647	439.94244	1440.0	70.0	7.56475	11.806268	170.64615	0.43913656	20000	0.0	186.34117	-0.11460382	-175.77257	1.3157401	17.796051	0.2686	8.0	21.45311689376831
2	0.15650934	0.304944	0.90542305	0.0	712.9231	403.94257	1440.0	113.0	2.9236588	1.2739216	18.189243	0.54954046	30000	1.4342368e-07	10.065908	-0.0019953912	32373.246	0.022314206	-0.001042508	0.0034	79.0	33.53873801231384
3	0.42490616	0.9054698	3.3083324	0.0	555.55554	444.25922	1440.0	112.0	114127.984	418289.72	3687406.8	-370.38162	40000	0.0	187991490000.0	-0.0007202476	-187991490000.0	0.030041764	-0.0010282883	0.0011	79.0	45.84447145462036
4	41.673866	64.26143	180.59889	0.0	538.0625	358.45404	1440.0	19.0	-0.7155667	0.12708983	-0.4808692	-1.7273229	50000	-1.4901161e-08	11.144488	0.1502565	-2.3255913	1.7808275	159.40869	0.3271	29.0	56.82178354263306
5	51.36647	127.86468	455.34875	0.0	655.0833	560.0584	1440.0	92.0	-0.0066151	0.0685668	0.5726272	-0.26121566	60000	-1.4901161e-08	11.146362	-0.011726491	-2.41369	1.7768408	0.019538429	0.0889	79.0	68.97841882705688
6	21.475845	62.192047	301.13422	0.0	217.41176	268.02032	1355.0	19.0	1.630273	0.6715685	6.111606	0.2048467	70000	-2.9802322e-08	11.599673	0.12530285	-0.500841	1.7423608	69.87398	0.2897	2.0	79.22675061225891
7	38.702415	95.68024	430.7946	0.0	476.1905	367.91663	1372.0	28.0	1.0391532	0.40495238	6.0622873	0.31551787	80000	-5.9604645e-08	11.057621	0.14758483	1.7869503	1.7591002	1087.7659	0.3236	7.0	89.5986168384552
8	35.670982	69.03712	262.9552	0.0	504.33334	300.10056	1440.0	130.0	0.25694203	0.3473566	3.174931	-0.1084687	90000	-2.9802322e-08	9.986511	0.13163775	0.028956108	1.7706865	780.82227	0.7098	15.0	100.19165372848511
9	29.673271	87.42482	328.59747	0.0	534.1539	502.15518	1440.0	23.0	0.29514816	0.8315221	4.9646816	-0.38179636	100000	2.9802322e-08	22.512196	0.14948222	-0.64851415	1.7129664	480.47827	0.3642	5.0	110.49456524848938
10	59.03471	147.14809	612.6944	0.0	502.1111	331.3655	1440.0	19.0	0.5821722	0.9185764	5.0313916	-0.41096747	110000	-2.9802322e-08	27.782017	0.12501693	-1.5919422	1.6944125	116.784744	0.3308	2.0	120.77448844909668
11	47.680344	118.27302	446.4416	0.0	588.2353	460.18887	1440.0	19.0	0.87134844	0.93366677	7.0626793	-0.3741765	120000	-1.4901161e-08	12.115393	0.12932351	0.002432555	1.6880606	246.44194	0.3491	2.0	131.05674958229065
12	25.69175	50.85096	211.72842	0.0	363.36	222.02052	874.0	38.0	1.073452	1.3317556	8.325987	-0.5091897	130000	-2.9802322e-08	9.285621	0.14745423	-0.08413851	1.674237	1328.8792	0.3667	2.0	141.35162830352783
13	62.491756	184.19235	786.4715	0.0	502.64706	467.849	1440.0	22.0	0.98658997	1.4754713	6.593894	-0.79866844	140000	0.0	26.809183	0.09409	-0.651454	1.6162302	1178.1974	0.5876	4.0	151.57858777046204
14	48.72065	154.42583	659.5985	0.0	388.66666	293.79962	1089.0	19.0	1.0909588	1.4339997	8.474763	-0.4932891	150000	-5.9604645e-08	26.34996	-0.011837631	-0.47343695	1.5593269	0.08811909	0.286	4.0	161.89372205734253
15	47.115852	110.26566	395.82214	0.0	588.2353	467.8213	1431.0	51.0	1.5219508	1.7459232	9.042265	-0.51924264	160000	0.0	15.287057	-0.020582132	-0.97387075	1.5065606	0.07500684	0.1748	2.0	172.09478640556335
16	65.19779	126.97309	408.44687	0.0	599.0769	381.5536	1440.0	19.0	0.91518533	1.1808153	5.820485	-0.58986855	170000	0.0	16.83282	0.111906044	-0.13153419	1.3882666	45.79946	0.39630002	1.0	182.3061740398407
17	82.756744	146.17126	417.8389	0.0	679.4545	538.01904	1440.0	107.0	1.076919	1.2137312	6.0250187	-0.5320736	180000	1.4901161e-08	15.985447	-0.011288285	-0.09659636	1.4087372	0.08905332	0.2615	2.0	192.54997849464417
18	64.873795	173.74449	748.62604	0.0	475.5263	421.8648	1440.0	14.0	1.2050377	1.2903533	6.4069257	-0.5078898	190000	-2.9802322e-08	30.43837	0.11073193	-0.5249064	1.3678055	93.315475	0.3996	1.0	202.82915925979614
19	66.348946	135.03995	452.64728	0.0	588.2353	288.82162	1095.0	87.0	1.5942729	1.6550964	7.9317017	-0.490273	200000	0.0	22.15864	-0.0071804374	-0.4087556	1.2727048	0.11950162	0.2766	2.0	213.03892946243286
20	88.90304	248.89217	967.35474	0.0	572.7857	369.81775	1440.0	157.0	1.3040264	1.312268	6.460808	-0.41769618	210000	0.0	33.605427	-0.00041662157	-0.46670938	1.2737669	0.10017064	0.2319	2.0	223.3289041519165
21	65.438065	174.4068	619.5938	0.0	517.0	390.0839	1440.0	17.0	1.7036834	1.674298	9.491034	-0.36931658	220000	0.0	29.071718	-0.0076646954	-0.31481445	1.1983371	0.104455225	0.2454	2.0	233.66483283042908
22	59.99126	122.85942	435.41162	0.0	644.4167	414.46	1440.0	19.0	1.33756	1.3807689	9.338115	-0.3663398	230000	4.4703484e-08	12.583574	-0.012564294	-0.37025678	1.1834126	0.10097068	0.2468	2.0	244.1408610343933
23	65.01331	134.10117	636.7216	0.0	333.33334	208.54678	824.0	5.0	1.6282908	1.6967896	7.1706166	-0.36340186	240000	0.0	61.10785	0.00030232966	-1.5375113	1.0353298	0.114928454	0.2435	2.0	254.44514441490173
24	106.42388	217.22498	742.76843	0.0	554.94116	422.01776	1440.0	52.0	2.4096453	2.2449682	11.172021	-0.2686238	250000	2.9802322e-08	57.705177	0.0017481148	-0.8055699	0.8809685	0.10024285	0.2189	2.0	264.75244212150574
25	50.672573	109.53579	480.36862	0.0	337.5	372.01822	1440.0	18.0	2.5588233	2.1641278	10.394326	-0.04724151	260000	0.0	38.7299	0.12688749	-0.575904	0.8300885	199.3324	0.49719998	1.0	274.9235575199127
26	47.798664	99.99044	337.7294	0.0	483.27777	349.78802	1440.0	49.0	1.6406766	1.2681696	6.363184	-0.058608502	270000	-2.9802322e-08	14.875382	-0.0064361244	-0.5221575	0.7817344	0.11565601	0.23969999	2.0	285.1885006427765
27	68.695114	144.7647	488.08163	0.0	500.0	381.7388	1440.0	80.0	1.5482689	1.1808134	6.653771	-0.058451593	280000	0.0	32.507893	-0.0012501553	0.76312804	0.7299588	0.09771576	0.2263	2.0	295.4452588558197
28	62.701767	182.14534	760.58905	0.0	477.88235	404.51147	1440.0	19.0	1.0139087	0.81167555	3.919207	-0.15599649	290000	0.0	23.465487	-0.0017249063	-0.33688906	0.7727475	0.08703313	0.20809999	2.0	305.70904326438904
29	90.312675	219.42465	778.2347	0.0	524.0	372.7794	1440.0	113.0	1.325996	0.9956966	4.126355	-0.097868785	300000	2.9802322e-08	42.227715	-0.00093426555	-0.8645156	0.6083465	0.103370205	0.2319	2.0	315.9814221858978
30	75.564606	137.21478	502.7092	0.0	574.3333	460.0101	1258.0	21.0	1.6911379	1.1632572	6.2737217	-0.05980189	310000	1.4901161e-08	23.809366	-0.004819885	-0.086005926	0.5590214	0.10160905	0.2209	2.0	326.28867864608765
31	80.89952	212.66211	804.5304	0.0	555.55554	419.55493	1440.0	5.0	1.8121626	1.2483467	6.596391	-0.059119	320000	-1.4901161e-08	35.565483	-0.00043351203	-0.28541756	0.47656995	0.08561203	0.2024	2.0	336.50872135162354
32	95.671974	183.87743	660.5606	0.0	465.4375	221.62833	953.0	113.0	2.046304	1.3930072	7.06365	-0.057828665	330000	-2.9802322e-08	43.191307	-0.0022963807	-0.16914952	0.43357787	0.09172548	0.2035	2.0	346.7568025588989
33	125.12853	298.31363	950.078	0.0	723.9231	489.3087	1440.0	52.0	2.0444734	1.2420381	5.806373	-0.056454092	340000	2.9802322e-08	42.96921	-0.0036675334	-0.61431754	0.40429592	0.09362801	0.213	2.0	357.1246693134308
