episode,steps,actions,episode_reward
1,729,628,644.3700676885145
2,271,229,226.65809732077958
3,942,823,949.4909531236342
4,58,56,71.56843350858972
5,149,138,170.8623780092085
6,819,723,895.5919042884932
7,32,31,18.721579451092303
8,175,173,292.00340837997726
9,207,195,264.54354810358404
10,452,417,613.4030070872012
11,166,150,178.86765468268285
12,286,256,346.66012393633366
13,452,388,505.0526366567311
14,207,200,295.2594394612673
15,55,52,58.23516484451754
16,152,148,246.52863183734615
17,569,514,705.1144254813701
18,279,233,286.65161492281504
19,722,615,647.9457981110698
20,278,228,209.2438521796126
21,935,806,896.0563313216107
22,65,63,113.06841099508648
23,504,457,547.6715376482643
24,496,437,524.6631318304474
25,323,290,387.3365961606676
26,677,590,686.8748173092744
27,536,456,443.9797082624179
28,452,414,565.7268134740681
29,12,10,7.982299876909644
30,1000,841,788.731484483306
31,201,184,276.7063901455156
32,799,692,776.4436405621004
33,202,175,183.89959212541117
34,798,682,638.0916758524479
35,203,174,164.50773016656362
36,797,686,715.1029721252537
37,204,177,228.43731063314894
38,796,712,852.453735863573
39,23,17,15.944684023353226
40,819,696,833.0730491544789
41,158,122,141.75746307673
42,1000,822,1020.2645533894064
43,55,43,52.62413384735626
44,819,709,1067.7381744859404
45,126,117,166.64847528161457
46,81,81,153.71863687491594
47,819,722,878.7498139609231
48,100,92,153.0942545370174
49,352,315,362.361705432969
50,648,582,837.3477319491161
