episode,steps,actions,episode_reward
1,1000,913,1096.4457404534392
2,213,209,382.9046054043496
3,452,452,875.3348500336172
4,335,324,510.32867268241256
5,878,856,1478.5419000373313
6,122,118,156.78409611606583
7,697,635,736.1511863871262
8,303,303,593.6829472490123
9,149,149,281.6386574099203
10,207,207,392.35687269274337
11,644,624,951.2760658772548
12,569,529,680.5613049050081
13,431,430,808.9165585810216
14,782,775,1386.192501526804
15,218,216,413.3149942047616
16,601,582,946.4471109920149
17,399,386,628.8857249795334
18,602,577,933.1326187174429
19,398,342,308.39717078094674
20,815,750,941.4121500317603
21,185,185,353.6424903109611
22,22,22,9.83853441531041
23,569,569,1134.8674997715707
24,207,207,417.3088614687054
25,202,201,359.47080491286164
26,799,737,1009.9967006845461
27,201,201,388.348441065724
28,6,6,9.213025768125978e-08
29,207,207,368.00703523219687
30,787,779,1448.8942784041426
31,214,214,453.71195815602596
32,569,569,1089.614239415084
33,217,214,397.4541483661803
34,352,352,696.1926737433804
35,648,610,784.0319847384524
36,353,323,350.2307014599952
37,207,207,400.052504638578
38,440,430,709.783415923914
39,773,754,1203.6074989727997
40,227,215,284.45975462789664
41,774,742,1154.000001754038
42,226,223,399.16652992690086
43,593,581,1039.0036903779514
44,407,366,464.42723661624524
45,806,763,1189.7900447378343
46,194,193,380.83602449150766
47,625,605,952.0378824732397
48,375,375,722.4776527933133
49,77,77,140.68402726950055
50,819,810,1424.1669558480794
