episode,steps,actions,episode_reward
1,353,350,540.2084420225741
2,647,640,1003.386052930292
3,172,171,273.5707505424299
4,207,207,265.39886562003886
5,621,591,713.9010281997959
6,592,550,674.6758232032392
7,408,405,659.7333891777544
8,411,407,636.5226506204006
9,589,582,1034.397149182618
10,230,229,405.9220096865297
11,770,730,873.3309156895997
12,443,426,521.0177440971959
13,557,554,966.4067548248075
14,262,262,488.18894778164037
15,452,452,898.0223471752596
16,286,282,506.33174625311796
17,283,283,554.0249130631055
18,569,566,1011.923334199448
19,148,145,231.34523956953694
20,671,666,1078.363652651356
21,329,327,614.6941889770469
22,123,123,166.43598538753068
23,452,451,802.6828803919445
24,425,424,710.8336372103788
25,144,144,282.2946978153457
26,569,569,1073.8791436247943
27,287,284,435.439383193729
28,282,282,517.9392938033853
29,569,568,1109.3856201658964
30,149,148,263.5140806180217
31,420,416,771.737569210791
32,207,207,377.05918173240315
33,373,372,702.4942549137093
34,79,79,120.25795194210029
35,921,855,947.9643380470912
36,292,282,365.4513770610889
37,569,567,998.6599331454275
38,139,139,235.1881801596134
39,68,68,0.00017588300678210694
40,932,917,1223.6110085386156
41,69,68,96.0230159270232
42,819,815,1387.2229421566797
43,112,101,102.60242631207036
44,1000,950,1122.1350767475226
45,101,99,124.38066980428364
46,569,569,1025.6857626888868
47,330,330,638.0141543075315
48,122,121,252.26632780772547
49,878,842,1006.0379123483181
50,335,329,442.312361046199
