episode,steps,actions,episode_reward
1,819,117,3081.2231898144973
2,181,25,1664.5833402452597
3,388,53,4352.472040148132
4,207,68,2893.0545274600163
5,405,46,1256.1851899339244
6,596,84,1459.8503081044678
7,404,22,2536.6494723474248
8,48,1,314.57954504471206
9,207,17,2839.56749724553
10,745,117,2382.0172307592384
11,468,81,1480.5936418654012
12,452,19,3304.9022995069777
13,80,36,951.6153306758259
14,127,91,1755.212837284177
15,452,26,2883.520547891039
16,421,57,1261.111972940038
17,398,40,1158.9228703794538
18,602,48,3050.0182412125682
19,399,73,2104.4953153643883
20,601,34,2493.7175430555803
