episode,steps,actions,episode_reward
1,452,426,1317.587823164594
2,548,414,909.1513674873656
3,21,16,36.21447151322497
4,452,420,1275.221927856006
5,527,527,1738.6355343713312
6,42,42,56.30642032265248
7,819,656,1616.5310910279823
8,139,112,163.9923550789021
9,862,660,1213.9326158461506
10,138,104,195.36681890464808
11,681,544,1232.9936226687441
12,319,248,375.43203144654507
13,500,378,689.316169932803
14,452,451,1473.2713988454652
15,48,36,69.39386764788735
16,404,338,937.4600456889226
17,596,463,716.1543308252993
18,617,484,705.9993520166474
19,383,321,801.0611147937169
20,186,169,541.2732894416525
