episode,steps,actions,episode_reward
1,569,555,2669.310296830968
2,207,207,1.6371276994784552e-06
3,224,214,1046.7204545665827
4,345,314,1507.7142338962788
5,452,411,1796.0159956924447
6,203,194,862.1034470530307
7,249,241,1416.6026632007815
8,751,631,1950.9067480208762
9,250,212,658.4783148965151
10,750,684,2825.061137984162
11,463,415,1759.567966543763
12,537,464,1481.8199547324111
13,282,271,1032.4292183463238
14,718,698,3647.090561073064
15,101,101,683.706633846101
16,899,731,2084.5390659719824
17,314,263,780.5118000554069
18,686,597,1868.0001694229218
19,527,464,1469.1912572345
20,473,437,2199.0980870596686
