episode,steps,actions,episode_reward
1,526,270,347.35081526739714
2,701,413,443.03223736240983
3,896,517,541.7609438133438
4,249,145,119.7978166873611
5,18,14,1.0215197067918689e-08
6,52,31,65.63311570625258
7,532,328,361.0861340389242
8,418,236,267.519308738466
9,773,436,422.5889721954663
10,277,149,172.46118217017536
11,302,178,143.7158617534907
12,1529,881,1782.5034075776152
13,832,453,1109.3410889145648
14,1149,615,1301.1256420333582
15,1746,900,1509.217818954099
16,378,221,497.5684931813268
17,413,206,323.09708868285514
18,399,224,479.0782983633562
19,144,73,196.03694500458678
20,1741,991,1588.622863697094
21,639,380,567.4326430579823
22,534,308,539.5445538047101
23,505,307,333.54818906962726
24,951,548,707.8409305499664
25,142,85,175.11567942234035
26,167,110,228.83746846979577
27,297,165,202.7258614523946
28,1229,771,775.8077673135226
29,113,67,162.885738974372
30,1211,790,819.7888378321751
31,377,236,183.6872289999094
32,392,273,473.7986243420143
33,368,242,139.40663579273024
34,12,9,6.628132909853598
35,249,165,184.68813606836144
36,255,182,136.2597724432716
37,457,285,355.040685223235
38,1336,864,960.2118932813253
39,113,76,130.2024143390537
40,1017,676,894.7132978348682
41,140,92,119.80747704238698
42,395,274,298.3772803149402
43,105,92,161.28588961775486
44,524,380,389.63820670536256
45,248,180,160.55097684930024
46,19,18,2.7859298444951802e-05
47,1027,724,564.6832580853152
48,249,169,170.79025229371788
49,310,239,314.77451947725484
50,389,304,187.59893696246962
51,607,489,435.23643636532887
52,311,195,184.84296169108723
53,891,706,909.0742850614101
54,550,397,410.39636168959305
55,202,152,112.73134816001166
56,142,110,124.82783816674895
57,112,93,139.3770087354488
58,340,259,73.55520139799121
59,285,222,168.01394483368009
60,305,226,75.63361454353836
61,345,310,290.3574999622801
62,532,422,436.40469069002125
63,416,312,219.91469353863155
64,915,760,573.4462921896048
65,898,698,497.64627987107355
66,775,618,428.10439338419536
67,51,33,95.93846048265154
68,462,361,350.5433751947387
69,498,380,161.1055649060885
70,18,18,2.998039308214178
71,740,601,543.6626867244413
72,712,573,259.41639828693076
73,53,48,66.44682617003237
74,736,590,398.4530246117002
75,514,427,451.4756102537296
76,52,50,96.03583526318036
77,739,602,362.63888667345117
78,954,766,604.9390630337797
79,566,485,462.8202369010263
80,598,468,448.84638389229957
81,889,703,681.5714265982349
82,854,692,568.5728224199358
83,338,289,296.8992999809211
84,340,304,406.4646238688272
85,243,210,138.51996641360898
86,1082,925,922.2178509025158
87,1961,1649,1316.1466976673375
88,808,654,552.8932912895009
89,1171,970,964.1563636565327
90,53,49,74.49591936040957
91,324,260,226.11078137170472
92,742,599,608.935258662872
93,31,29,51.499600763188774
94,659,535,723.6460395733641
95,112,101,150.15461065063852
96,611,540,698.73089096006
97,347,308,445.68975158546186
98,112,110,175.89966393842542
99,184,151,236.5428059459749
100,393,351,489.65076035159564
101,632,537,516.1453764565181
102,610,566,671.1050460858319
103,143,136,197.74744055229743
104,195,181,248.27590227632547
105,809,712,990.2788785262883
106,19,1,1.0000001113583315e-08
107,531,494,659.8947340906052
108,823,761,1099.1895961940334
109,307,282,378.68308796842626
110,166,148,228.4348524014023
111,19,1,1.000000001122228e-08
112,299,276,365.0648660901989
113,412,398,616.8840617126898
114,392,376,630.1623454594721
115,206,203,273.68227315766694
116,2019,1879,2509.633332961559
117,43,42,40.85636884795955
118,1986,1885,2639.340415343112
119,499,457,673.9048657534817
120,253,247,328.73487060090156
121,112,111,160.8973498090212
122,759,740,962.7375745017703
123,926,897,1236.7666190255275
124,1519,1439,1932.836636068507
125,287,229,277.06535830565855
126,249,220,251.8412736136273
127,142,140,226.50660098782885
128,781,707,822.575510467953
129,1655,1517,1767.4263658509944
130,700,633,844.3526670938717
131,89,63,18.597723544591382
132,397,386,606.3224074378688
133,391,385,646.7907094433932
134,375,326,254.51711482350714
135,752,717,954.7196727525757
136,303,283,331.38733701657037
137,872,820,944.38828984331
138,304,292,405.27017915030956
139,542,510,708.7765319215249
140,356,330,387.1740661777748
141,162,143,211.6409615095633
142,321,282,230.16619361131845
143,964,872,949.0862413141374
144,1147,1039,1174.0476162833756
145,142,138,207.07586675400404
146,759,675,651.8757684348806
147,301,261,221.58139532706775
148,141,136,224.0225308444234
149,839,804,1161.2075556712011
150,143,138,218.4422180326182
151,257,256,425.0669095573429
152,532,505,740.2881198612685
153,203,180,235.82924208942623
154,2289,2166,2782.286701385272
155,305,279,361.0953939143432
156,667,643,845.800050692973
157,115,115,155.63484505050022
158,134,111,173.69080051737706
159,3075,2930,3944.3797756467648
160,224,222,299.16055612720186
161,207,203,317.72514501812424
162,765,728,994.9817986755911
163,444,434,609.399643530888
164,19,13,1.0000008052074083e-08
165,389,382,508.78821458350626
166,205,203,296.0436806956952
167,959,946,1354.8179284520586
168,80,80,45.741132339607546
169,752,679,716.0133124127449
170,1598,1490,1535.598148933396
171,193,190,235.0127003298945
172,616,605,858.7336534287476
173,456,449,740.7648113186559
174,204,203,363.80399308750737
175,1011,991,1302.6774087648535
176,443,429,579.1253846513247
177,342,323,362.20315524047
178,1462,1410,1901.61374812006
179,140,140,217.19921309907124
180,1324,1222,1422.0303670901174
181,443,386,393.5426297275565
182,936,861,1065.7921474820241
183,98,98,106.09923715491195
184,1169,1093,1369.8843025775861
185,584,527,580.4403737923175
186,825,765,821.5383410435174
187,205,199,243.99232426278
188,567,514,492.5708342169266
189,1389,1272,1256.009209423543
190,802,746,972.696967428485
191,1221,1078,999.4053787972186
192,772,680,506.49304159041503
193,112,108,165.32836333870716
194,344,321,379.8162881384047
195,1303,1221,1482.6422134636773
196,609,581,853.3089192056723
197,337,304,264.8318952352619
198,890,802,722.3902190391233
199,143,138,187.2379042182789
200,316,297,423.0912806426124
201,253,223,240.76711502877413
202,167,164,214.38287924640662
203,72,69,80.4591292207304
204,519,498,693.6965733893655
205,347,331,433.081250673818
206,19,18,5.5152626243243445e-06
207,204,191,250.38203595207935
208,1132,1070,1322.0051471431061
209,52,52,60.511748367030044
210,588,544,641.1123317533815
211,876,833,1101.0773491009213
212,301,265,315.0314226313669
213,394,376,540.539703892476
214,285,284,473.11204485500264
215,1181,1035,796.3037320199691
216,354,309,229.3685955564987
217,1134,1087,1345.4623373748711
218,436,425,626.4515365477821
219,31,31,45.286682003458075
220,1419,1368,1953.4083212350918
221,1063,1043,1524.334358555264
222,571,549,788.7020879949504
223,208,202,315.0417035698209
224,410,399,537.6788976370908
225,304,278,350.7778885060597
226,382,339,408.5207497343759
227,560,512,570.9550214196469
228,1117,965,908.0360659357591
229,113,112,169.73580281237864
230,391,374,454.7797245908792
231,276,255,295.8638985702128
232,19,13,1.7325771761708005e-07
233,1035,919,879.902576103701
234,550,383,529.4255196073619
235,267,197,378.7171135196698
236,164,141,217.1554527316489
237,143,141,205.3329616996573
238,19,2,1.0076310046844904e-08
239,204,197,267.3683962978642
240,105,92,178.12636165217128
241,506,471,580.2637170518618
242,143,133,176.2067669869827
243,1368,1172,1103.896449732163
244,51,50,93.74374074380665
245,143,134,153.6957650943997
246,163,134,166.8076028537001
247,547,463,463.3601409245154
248,2573,2280,2396.2865115568884
249,356,313,330.5254804295049
250,1120,929,655.2801341468389
251,357,299,232.03626479792197
252,870,736,740.0930204138729
253,306,256,242.88470376407503
254,1189,1019,1172.221008851439
255,113,108,173.37607159346013
256,19,1,1.0004178342034146e-08
257,317,294,312.670642016888
258,363,337,405.95621347858
259,145,123,120.82829862027663
260,157,133,140.02678592052888
261,1291,1132,1104.3689054731842
262,671,541,398.49797196404296
263,19,1,1.5797881826711555e-06
264,616,373,382.3868151128296
265,367,345,477.71928223513373
266,488,369,534.9793158125475
267,112,106,146.69210522631684
268,250,204,156.11327413687036
269,1188,994,974.0137139166394
270,1551,1250,1023.5474348991967
271,686,564,393.1709578200688
272,375,333,401.119655527298
273,251,201,79.79113498486313
274,736,613,425.6543664386726
275,782,662,503.7773300511484
276,250,201,146.53638817040442
277,210,168,71.65588959920734
278,39,31,15.052465495034962
279,358,298,155.58433372747012
280,503,51,585.5563708122914
281,206,184,220.63136294357298
282,1253,1055,746.7718879518679
283,854,176,1114.781530844491
284,557,481,475.7766202652432
285,71,56,89.13134614350795
286,1126,988,1028.5660079772972
287,716,593,523.0703175067232
288,531,430,414.29526543681834
289,687,628,872.2936527799029
290,114,109,140.71851552160555
291,1062,546,1045.4529914919879
292,509,38,78.32180647395042
293,1414,1268,1260.4174482324631
294,111,30,138.18776716051718
295,569,528,638.0872243802415
296,161,139,176.0220663172018
297,249,232,301.4059238621314
298,114,112,163.0556385554892
299,427,375,369.5989729182655
300,143,140,192.62938125128102
301,1014,921,1010.7304391249613
302,142,138,193.78456722528756
303,466,441,555.579332919467
304,1012,943,1175.1966577345045
305,756,711,925.7933351386691
306,764,480,822.1494150929587
307,324,288,291.82294242562654
308,136,134,224.79419435067314
309,251,247,327.0619883741268
310,497,462,623.9723920198836
311,1416,1325,1792.4269122848232
312,19,1,1.0000001777941003e-08
313,626,580,699.9710774195346
314,423,341,549.5677308372619
315,380,332,539.2844569143109
316,106,62,18.29251444483808
317,143,123,243.0748189343032
318,303,283,393.95480877352736
319,52,16,2.709268293412147
320,983,926,1395.5065537515982
321,142,57,111.52674196201697
322,1015,946,1383.71549507515
323,142,122,227.69880837528126
324,194,134,232.86963962056407
325,480,386,695.4556468507269
