episode,steps,actions,episode_reward
1,637,362,1.8002110629408584e-06
2,51,39,1.324073596218513e-07
3,621,335,1.787763602089601e-06
4,1052,589,2.9308707100752144e-06
5,451,251,1.304294295181183e-06
6,573,331,1.572603127787612e-06
7,321,180,9.112633424529082e-07
8,458,254,1.3133992826674615e-06
9,131,81,3.3584982066686466e-07
10,441,269,1.2214673012178704e-06
11,205,126,5.694409571690144e-07
12,1275,706,3.968708894172659e-06
13,937,576,2.8682876366543454e-06
14,1802,976,5.101758889360988e-06
15,361,183,1.0555960381133653e-06
16,684,351,1.9006170036788594e-06
17,494,245,1.5151997904818883e-06
18,1264,713,3.6046969811141414e-06
19,344,183,1.056096788018507e-06
20,756,433,1.9980604305864905e-06
21,518,316,1.3885878774559274e-06
22,53,34,9.898024434318358e-08
23,287,158,9.032738755394237e-07
24,393,209,1.0919233413061422e-06
25,394,215,1.1027581366825383e-06
26,53,34,1.6035682668562615e-07
27,203,113,5.76761018629577e-07
28,764,442,1.9980293765979727e-06
29,184,116,4.6703439656931253e-07
30,328,201,9.484956276213215e-07
31,277,167,6.892584709239867e-07
32,675,390,1.7132553257170951e-06
33,114,70,3.145276905356667e-07
34,550,359,1.4419360078188845e-06
35,2349,1540,6.077390258129003e-06
36,12,8,4.140721163054115e-08
37,249,152,6.715143949682723e-07
38,565,359,1.4763754870039602e-06
39,145,96,3.967012932010385e-07
40,551,366,1.3840655088361804e-06
41,631,424,1.6390369535379671e-06
42,269,182,7.877668894316483e-07
43,1554,1084,4.048323418608863e-06
44,103,75,3.090446310273638e-07
45,283,201,7.846231770615282e-07
46,509,356,1.1866369199807822e-06
47,1017,722,2.4670189695266185e-06
48,572,426,1.4706445749259856e-06
49,648,519,1.513675899398778e-06
50,2093,1695,5.308061421056655e-06
51,461,358,1.2160319705070987e-06
52,338,261,7.676989805868038e-07
53,591,444,1.4530486924623535e-06
54,492,430,1.195555065695571e-06
55,141,113,3.5940522938977065e-07
56,3608,2831,8.70171283437458e-06
57,668,527,1.6117139909530399e-06
58,52,44,1.5525595744650868e-07
59,570,467,1.410102777962034e-06
60,244,195,5.901064698335907e-07
61,570,442,1.3330287899365526e-06
62,406,321,1.0143893131876837e-06
63,608,517,1.4640148832448645e-06
64,962,785,2.4270598906474127e-06
65,132,121,3.22633532106903e-07
66,800,648,1.9144656670456904e-06
67,156,123,3.83260033504591e-07
68,1013,833,2.4745301039982997e-06
69,1046,865,2.5454145309862693e-06
70,303,243,7.278895688346053e-07
71,51,45,1.7060825625261113e-07
72,499,416,1.237945769804823e-06
73,670,591,1.695610059294604e-06
74,242,208,5.176628814739722e-07
75,115,107,3.5107933982483987e-07
76,394,326,9.816606098198644e-07
77,1266,1053,3.0270977280432393e-06
78,1276,1063,3.0507855979292932e-06
79,1503,1227,3.653403957078393e-06
80,225,198,5.641248416261977e-07
81,606,510,1.3527316742803432e-06
82,623,476,1.3529048924058996e-06
83,132,94,3.2991498118653046e-07
84,36,35,3.4617986232603024e-08
85,780,672,2.0265536834862143e-06
86,251,224,6.539532174452782e-07
87,363,303,9.743014104199614e-07
88,207,173,5.55547048646157e-07
89,422,393,1.2430510765623615e-06
90,18,1,1.0000000000000002e-08
91,1011,876,2.492077937197969e-06
92,557,516,1.5010072306893473e-06
93,387,345,1.0282892784736522e-06
94,835,710,2.2158416064781005e-06
95,527,449,1.4212468001219842e-06
96,306,283,7.961440871566771e-07
97,514,479,1.351891830742719e-06
98,299,279,8.383038576495163e-07
99,114,113,3.7410334130833597e-07
