episode,steps,actions,episode_reward
1,314,181,280.55585570074584
2,746,429,566.9070116326857
3,1245,741,1079.2163637872452
4,262,172,382.2757259237041
5,365,225,625.9614297966939
6,1211,754,2079.992769451274
7,319,205,614.0381163953695
8,546,341,970.8993734072052
9,344,166,640.4065548775535
10,146,63,248.82649849427983
11,383,174,478.4821105488398
12,392,172,456.1876355441556
13,762,397,1241.6006618148303
14,1429,640,1315.2323046563474
15,644,306,988.7417989877374
16,892,454,1431.7851278462329
17,1426,692,2393.0988324315203
18,321,146,494.49992255205825
19,368,190,574.5516493918017
20,165,87,343.5299908293644
21,734,349,1361.278778001665
22,322,143,478.0541793726352
23,493,182,707.5765911222371
24,549,267,854.0597368181925
25,411,176,548.0656593855008
26,332,129,349.7053580365282
27,767,322,1057.8860496958962
28,756,315,1114.0907949303476
29,141,46,279.6456777596514
30,306,121,314.73272838692145
31,1071,390,1829.4472882338657
32,301,83,544.8797352253944
33,1092,385,1834.716824532616
34,441,159,685.6637365177676
35,4,2,11.987563374243416
36,164,26,408.6524204876983
37,20,1,57.000050009999995
38,19,0,57.00000001
39,1379,488,2058.658720063978
40,299,135,285.929166046873
41,1140,460,1552.3708449847193
42,450,178,785.5925431852348
43,498,160,698.9430005884514
44,650,286,850.3137964551289
45,224,59,425.3891648406926
46,774,356,1049.7982475396775
47,1623,647,2466.633850186328
48,252,96,395.6058849465068
49,304,155,404.4472139462705
50,934,419,1681.5196658033565
51,477,188,945.7342097135912
52,144,34,288.5326144787108
53,649,328,885.8476999756165
54,796,489,732.1769905364087
55,756,415,1038.0420264838124
56,581,295,834.8095071953176
57,299,166,260.8429520436941
58,62,43,93.23141581816441
59,1570,1080,2126.2805613891164
60,255,101,533.0248748314067
61,251,161,227.92894630492123
62,303,214,234.28098871036715
63,413,293,578.2471888818519
64,2283,1707,2541.7854962653255
65,1354,1008,1163.182052888489
66,1077,881,1619.190513861058
67,44,38,96.5253813529261
68,910,803,1236.158632329889
69,809,671,977.9065370510095
70,349,263,560.7781470147752
71,194,184,405.7676102120777
72,208,162,261.0183839156733
73,1169,1016,1826.3577034705472
74,302,215,295.01514238526255
75,193,186,331.70435301823636
76,570,505,849.7590333396777
77,617,455,578.1281019200754
78,1523,1198,1969.8568306477014
79,1084,966,1919.5320682310648
80,2028,1680,3093.3918291908094
81,1271,1125,2091.5532944849765
82,205,151,371.7572408512923
83,566,417,910.760860591843
84,203,170,367.3361209246597
85,19,19,56.95378918670881
86,266,235,526.1839631927601
87,464,433,799.1819301382229
88,446,413,833.0380240223454
89,755,688,1212.8391963788306
90,318,248,441.15325080629503
91,858,754,1647.4434449946366
92,1007,914,1776.6762191287328
93,71,70,212.835298797173
94,113,108,275.5050455799018
95,713,672,1375.6545988628493
96,266,199,441.86843240445296
97,113,100,281.0748317670455
98,460,435,935.2986664635906
99,209,190,436.5133102176175
100,683,652,1543.755169558775
101,110,107,297.2900350404169
102,114,108,294.62663287763684
103,487,480,1054.5291081190367
104,283,274,572.8169296622526
105,62,38,136.93463461826374
106,19,19,53.962360582193
107,37,37,95.9248842954854
108,113,111,285.3885021337818
109,392,357,890.0632107066288
110,250,212,548.5357403778113
111,255,246,617.4378676897013
112,51,50,152.86381298348482
113,140,132,325.22729937053333
114,51,50,149.86575249224754
115,344,336,785.2233470910093
116,496,428,1128.2771457348151
117,668,624,1307.324673184895
118,1797,1770,3850.7048237514355
119,496,424,980.0816860231214
120,1145,1039,2352.2505509581156
121,1012,862,1994.5433874922448
122,212,170,448.2894693162269
123,51,48,152.8694275535225
124,555,488,912.552119254148
125,818,773,1557.5396716116336
126,549,445,823.4496036403904
127,487,430,1073.3071525828975
128,426,379,906.459312565685
129,642,585,1311.1801874625914
130,69,61,206.851833883962
131,619,588,1413.3659652298816
132,1031,927,2192.424433392827
133,703,684,1373.1063921123193
134,576,558,1172.367195072909
135,723,666,1486.0296401110961
136,73,69,218.8238926871673
137,769,655,1321.1681296521872
138,112,90,275.29443875780066
139,410,313,881.5675629451139
140,614,526,1244.1010977271521
141,249,185,456.943357263272
142,1373,1133,2708.0698107527433
143,902,760,1549.1532240623746
144,709,606,1252.510494445232
145,667,558,1364.2651917036583
146,317,305,665.9356200639958
147,503,447,919.2006795866943
148,2357,2190,4679.612302389011
149,507,414,1020.5779264327076
150,700,662,1396.767454553743
151,205,196,466.16433145928215
152,749,743,1699.1562582991605
153,302,244,571.9696637922725
154,165,164,437.3452143868563
155,304,268,729.7697825233373
156,373,362,832.9397529534432
157,483,454,1097.056758998347
158,582,572,1347.3593816280284
159,1343,1276,2933.4396773669882
160,247,182,420.855676773723
161,196,166,435.9182566992372
162,1467,1324,2795.674921465603
163,2712,2496,5725.653689379352
164,256,245,592.1044242578253
165,369,354,906.3623900291078
166,492,428,1016.8185048751076
167,250,163,499.84190354718874
168,141,128,326.3874867137523
169,940,849,2063.815243417639
170,132,125,358.67857047467027
171,320,282,626.4449693332825
172,456,393,901.7890895702993
173,206,186,438.8628781855052
174,396,277,805.3291769202115
175,390,380,768.7145934201628
176,321,281,383.5234504768325
177,1026,901,2092.0194102022806
178,126,115,294.53707858078235
179,1247,1105,2192.158738178807
180,1700,1378,2725.5242385414645
181,1179,956,2120.8102043212116
182,669,582,1090.8776831342893
183,166,144,419.36171062536846
184,197,88,378.2218704466916
185,394,317,613.3997703950497
186,207,139,336.23430627799473
187,366,215,714.2004568978341
188,752,413,1152.1056679402475
189,1069,733,1864.1478703170844
190,318,310,515.5298169406633
191,53,50,155.86361061398588
192,208,143,400.2538828612322
193,1475,1351,2539.155628964951
194,584,482,1110.2619623770302
195,441,349,826.900412380855
196,463,365,788.5671164676994
197,52,50,155.87526202237507
198,316,228,713.933551766953
199,19,19,56.960245220711045
200,302,220,482.2153802988893
201,859,802,1528.0078241629137
202,774,661,1544.3539951875296
203,228,218,584.243137717439
204,605,344,1157.5574628400711
205,405,339,925.0838581712104
206,302,165,500.1809552048295
207,18,2,50.99799333629954
