episode,steps,actions,episode_reward
1,1094,629,524.5694139232626
2,113,68,175.40404588916604
3,541,306,843.7737414610478
4,1508,912,1876.1812266375352
5,133,89,320.0980986496189
6,1685,1032,1050.6967234304705
7,246,119,252.85047510304605
8,264,123,639.021890060381
9,1158,662,823.7431047817771
10,1557,578,2045.9685713243052
11,114,24,305.2564050509848
12,164,10,382.9196073126336
13,207,13,394.1066285744817
14,547,86,1076.7173009748528
15,644,98,1231.4817784351364
16,25,1,41.069611571749114
17,243,72,411.97093474582704
18,715,173,1433.3194190691179
19,877,174,1625.5462190257513
20,430,96,871.0259894527973
21,319,55,499.1773430672308
22,113,8,244.19598570496248
23,527,35,950.8443576330594
24,141,9,352.848877198146
25,625,83,1288.7986043771277
26,663,84,1422.9252897796296
27,446,71,904.1296674397804
28,141,11,346.52079414032437
29,1789,264,3685.3739685211563
30,1525,373,2798.070706735668
31,1108,364,2188.0374918020525
32,259,88,626.280316062432
33,18,1,0.00029525859318241325
34,61,6,181.11421333979035
35,75,3,163.42220431733702
36,212,134,499.96514072059995
37,567,183,1122.7744570991
38,1094,559,1931.6281513104957
39,295,188,653.936166077719
40,112,75,284.11205175379615
41,1170,193,2641.6752801186744
42,2184,849,4276.47881092881
43,855,690,1497.0522984348481
44,1481,1002,2312.6323970529943
45,52,50,145.58581863881682
46,723,467,1292.5784984586553
47,1180,835,1956.1406441527117
48,143,87,268.30821261729676
49,194,175,401.68770165414094
50,112,92,271.6063164384998
51,761,537,1334.2855689907276
52,114,93,269.3155975655158
53,296,132,651.2342774364608
54,462,385,658.8098015672894
55,1422,952,2205.6839106324533
56,19,19,29.907666195782255
57,303,152,683.6645900262187
58,131,109,250.80983331432856
59,275,198,315.1350811235756
60,248,163,307.15136267538924
61,113,90,279.5692737258717
62,18,18,41.873858496135924
63,163,139,309.6679990107221
64,19,19,44.86415625559938
65,700,368,1386.4675827537437
66,2743,2067,4749.522405821269
67,105,103,283.5857238437917
68,375,291,631.2831658083903
69,142,96,364.5319978951643
70,757,603,1574.841596489091
71,321,157,644.1337980042185
