episode,steps,actions,episode_reward
1,519,299,118.58067217434704
2,622,358,133.65424506676166
3,301,173,64.19464392035293
4,391,217,86.77508275458896
5,374,223,88.4809869765891
6,1396,789,313.7823336091926
7,114,65,28.86251505449834
8,579,340,148.11580431920163
9,743,427,211.5567426547712
10,1331,777,332.27431095543596
11,142,79,42.57606938749642
12,114,75,41.880405044751996
13,1436,789,352.4374677479868
14,665,341,220.6345689634847
15,696,407,230.54439418608231
16,577,312,131.49502131297137
17,799,349,225.46481023707818
18,1673,885,403.69392838625384
19,140,37,56.490631003059924
20,799,449,237.06671066861628
21,879,436,251.9507132228739
22,476,288,119.81085038239556
23,1485,841,410.2868673486498
24,810,431,183.27482450055112
25,2200,1288,636.9758425749552
26,553,325,118.58490282467385
27,186,114,42.6045315178789
28,320,187,74.40562691278556
29,1065,599,322.5112408113484
30,2084,1159,514.8226316939106
31,321,157,92.62054020444216
32,1054,568,332.6830127018251
33,623,306,159.2988412706265
34,889,457,306.7881590059703
35,1664,843,405.08911935095836
36,113,0,66.02949149809376
37,104,1,138.86509302317427
38,397,0,202.23288415199428
39,363,148,98.79644365686289
40,663,288,206.12113466282332
41,225,58,67.65966956047606
42,115,2,113.90916362362508
43,1206,2,231.8806450294527
44,463,4,251.22131554277746
45,1165,1,287.73686015808795
46,205,1,84.96374599949073
47,205,1,83.40560776484931
48,1237,356,391.9092385842963
49,738,4,282.96710082625805
50,2739,2,534.644014915926
51,1779,0,1111.9344206517328
52,263,0,207.50008037398447
53,107,1,90.41292338506796
54,965,0,450.036898842771
55,385,1,184.9177178379497
56,223,0,83.40741752273833
57,694,1,240.48390762817922
58,136,1,97.67757809269554
59,251,2,61.755854290903805
60,441,0,343.7084525393106
61,1244,2,206.8177985531967
62,1287,2,144.81390212092708
63,255,1,100.4163389547878
64,457,1,0.953017992198063
65,852,1,79.13814260582552
66,538,7,111.88301396794172
67,604,3,11.577283915879827
68,415,1,11.210835207724342
69,646,3,26.38049030274501
70,500,3,5.521722787052247
71,236,1,67.8614743109612
72,508,5,90.93435279817561
73,395,3,90.4552100792586
74,1005,1,30.52569542293355
75,305,3,24.974570654090382
76,135,0,76.97636800031974
77,909,2,1.4944367217013215
78,458,3,67.87323343309845
79,1282,4,50.412923253311824
80,2189,4,439.6858047690488
81,1174,4,20.240246954945075
82,707,3,71.64334296672143
