episode,steps,actions,episode_reward
1,1091,871,2517.815475134943
2,142,119,356.891818799236
3,593,478,1322.8221957248775
4,436,357,894.0009689690885
5,736,548,1516.3752039941653
6,71,55,158.7182891981399
7,448,316,1113.2814749286433
8,252,204,599.8089101194674
9,52,35,155.76830967569595
10,1456,1049,3327.001739496179
11,660,478,1463.4126749633192
12,103,75,308.54216456800896
13,607,419,1321.294504385738
14,51,28,149.8219269248146
15,19,14,1.5309759987758674e-07
16,256,174,671.0213785557967
17,1008,665,2276.2309892367643
18,937,575,2053.389886820218
19,806,480,1796.1411026794347
20,276,169,738.8868390758546
21,156,100,396.9047368812532
22,463,257,1063.073886323991
23,246,151,545.5363695700593
24,211,132,476.9758497472038
25,451,227,1055.8249213321144
26,52,27,155.81751024250826
27,473,293,1161.4453340186844
28,483,281,1136.040103426778
29,305,173,743.1986882608733
30,53,28,158.72419319994123
31,471,285,1145.0920501812502
32,72,39,152.72640975554205
33,2121,959,4836.875250521131
34,1203,689,2724.159996388585
35,335,178,907.816166897086
36,1166,545,2628.865928056184
37,225,104,570.7765335489419
38,861,345,1979.5771277154486
39,653,332,1470.021605729912
40,91,55,221.10422885576128
41,163,87,398.7479506870975
42,498,226,1089.722034865035
43,663,286,1660.1488960997206
44,318,173,794.7072624116431
45,70,26,152.80001494621277
46,508,287,1142.7616231952497
47,614,326,1426.7039999167012
48,803,405,1698.53273577969
49,205,128,490.11824786714914
50,53,25,158.75529172455145
51,205,136,470.15004285219277
52,1866,1242,4177.875294121196
53,284,202,699.5045208797726
54,412,274,976.7203019732442
55,113,82,306.062837979585
56,225,151,546.951482908504
57,373,239,826.7569526664075
58,282,203,619.932285326468
59,249,180,557.4771390587463
60,142,96,393.2774715624139
61,1150,818,2414.52163150191
62,713,333,1642.9385845844574
63,370,156,821.1198840897616
64,1826,956,4050.7223933039663
65,469,289,1213.3265830457049
66,268,180,660.1226479739513
67,303,224,735.6896689008164
68,3576,2360,8122.763550058553
69,666,439,1532.1386753862687
70,1136,899,2622.6902407976822
71,406,224,824.8100122359499
72,456,319,1176.1344448804257
73,524,352,1284.0669539490548
74,741,625,1779.0988902115485
75,741,536,1676.3944646227412
76,20,10,2.3518435233178802e-07
77,51,18,152.87030733348703
78,400,284,932.5834184348942
79,1624,1349,3524.3436074834954
80,616,402,1342.7218448256147
81,51,21,152.8911714415191
82,1798,1468,4111.670701128635
83,367,355,852.9773622057933
84,386,300,1012.8778872091394
85,1490,1388,3420.743661671794
86,777,704,1580.327911198378
87,184,127,491.5391550180989
88,51,13,149.9186899654826
89,252,228,631.4562727576068
90,19,8,8.043227697476772e-08
91,140,124,396.2964860447551
92,51,26,143.8350275273012
93,241,223,584.7462386519613
94,979,493,2184.4791213041285
95,204,188,534.1618692660215
96,835,336,1862.0524526539393
97,1759,1379,4056.857523670371
98,1946,1473,4513.857008728368
99,19,15,2.241658902592008e-07
100,203,197,523.3296085384678
101,19,16,6.449993970541985e-07
102,251,235,657.3370613229854
103,19,11,6.090383443771706e-07
104,839,643,1939.5415613809294
105,439,402,985.308154791521
106,1625,1495,3801.0865899796627
107,112,93,335.71916691158094
108,751,293,1730.4250784634164
109,226,219,573.227983510683
110,1162,907,2741.2037838552774
111,1557,1160,3501.162649036264
112,113,101,338.7184853050667
113,525,391,1290.1891333518354
114,254,180,740.8582017048027
115,1769,1570,4216.099394499862
116,250,242,636.5358710858196
117,354,297,893.335742857122
118,52,6,152.97291052299403
