episode,steps,actions,episode_reward
1,582,327,155.3370925326642
2,1321,728,253.3711134441935
3,375,215,107.42259890716637
4,473,264,104.07756661347631
5,1601,906,409.8047388150827
6,253,151,54.074588767034314
7,1020,577,323.0321909293181
8,506,295,201.74991334587125
9,1224,673,300.18334709902757
10,289,158,83.26073114798886
11,307,177,65.36372739623872
12,785,436,253.63687444595033
13,393,218,201.11582772431913
14,871,483,193.19869068361066
15,37,1,13.85927905214569
16,1630,643,477.68894436354304
17,512,145,150.01768165890812
18,1233,624,336.72970174203635
19,880,509,270.26353889862634
20,475,286,108.37265063873431
21,1210,675,314.97747630064015
22,2619,1421,650.6659120543627
23,250,140,55.587763854585695
24,207,116,48.72348092010771
25,947,549,258.7696813147856
26,69,23,24.763669621541265
27,557,303,151.61387732579425
28,251,159,51.85533108435759
29,399,242,120.45999499070089
30,165,92,62.65976402266627
31,569,353,138.65715684518042
32,495,306,145.2017824489039
33,990,542,273.79317847248007
34,307,149,73.73278998115256
35,1916,1021,564.964536833325
36,145,77,46.351899530986564
37,52,7,72.18564274370834
38,1094,576,272.5302942856465
39,325,171,85.6014974067139
40,855,406,241.2401366453517
41,453,122,217.10297129433656
42,251,62,75.426565040475
43,114,26,47.43715672726658
44,113,20,49.45034273273592
45,253,0,95.73258831189607
46,627,198,249.32485952809932
47,255,0,100.97276985638831
48,698,1,275.02377614202146
49,112,0,66.6818224468391
50,144,1,84.2517440127814
51,468,1,304.1074796998602
52,1107,72,167.1224711300154
53,51,0,77.67813706702691
54,1265,348,394.73256286803735
55,395,0,159.95023870636928
56,434,114,221.98258041917688
57,709,1,216.14423273473727
58,463,3,178.3875045497194
59,1278,1,31.242110691533874
60,788,0,423.3602187387147
61,114,0,60.01037716188244
62,1719,1,1221.5431548265158
63,1476,1,28.089300990872037
64,207,2,30.69562325642911
65,19,0,56.98937066765689
66,144,1,76.81173788859951
67,554,0,267.0452706721075
68,111,0,104.03007962979821
69,252,1,94.51569132665486
70,310,1,245.6710823694779
71,353,1,159.4872443008758
72,306,1,32.62717482660568
73,1262,1,271.6899240102207
74,1568,3,105.79134578329824
75,207,1,26.833384074697037
76,3231,5,73.41418080469134
77,748,3,10.33088742383181
78,141,2,69.68704139307599
79,252,2,2.615540152345324
80,957,3,26.287438674471446
81,51,0,89.27007425087038
82,437,3,61.21834546081144
83,749,3,309.1012090053832
84,626,1,221.49493506755445
85,824,3,174.11547718542903
86,440,3,108.10464207918828
87,19,0,57.00000001
88,631,2,308.09287652848633
89,701,1,83.33162255817311
90,273,3,42.58747572029513
91,431,1,236.5804963727505
92,659,4,128.44179038367605
93,1416,1,31.76492120971764
94,292,3,4.694099667790909
95,353,3,157.68174907606286
96,458,3,11.960150681902435
97,503,3,57.757342841265725
98,1239,3,92.48272979257897
99,1870,6,110.10201908112255
100,19,13,44.84566878612432
101,2534,8,130.61849197930826
