episode,steps,actions,episode_reward
1,312,172,67.60370165339776
2,246,141,85.72739348282023
3,165,97,58.11093360686741
4,467,255,127.07856855834268
5,1087,620,269.2000922243673
6,266,154,56.881763356780134
7,1075,612,244.60754118467148
8,393,227,116.46652738969391
9,307,176,65.95998060464585
10,51,32,28.071471049994624
11,2023,1184,506.79588237617884
12,566,308,153.12722020791185
13,2144,1210,632.0155977720185
14,345,169,128.68715326191366
15,206,107,46.836160784414666
16,347,174,83.15695831114145
17,37,4,12.784473827388648
18,460,200,128.01946446736417
19,1185,661,281.84924349186014
20,2307,1235,567.0732395028544
21,805,252,376.46460256306096
22,413,198,116.96339551636947
23,415,85,168.13088785582434
24,361,211,102.54848965776971
25,52,1,52.475283664914784
26,1469,809,295.95746049188966
27,936,580,219.60024805594168
28,419,161,194.08973580091438
29,207,118,47.08560398329495
30,215,96,125.14438786693027
31,719,439,153.332988324203
32,70,44,19.92479228401333
33,810,492,197.15695013798185
34,352,196,92.43096119600129
35,1013,588,282.5278636762253
36,20,12,52.23362939530517
37,1203,665,271.7331097719453
38,38,27,83.82702048609676
39,306,159,69.4411075733183
40,477,221,196.38215408320315
41,1059,579,253.6097615803815
42,1030,560,329.31557804986636
43,654,365,159.79229173554347
44,1615,694,533.7305591145779
45,255,28,86.22857716886904
46,1014,389,336.8750884333753
47,84,0,94.36296771612916
48,968,1,173.27732042081539
49,259,1,107.91898214893905
50,417,1,228.0274671632908
51,52,1,77.7902242254272
52,116,0,64.04573026337415
53,205,1,77.93230840836323
54,345,2,26.558166732385356
55,688,216,235.46605377024036
56,558,0,244.10021649879806
57,2699,465,446.3096190055342
58,1300,1,450.33654856864575
59,1636,0,956.4072611419926
60,52,0,125.2003521147884
61,477,0,287.88136569483606
62,228,0,189.11420531239858
63,109,0,98.96031234187365
64,873,1,425.521180932962
65,728,0,484.65820326553415
66,146,0,83.02764161483553
67,655,2,248.37830689071572
68,252,2,17.745172920697044
69,309,2,243.0467045753527
70,247,0,187.54940701383694
71,105,0,134.77303742988983
72,306,0,115.04227153380026
73,261,1,19.80416908706617
74,1752,2,149.8297831803556
75,1414,3,108.35744009327435
76,1601,6,329.46773462996595
77,767,3,76.3521926657195
78,420,1,27.524691620172586
79,55,2,69.18920786050896
80,2173,5,21.87317591467437
81,414,1,57.21244965862807
82,1381,3,147.6164349469401
83,325,1,58.498292158149546
84,961,1,159.23942524524125
85,636,3,298.6014704357425
86,1558,4,205.21501718064812
87,1161,2,22.346287315256074
