episode,steps,actions,episode_reward
1,113,65,1e-08
2,1135,626,1e-08
3,794,453,1e-08
4,497,272,1e-08
5,1018,561,1e-08
6,441,236,1e-08
7,508,280,1e-08
8,301,179,1e-08
9,186,104,1e-08
10,167,6,1e-08
11,305,3,1e-08
12,700,3,1e-08
13,19,5,1e-08
14,967,1,1e-08
15,372,26,1e-08
16,228,146,1e-08
17,456,242,1e-08
18,1061,525,1e-08
19,617,328,1e-08
20,115,59,1e-08
21,353,167,1e-08
22,194,114,1e-08
23,420,264,1e-08
24,805,603,1e-08
25,355,188,1e-08
26,619,423,1e-08
27,142,71,1e-08
28,1668,867,1e-08
29,205,102,1e-08
30,1019,505,1e-08
31,321,151,1e-08
32,1594,772,1e-08
33,1082,551,1e-08
34,510,289,1e-08
35,71,43,1e-08
36,642,342,1e-08
37,398,170,1e-08
38,602,327,1e-08
39,623,377,1e-08
40,1116,690,1e-08
41,52,37,1e-08
42,260,153,1e-08
43,509,298,1e-08
44,302,191,1e-08
45,224,95,1e-08
46,1157,506,1e-08
47,112,82,1e-08
48,204,147,1e-08
49,304,179,1e-08
50,51,28,1e-08
51,312,208,1e-08
52,19,10,1e-08
53,1255,899,1e-08
54,429,185,1e-08
55,256,147,1e-08
56,501,133,1e-08
57,666,289,1e-08
58,554,324,1e-08
59,94,65,1e-08
60,600,396,1e-08
61,301,180,1e-08
62,820,333,1e-08
63,115,90,1e-08
64,881,682,1e-08
65,1623,912,1e-08
66,367,152,1e-08
67,1020,834,1e-08
68,469,398,1e-08
69,355,286,1e-08
70,1017,879,1e-08
71,1321,979,1e-08
72,256,167,1e-08
73,613,439,1e-08
74,242,159,1e-08
75,223,142,1e-08
76,276,191,1e-08
77,349,108,1e-08
78,385,265,1e-08
79,454,295,1e-08
80,191,134,1e-08
81,967,646,1e-08
82,142,82,1e-08
83,19,14,1e-08
84,917,567,1e-08
85,975,685,1e-08
86,313,182,1e-08
87,195,141,1e-08
88,390,268,1e-08
89,250,171,1e-08
90,303,204,1e-08
91,143,94,1e-08
92,1594,1298,1e-08
93,141,110,1e-08
94,300,211,1e-08
95,553,383,1e-08
96,920,570,1e-08
97,87,41,1e-08
98,19,16,1e-08
99,1848,1335,1e-08
100,548,271,1e-08
101,393,200,1e-08
102,19,11,1e-08
103,52,27,1e-08
104,53,30,1e-08
105,639,390,1e-08
106,306,168,1e-08
107,987,536,1e-08
108,1350,715,1e-08
109,603,347,1e-08
110,114,62,1e-08
111,909,685,1e-08
112,937,880,1e-08
113,397,386,1e-08
114,441,419,1e-08
115,298,293,1e-08
116,556,392,1e-08
117,372,340,1e-08
118,553,440,1e-08
119,862,639,1e-08
120,301,239,1e-08
121,871,812,1e-08
122,1114,726,1e-08
123,139,106,1e-08
124,1930,1260,1e-08
125,439,318,1e-08
126,270,208,1e-08
127,743,485,1e-08
128,1465,903,1e-08
129,142,94,1e-08
130,243,170,1e-08
131,123,79,1e-08
132,506,299,1e-08
133,142,102,1e-08
134,832,692,1e-08
135,1360,797,1e-08
136,112,80,1e-08
137,441,436,1e-08
138,311,305,1e-08
139,1752,1476,1e-08
140,223,155,1e-08
141,835,400,1e-08
142,18,16,1e-08
143,141,100,1e-08
144,134,100,1e-08
145,110,71,1e-08
146,350,347,1e-08
147,1079,972,1e-08
148,71,58,1e-08
149,1460,1338,1e-08
150,123,86,1e-08
151,51,36,1e-08
152,620,608,1e-08
153,764,467,1e-08
154,657,476,1e-08
155,143,136,1e-08
156,164,130,1e-08
157,140,136,1e-08
158,588,391,1e-08
159,755,633,1e-08
160,1010,910,1e-08
161,305,207,1e-08
162,463,297,1e-08
163,949,720,1e-08
164,205,126,1e-08
165,465,402,1e-08
166,414,284,1e-08
167,246,155,1e-08
168,1038,621,1e-08
169,783,529,1e-08
170,117,73,1e-08
171,441,244,1e-08
172,858,650,1e-08
173,680,460,1e-08
174,985,646,1e-08
175,1800,1091,1e-08
176,491,332,1e-08
177,310,182,1e-08
178,112,58,1e-08
179,108,57,1e-08
180,1074,576,1e-08
181,519,347,1e-08
182,313,175,1e-08
183,144,82,1e-08
184,509,286,1e-08
185,420,245,1e-08
186,51,28,1e-08
187,1185,742,1e-08
188,6,1,1e-08
189,666,383,1e-08
190,199,105,1e-08
191,554,316,1e-08
192,660,358,1e-08
193,369,262,1e-08
194,205,123,1e-08
195,1324,1282,1e-08
196,112,103,1e-08
197,19,17,1e-08
198,1363,747,1e-08
199,355,219,1e-08
200,1065,575,1e-08
201,499,388,1e-08
202,462,440,1e-08
203,354,186,1e-08
204,52,40,1e-08
205,860,771,1e-08
206,876,449,1e-08
207,517,294,1e-08
208,202,106,1e-08
209,633,498,1e-08
210,114,105,1e-08
211,1421,759,1e-08
212,302,141,1e-08
213,19,14,1e-08
214,1892,823,1e-08
215,1359,669,1e-08
216,613,287,1e-08
217,595,418,1e-08
218,244,119,1e-08
219,608,309,1e-08
220,1403,637,1e-08
221,78,62,1e-08
222,33,25,1e-08
223,1719,1145,1e-08
224,250,144,1e-08
225,1322,662,1e-08
226,851,468,1e-08
227,647,635,1e-08
228,420,220,1e-08
229,304,239,1e-08
230,356,101,1e-08
231,20,3,1e-08
232,1123,252,1e-08
233,1007,387,1e-08
234,1173,832,1e-08
235,140,109,1e-08
236,511,169,1e-08
237,124,59,1e-08
238,214,101,1e-08
239,406,112,1e-08
240,358,81,1e-08
241,202,76,1e-08
242,1406,358,1e-08
243,365,359,1e-08
244,635,364,1e-08
245,556,169,1e-08
246,256,99,1e-08
247,897,455,1e-08
248,599,125,1e-08
249,1105,372,1e-08
250,498,101,1e-08
251,657,123,1e-08
252,324,79,1e-08
253,448,432,1e-08
254,431,305,1e-08
255,643,152,1e-08
256,33,28,1e-08
257,305,95,1e-08
258,514,374,1e-08
259,726,184,1e-08
260,250,60,1e-08
261,19,13,1e-08
262,621,324,1e-08
