episode,steps,actions,episode_reward
1,115,56,1e-08
2,39,17,1e-08
3,2606,1502,1e-08
4,305,158,1e-08
5,38,24,1e-08
6,205,119,1e-08
7,702,357,1e-08
8,968,517,1e-08
9,19,5,1e-08
10,904,2,1e-08
11,271,3,1e-08
12,966,1,1e-08
13,160,15,1e-08
14,452,145,1e-08
15,1108,552,1e-08
16,557,274,1e-08
17,111,65,1e-08
18,372,172,1e-08
19,102,65,1e-08
20,858,671,1e-08
21,106,59,1e-08
22,162,97,1e-08
23,304,191,1e-08
24,346,178,1e-08
25,971,491,1e-08
26,596,324,1e-08
27,362,179,1e-08
28,249,122,1e-08
29,207,107,1e-08
30,206,113,1e-08
31,1334,713,1e-08
32,784,274,1e-08
33,305,111,1e-08
34,144,79,1e-08
35,51,25,1e-08
36,509,272,1e-08
37,504,280,1e-08
38,256,156,1e-08
39,50,31,1e-08
40,19,13,1e-08
41,202,115,1e-08
42,1475,826,1e-08
43,342,215,1e-08
44,52,33,1e-08
45,1333,736,1e-08
46,456,292,1e-08
47,332,203,1e-08
48,19,16,1e-08
49,1022,357,1e-08
50,828,491,1e-08
51,52,33,1e-08
52,812,522,1e-08
53,1018,694,1e-08
54,263,173,1e-08
55,770,509,1e-08
56,631,224,1e-08
57,255,131,1e-08
58,663,371,1e-08
59,114,66,1e-08
60,341,219,1e-08
61,606,207,1e-08
62,91,58,1e-08
63,395,290,1e-08
64,525,378,1e-08
65,661,471,1e-08
66,253,166,1e-08
67,1807,1403,1e-08
68,112,72,1e-08
69,335,138,1e-08
70,477,396,1e-08
71,955,633,1e-08
72,1275,1044,1e-08
73,52,38,1e-08
74,416,258,1e-08
75,1298,941,1e-08
76,302,176,1e-08
77,274,199,1e-08
78,610,469,1e-08
79,253,166,1e-08
80,221,134,1e-08
81,257,164,1e-08
82,900,670,1e-08
83,302,187,1e-08
84,514,270,1e-08
85,1143,765,1e-08
86,354,254,1e-08
87,252,163,1e-08
88,111,59,1e-08
89,1160,791,1e-08
90,449,313,1e-08
91,53,36,1e-08
92,640,421,1e-08
93,144,90,1e-08
94,71,43,1e-08
95,1162,920,1e-08
96,800,579,1e-08
97,1157,808,1e-08
98,51,39,1e-08
99,52,38,1e-08
100,207,149,1e-08
101,88,64,1e-08
102,18,14,1e-08
103,681,349,1e-08
104,19,14,1e-08
105,408,226,1e-08
106,1288,890,1e-08
107,393,220,1e-08
108,19,13,1e-08
109,300,207,1e-08
110,396,212,1e-08
111,51,26,1e-08
112,324,243,1e-08
113,1065,548,1e-08
114,698,493,1e-08
115,2180,1394,1e-08
116,414,408,1e-08
117,525,436,1e-08
118,648,494,1e-08
119,184,170,1e-08
120,301,298,1e-08
121,671,540,1e-08
122,812,802,1e-08
123,1159,889,1e-08
124,604,588,1e-08
125,52,36,1e-08
126,51,38,1e-08
127,710,685,1e-08
128,566,405,1e-08
129,216,155,1e-08
130,359,297,1e-08
131,874,867,1e-08
132,1052,723,1e-08
133,480,371,1e-08
134,551,371,1e-08
135,1256,1244,1e-08
136,587,579,1e-08
137,633,621,1e-08
138,142,136,1e-08
139,877,709,1e-08
140,1260,749,1e-08
141,164,113,1e-08
142,1062,612,1e-08
143,20,16,1e-08
144,802,677,1e-08
145,201,123,1e-08
146,500,495,1e-08
147,1131,1041,1e-08
148,866,811,1e-08
149,879,420,1e-08
150,225,128,1e-08
151,911,804,1e-08
152,327,317,1e-08
153,659,649,1e-08
154,1553,959,1e-08
155,192,121,1e-08
156,1267,890,1e-08
157,687,557,1e-08
158,454,304,1e-08
159,204,184,1e-08
160,1081,721,1e-08
161,657,464,1e-08
162,1060,785,1e-08
163,555,369,1e-08
164,485,295,1e-08
165,1146,745,1e-08
166,443,251,1e-08
167,984,791,1e-08
168,252,195,1e-08
169,306,221,1e-08
170,19,13,1e-08
171,143,74,1e-08
172,204,113,1e-08
173,568,330,1e-08
174,1833,1169,1e-08
175,808,437,1e-08
176,480,306,1e-08
177,301,168,1e-08
178,301,168,1e-08
179,456,224,1e-08
180,19,9,1e-08
181,249,145,1e-08
182,327,177,1e-08
183,1068,751,1e-08
184,773,615,1e-08
185,466,259,1e-08
186,1128,946,1e-08
187,953,800,1e-08
188,578,357,1e-08
189,966,947,1e-08
190,225,207,1e-08
191,677,531,1e-08
192,248,134,1e-08
193,859,679,1e-08
194,496,479,1e-08
195,1670,1102,1e-08
196,1323,661,1e-08
197,877,491,1e-08
198,715,433,1e-08
199,1798,1644,1e-08
200,323,169,1e-08
201,771,544,1e-08
202,535,267,1e-08
203,818,330,1e-08
204,139,111,1e-08
205,19,11,1e-08
206,273,252,1e-08
207,747,711,1e-08
208,248,184,1e-08
209,421,330,1e-08
210,256,139,1e-08
211,225,204,1e-08
212,399,280,1e-08
213,19,17,1e-08
214,504,307,1e-08
215,606,315,1e-08
216,1102,492,1e-08
217,82,65,1e-08
218,34,27,1e-08
219,551,248,1e-08
220,667,447,1e-08
221,1479,1109,1e-08
222,341,176,1e-08
223,2036,987,1e-08
224,20,3,1e-08
225,772,150,1e-08
226,19,5,1e-08
227,870,363,1e-08
228,1007,283,1e-08
229,1380,691,1e-08
230,194,90,1e-08
231,308,109,1e-08
232,322,81,1e-08
233,214,50,1e-08
234,467,119,1e-08
235,954,178,1e-08
236,350,268,1e-08
237,562,429,1e-08
238,356,346,1e-08
239,324,95,1e-08
240,247,101,1e-08
241,815,187,1e-08
242,802,499,1e-08
243,203,72,1e-08
244,1310,198,1e-08
245,382,94,1e-08
246,249,187,1e-08
247,1346,339,1e-08
248,17,13,1e-08
249,1292,723,1e-08
250,110,85,1e-08
251,32,29,1e-08
252,1556,955,1e-08
253,250,159,1e-08
254,19,14,1e-08
