episode,steps,actions,episode_reward
1,52,33,1e-08
2,165,86,1e-08
3,448,245,1e-08
4,807,461,1e-08
5,260,145,1e-08
6,1221,456,1e-08
7,123,3,1e-08
8,635,3,1e-08
9,695,3,1e-08
10,89,1,1e-08
11,336,4,1e-08
12,1849,987,1e-08
13,1132,671,1e-08
14,676,401,1e-08
15,1195,700,1e-08
16,317,182,1e-08
17,847,475,1e-08
18,19,12,1e-08
19,244,146,1e-08
20,365,208,1e-08
21,19,12,1e-08
22,2588,597,1e-08
23,823,3,1e-08
24,140,19,1e-08
25,498,229,1e-08
26,396,185,1e-08
27,1543,786,1e-08
28,312,105,1e-08
29,545,247,1e-08
30,408,163,1e-08
31,316,106,1e-08
32,51,25,1e-08
33,303,108,1e-08
34,52,21,1e-08
35,386,144,1e-08
36,52,25,1e-08
37,93,53,1e-08
38,913,315,1e-08
39,50,28,1e-08
40,832,417,1e-08
41,320,124,1e-08
42,104,42,1e-08
43,541,216,1e-08
44,251,93,1e-08
45,880,366,1e-08
46,724,238,1e-08
47,2168,839,1e-08
48,483,256,1e-08
49,1523,872,1e-08
50,780,386,1e-08
51,431,229,1e-08
52,171,78,1e-08
53,769,353,1e-08
54,667,276,1e-08
55,51,29,1e-08
56,257,161,1e-08
57,383,207,1e-08
58,140,73,1e-08
59,1274,575,1e-08
60,19,13,1e-08
61,409,175,1e-08
62,416,183,1e-08
63,18,12,1e-08
64,394,172,1e-08
65,142,94,1e-08
66,207,124,1e-08
67,300,185,1e-08
68,52,33,1e-08
69,251,119,1e-08
70,113,64,1e-08
71,276,179,1e-08
72,253,135,1e-08
73,1077,533,1e-08
74,142,89,1e-08
75,144,90,1e-08
76,667,355,1e-08
77,302,197,1e-08
78,113,69,1e-08
79,944,549,1e-08
80,49,28,1e-08
81,611,278,1e-08
82,1277,524,1e-08
83,894,468,1e-08
84,657,305,1e-08
85,141,63,1e-08
86,52,35,1e-08
87,867,384,1e-08
88,1325,719,1e-08
89,51,32,1e-08
90,698,473,1e-08
91,194,126,1e-08
92,1631,781,1e-08
93,666,337,1e-08
94,112,70,1e-08
95,135,64,1e-08
96,464,205,1e-08
97,225,141,1e-08
98,237,131,1e-08
99,699,412,1e-08
100,1100,671,1e-08
101,836,471,1e-08
102,987,535,1e-08
103,113,63,1e-08
104,202,128,1e-08
105,19,12,1e-08
106,625,353,1e-08
107,207,134,1e-08
108,303,219,1e-08
109,555,406,1e-08
110,809,599,1e-08
111,19,14,1e-08
112,1215,898,1e-08
113,308,159,1e-08
114,306,197,1e-08
115,1039,844,1e-08
116,421,232,1e-08
117,481,381,1e-08
118,52,31,1e-08
119,549,332,1e-08
120,193,117,1e-08
121,1114,581,1e-08
122,270,158,1e-08
123,114,71,1e-08
124,249,129,1e-08
125,394,223,1e-08
126,51,31,1e-08
127,1528,1167,1e-08
128,1382,1137,1e-08
129,19,11,1e-08
130,781,422,1e-08
131,794,446,1e-08
132,302,255,1e-08
133,1727,925,1e-08
134,1351,677,1e-08
135,206,130,1e-08
136,516,413,1e-08
137,703,411,1e-08
138,446,248,1e-08
139,430,222,1e-08
140,1616,1070,1e-08
141,1255,778,1e-08
142,1060,900,1e-08
143,1734,1493,1e-08
144,51,33,1e-08
145,632,387,1e-08
146,391,219,1e-08
147,306,187,1e-08
148,584,327,1e-08
149,1347,773,1e-08
150,206,153,1e-08
151,484,313,1e-08
152,652,390,1e-08
153,1072,673,1e-08
154,115,80,1e-08
155,2420,1839,1e-08
156,1028,646,1e-08
157,607,557,1e-08
158,578,398,1e-08
159,113,82,1e-08
160,97,67,1e-08
161,317,217,1e-08
162,837,506,1e-08
163,1521,1050,1e-08
164,355,224,1e-08
165,205,150,1e-08
166,773,562,1e-08
167,1922,1217,1e-08
168,543,324,1e-08
169,717,579,1e-08
170,142,98,1e-08
171,374,251,1e-08
172,133,90,1e-08
173,1095,1074,1e-08
174,783,484,1e-08
175,283,174,1e-08
176,1682,1263,1e-08
177,205,154,1e-08
178,1189,718,1e-08
179,141,90,1e-08
180,102,78,1e-08
181,113,77,1e-08
