episode,steps,actions,episode_reward
1,51,30,1e-08
2,19,15,1e-08
3,586,333,1e-08
4,1063,609,1e-08
5,854,450,1e-08
6,822,1,1e-08
7,253,3,1e-08
8,686,3,1e-08
9,72,4,1e-08
10,215,3,1e-08
11,807,250,1e-08
12,1195,698,1e-08
13,52,31,1e-08
14,1813,1070,1e-08
15,557,310,1e-08
16,19,16,1e-08
17,393,214,1e-08
18,19,9,1e-08
19,206,118,1e-08
20,304,175,1e-08
21,14,6,1e-08
22,850,488,1e-08
23,19,12,1e-08
24,995,585,1e-08
25,448,276,1e-08
26,248,116,1e-08
27,454,3,1e-08
28,734,3,1e-08
29,945,3,1e-08
30,351,28,1e-08
31,252,125,1e-08
32,250,129,1e-08
33,207,129,1e-08
34,779,396,1e-08
35,1599,719,1e-08
36,204,80,1e-08
37,303,100,1e-08
38,779,215,1e-08
39,435,172,1e-08
40,52,27,1e-08
41,96,37,1e-08
42,963,304,1e-08
43,1151,633,1e-08
44,424,149,1e-08
45,483,156,1e-08
46,411,149,1e-08
47,1198,383,1e-08
48,520,234,1e-08
49,1122,428,1e-08
50,788,390,1e-08
51,961,351,1e-08
52,205,127,1e-08
53,132,81,1e-08
54,269,64,1e-08
55,368,231,1e-08
56,269,114,1e-08
57,52,27,1e-08
58,300,129,1e-08
59,384,244,1e-08
60,193,92,1e-08
61,396,183,1e-08
62,50,31,1e-08
63,512,218,1e-08
64,771,313,1e-08
65,380,178,1e-08
66,142,83,1e-08
67,1337,553,1e-08
68,507,160,1e-08
69,273,152,1e-08
70,412,216,1e-08
71,338,208,1e-08
72,306,181,1e-08
73,52,32,1e-08
74,478,304,1e-08
75,114,56,1e-08
76,877,413,1e-08
77,2179,1221,1e-08
78,304,148,1e-08
79,336,160,1e-08
80,43,28,1e-08
81,587,254,1e-08
82,1082,718,1e-08
83,204,106,1e-08
84,204,118,1e-08
85,251,168,1e-08
86,130,79,1e-08
87,373,185,1e-08
88,303,152,1e-08
89,447,229,1e-08
90,923,414,1e-08
91,714,408,1e-08
92,960,393,1e-08
93,451,225,1e-08
94,710,355,1e-08
95,311,192,1e-08
96,255,118,1e-08
97,1278,614,1e-08
98,132,80,1e-08
99,471,228,1e-08
100,214,139,1e-08
101,326,169,1e-08
102,144,85,1e-08
103,160,69,1e-08
104,554,248,1e-08
105,301,151,1e-08
106,856,503,1e-08
107,131,89,1e-08
108,395,209,1e-08
109,692,572,1e-08
110,418,200,1e-08
111,208,96,1e-08
112,324,192,1e-08
113,516,274,1e-08
114,536,285,1e-08
115,588,419,1e-08
116,1283,1129,1e-08
117,302,184,1e-08
118,803,489,1e-08
119,1463,1018,1e-08
120,11,7,1e-08
121,575,325,1e-08
122,142,73,1e-08
123,349,190,1e-08
124,358,274,1e-08
125,701,354,1e-08
126,1029,631,1e-08
127,546,424,1e-08
128,720,419,1e-08
129,203,122,1e-08
130,355,299,1e-08
131,971,525,1e-08
132,251,137,1e-08
133,449,321,1e-08
134,205,101,1e-08
135,303,219,1e-08
136,503,352,1e-08
137,752,437,1e-08
138,624,432,1e-08
139,552,394,1e-08
140,401,350,1e-08
141,805,421,1e-08
142,305,165,1e-08
143,515,244,1e-08
144,455,234,1e-08
145,1133,800,1e-08
146,222,118,1e-08
147,898,534,1e-08
148,538,315,1e-08
149,397,243,1e-08
150,455,315,1e-08
151,143,94,1e-08
152,272,256,1e-08
153,395,250,1e-08
154,1602,995,1e-08
155,584,360,1e-08
156,304,192,1e-08
157,52,36,1e-08
158,303,196,1e-08
159,19,10,1e-08
160,603,380,1e-08
161,696,551,1e-08
162,888,531,1e-08
163,114,78,1e-08
164,461,274,1e-08
165,322,202,1e-08
166,152,115,1e-08
167,413,389,1e-08
168,71,54,1e-08
169,2794,1680,1e-08
170,397,249,1e-08
171,1014,621,1e-08
172,307,206,1e-08
173,621,430,1e-08
174,911,597,1e-08
175,51,37,1e-08
176,115,76,1e-08
177,465,306,1e-08
178,208,132,1e-08
179,586,476,1e-08
180,251,160,1e-08
181,322,221,1e-08
182,2226,1817,1e-08
183,353,225,1e-08
184,420,259,1e-08
185,362,223,1e-08
186,914,661,1e-08
187,142,117,1e-08
188,52,39,1e-08
189,302,211,1e-08
190,687,453,1e-08
191,19,13,1e-08
192,19,13,1e-08
193,531,332,1e-08
194,162,119,1e-08
195,114,86,1e-08
196,1471,1370,1e-08
197,785,548,1e-08
198,52,44,1e-08
199,142,112,1e-08
200,88,56,1e-08
201,774,494,1e-08
202,164,102,1e-08
203,747,445,1e-08
204,976,603,1e-08
205,421,257,1e-08
206,143,101,1e-08
207,104,70,1e-08
208,578,397,1e-08
209,694,452,1e-08
210,144,97,1e-08
211,204,128,1e-08
212,109,81,1e-08
213,320,208,1e-08
214,703,450,1e-08
215,18,14,1e-08
216,500,356,1e-08
217,300,197,1e-08
218,133,101,1e-08
219,164,104,1e-08
220,388,255,1e-08
221,300,215,1e-08
222,144,94,1e-08
223,1429,897,1e-08
224,543,353,1e-08
225,1994,1629,1e-08
226,147,109,1e-08
227,19,14,1e-08
228,258,190,1e-08
229,1047,654,1e-08
230,641,411,1e-08
231,145,125,1e-08
232,569,350,1e-08
233,620,422,1e-08
234,322,250,1e-08
235,70,58,1e-08
236,877,537,1e-08
237,1514,1033,1e-08
238,303,204,1e-08
239,306,242,1e-08
240,103,81,1e-08
241,144,108,1e-08
242,601,371,1e-08
243,320,202,1e-08
244,264,196,1e-08
245,2096,1440,1e-08
246,727,484,1e-08
247,1242,761,1e-08
248,850,632,1e-08
249,491,352,1e-08
250,549,384,1e-08
251,339,216,1e-08
252,302,229,1e-08
253,1104,808,1e-08
254,640,471,1e-08
255,791,508,1e-08
256,426,280,1e-08
257,113,90,1e-08
258,66,53,1e-08
259,79,64,1e-08
260,303,229,1e-08
261,1031,675,1e-08
262,53,39,1e-08
263,1572,1035,1e-08
264,1107,831,1e-08
265,205,152,1e-08
266,498,435,1e-08
267,543,404,1e-08
268,162,123,1e-08
269,316,234,1e-08
270,303,227,1e-08
271,589,464,1e-08
272,417,265,1e-08
273,1239,824,1e-08
274,446,290,1e-08
275,227,175,1e-08
276,251,185,1e-08
277,205,158,1e-08
278,454,341,1e-08
279,162,129,1e-08
280,305,216,1e-08
281,442,350,1e-08
282,302,204,1e-08
283,673,440,1e-08
284,1700,1291,1e-08
285,2388,1746,1e-08
286,145,116,1e-08
287,1624,1185,1e-08
288,272,222,1e-08
289,605,370,1e-08
290,205,158,1e-08
291,818,652,1e-08
292,270,218,1e-08
293,89,73,1e-08
294,18,15,1e-08
295,753,597,1e-08
296,375,304,1e-08
297,51,42,1e-08
298,1010,637,1e-08
299,959,771,1e-08
300,917,736,1e-08
301,1235,998,1e-08
302,1104,909,1e-08
303,1324,1064,1e-08
304,303,245,1e-08
305,307,250,1e-08
306,508,403,1e-08
307,72,58,1e-08
308,502,417,1e-08
309,273,224,1e-08
310,244,206,1e-08
311,45,36,1e-08
312,199,164,1e-08
313,344,283,1e-08
314,52,43,1e-08
315,1282,1137,1e-08
316,307,250,1e-08
317,257,211,1e-08
318,1042,849,1e-08
319,863,678,1e-08
320,351,285,1e-08
321,1724,1415,1e-08
322,53,42,1e-08
323,70,58,1e-08
324,869,703,1e-08
325,406,333,1e-08
326,596,486,1e-08
327,305,250,1e-08
328,249,200,1e-08
329,50,40,1e-08
330,981,792,1e-08
331,13,10,1e-08
332,797,650,1e-08
333,371,301,1e-08
334,561,449,1e-08
335,247,200,1e-08
336,362,293,1e-08
337,513,412,1e-08
338,361,291,1e-08
339,930,751,1e-08
340,1399,1135,1e-08
341,508,410,1e-08
342,774,623,1e-08
343,103,83,1e-08
344,144,115,1e-08
345,969,786,1e-08
346,1047,838,1e-08
347,269,214,1e-08
348,632,506,1e-08
349,798,638,1e-08
350,276,221,1e-08
351,52,42,1e-08
352,491,393,1e-08
353,222,178,1e-08
354,684,548,1e-08
355,632,506,1e-08
356,1023,819,1e-08
357,1094,877,1e-08
358,302,242,1e-08
359,1264,1011,1e-08
360,1928,1543,1e-08
361,933,746,1e-08
362,301,241,1e-08
363,160,128,1e-08
364,180,144,1e-08
365,861,689,1e-08
366,1354,1083,1e-08
367,2488,1991,1e-08
368,787,630,1e-08
369,19,16,1e-08
370,2030,1625,1e-08
371,251,201,1e-08
372,303,242,1e-08
373,957,766,1e-08
374,304,245,1e-08
375,306,245,1e-08
376,307,246,1e-08
377,185,151,1e-08
378,709,571,1e-08
379,143,114,1e-08
380,112,90,1e-08
381,248,198,1e-08
382,259,207,1e-08
383,251,201,1e-08
384,271,218,1e-08
385,306,245,1e-08
386,3493,2796,1e-08
387,51,41,1e-08
388,113,90,1e-08
389,268,215,1e-08
390,270,216,1e-08
391,868,695,1e-08
392,745,596,1e-08
393,51,41,1e-08
394,503,402,1e-08
395,847,678,1e-08
396,320,256,1e-08
397,252,202,1e-08
398,1278,1023,1e-08
399,303,243,1e-08
400,141,113,1e-08
401,203,162,1e-08
402,444,356,1e-08
403,233,186,1e-08
404,212,170,1e-08
405,458,366,1e-08
406,1172,938,1e-08
407,249,199,1e-08
408,339,271,1e-08
409,662,530,1e-08
410,205,164,1e-08
411,518,415,1e-08
412,224,179,1e-08
413,297,238,1e-08
414,143,114,1e-08
415,1118,895,1e-08
416,137,110,1e-08
417,142,114,1e-08
418,142,114,1e-08
419,808,646,1e-08
420,141,113,1e-08
421,164,131,1e-08
422,52,43,1e-08
423,1331,1066,1e-08
424,491,394,1e-08
425,53,43,1e-08
426,205,165,1e-08
427,105,85,1e-08
428,1194,955,1e-08
429,727,582,1e-08
430,254,203,1e-08
431,113,91,1e-08
432,974,780,1e-08
433,1166,935,1e-08
434,842,674,1e-08
435,547,438,1e-08
436,906,727,1e-08
437,735,590,1e-08
438,95,77,1e-08
439,575,460,1e-08
440,19,15,1e-08
441,1179,943,1e-08
442,718,575,1e-08
443,618,494,1e-08
444,576,461,1e-08
445,268,214,1e-08
446,205,164,1e-08
447,626,501,1e-08
448,427,342,1e-08
449,365,292,1e-08
450,669,535,1e-08
451,256,205,1e-08
452,337,270,1e-08
453,1859,1487,1e-08
454,1013,810,1e-08
455,195,156,1e-08
456,202,162,1e-08
457,559,447,1e-08
458,114,91,1e-08
459,394,315,1e-08
460,766,613,1e-08
461,969,775,1e-08
462,735,588,1e-08
463,256,205,1e-08
464,610,488,1e-08
