episode,steps,actions,episode_reward
1,324,173,1e-08
2,142,87,1e-08
3,922,492,1e-08
4,1038,567,1e-08
5,50,30,1e-08
6,483,274,1e-08
7,302,176,1e-08
8,249,143,1e-08
9,739,424,1e-08
10,412,228,1e-08
11,335,189,1e-08
12,856,510,1e-08
13,113,61,1e-08
14,204,105,1e-08
15,904,511,1e-08
16,51,32,1e-08
17,412,239,1e-08
18,1468,828,1e-08
19,649,405,1e-08
20,347,188,1e-08
21,469,226,1e-08
22,144,74,1e-08
23,494,232,1e-08
24,516,254,1e-08
25,253,131,1e-08
26,1220,647,1e-08
27,415,225,1e-08
28,393,218,1e-08
29,339,182,1e-08
30,224,136,1e-08
31,225,118,1e-08
32,51,28,1e-08
33,306,170,1e-08
34,1991,853,1e-08
35,1111,563,1e-08
36,551,291,1e-08
37,633,336,1e-08
38,665,361,1e-08
39,370,216,1e-08
40,375,213,1e-08
41,1330,750,1e-08
42,607,301,1e-08
43,556,264,1e-08
44,426,122,1e-08
45,963,269,1e-08
46,167,40,1e-08
47,411,147,1e-08
48,617,160,1e-08
49,302,108,1e-08
50,466,143,1e-08
51,1347,355,1e-08
52,162,60,1e-08
53,646,163,1e-08
54,608,175,1e-08
55,647,210,1e-08
56,299,108,1e-08
57,19,6,1e-08
58,352,98,1e-08
59,115,35,1e-08
60,365,119,1e-08
61,550,159,1e-08
62,36,18,1e-08
63,252,79,1e-08
64,1037,412,1e-08
65,301,102,1e-08
66,305,85,1e-08
67,648,420,1e-08
68,19,11,1e-08
69,113,31,1e-08
70,3033,1110,1e-08
71,189,83,1e-08
72,214,123,1e-08
73,224,127,1e-08
74,852,507,1e-08
75,114,68,1e-08
76,205,93,1e-08
77,145,80,1e-08
78,52,34,1e-08
79,262,140,1e-08
80,299,133,1e-08
81,44,30,1e-08
82,310,145,1e-08
83,53,26,1e-08
84,304,168,1e-08
85,259,137,1e-08
86,432,242,1e-08
87,72,41,1e-08
88,249,121,1e-08
89,19,10,1e-08
90,305,153,1e-08
91,303,140,1e-08
92,232,122,1e-08
93,593,319,1e-08
94,482,254,1e-08
95,808,462,1e-08
96,1378,778,1e-08
97,724,382,1e-08
98,90,55,1e-08
99,904,585,1e-08
100,284,140,1e-08
101,811,432,1e-08
102,457,242,1e-08
103,887,637,1e-08
104,301,200,1e-08
105,583,344,1e-08
106,548,364,1e-08
107,249,150,1e-08
108,298,166,1e-08
109,19,11,1e-08
110,182,105,1e-08
111,193,104,1e-08
112,1531,1164,1e-08
113,468,237,1e-08
114,978,683,1e-08
115,413,229,1e-08
116,19,9,1e-08
117,718,360,1e-08
118,467,253,1e-08
119,680,384,1e-08
120,1044,849,1e-08
121,52,32,1e-08
122,303,254,1e-08
123,320,169,1e-08
124,432,253,1e-08
125,202,153,1e-08
126,413,223,1e-08
127,544,285,1e-08
128,1389,805,1e-08
129,298,161,1e-08
130,141,83,1e-08
131,252,115,1e-08
132,19,10,1e-08
133,71,43,1e-08
134,19,19,1e-08
135,19,17,1e-08
136,612,378,1e-08
137,51,27,1e-08
138,534,285,1e-08
139,303,185,1e-08
140,656,444,1e-08
141,2249,1128,1e-08
142,666,438,1e-08
143,251,139,1e-08
144,52,27,1e-08
145,1461,837,1e-08
146,52,28,1e-08
147,530,316,1e-08
148,646,563,1e-08
149,751,493,1e-08
150,304,182,1e-08
151,596,458,1e-08
152,1090,650,1e-08
153,269,85,1e-08
154,559,408,1e-08
155,3058,2135,1e-08
156,1470,1216,1e-08
157,675,568,1e-08
158,431,258,1e-08
159,511,282,1e-08
160,414,384,1e-08
161,607,342,1e-08
162,71,47,1e-08
163,1142,845,1e-08
164,1618,1130,1e-08
165,387,257,1e-08
166,453,287,1e-08
167,204,129,1e-08
168,815,679,1e-08
169,264,176,1e-08
170,363,215,1e-08
171,206,122,1e-08
172,252,148,1e-08
173,1034,895,1e-08
174,324,282,1e-08
175,308,189,1e-08
176,54,33,1e-08
177,542,357,1e-08
178,337,212,1e-08
179,651,264,1e-08
180,338,207,1e-08
181,114,73,1e-08
182,2378,1668,1e-08
183,511,302,1e-08
184,1324,933,1e-08
185,19,15,1e-08
186,184,136,1e-08
187,143,112,1e-08
188,1443,1013,1e-08
189,464,330,1e-08
190,204,177,1e-08
191,113,73,1e-08
192,113,41,1e-08
193,351,226,1e-08
194,684,610,1e-08
195,629,570,1e-08
196,349,233,1e-08
197,114,69,1e-08
198,142,89,1e-08
199,251,173,1e-08
200,250,173,1e-08
201,19,14,1e-08
202,1834,1277,1e-08
203,131,103,1e-08
204,507,499,1e-08
205,1409,1347,1e-08
206,415,298,1e-08
207,510,433,1e-08
208,303,235,1e-08
209,194,123,1e-08
210,1541,1325,1e-08
211,141,78,1e-08
212,143,96,1e-08
213,788,489,1e-08
214,959,620,1e-08
215,1199,895,1e-08
216,874,834,1e-08
217,662,523,1e-08
218,370,294,1e-08
219,52,35,1e-08
220,1091,701,1e-08
221,113,73,1e-08
222,865,545,1e-08
223,1029,715,1e-08
224,767,612,1e-08
225,842,618,1e-08
226,255,227,1e-08
227,249,171,1e-08
228,1632,1166,1e-08
229,1051,744,1e-08
230,225,146,1e-08
231,113,88,1e-08
232,304,202,1e-08
233,912,662,1e-08
234,248,172,1e-08
235,258,216,1e-08
236,52,24,1e-08
237,667,434,1e-08
238,279,193,1e-08
239,142,96,1e-08
240,1987,1466,1e-08
241,609,467,1e-08
242,248,166,1e-08
243,1009,629,1e-08
244,132,116,1e-08
245,355,225,1e-08
246,1003,628,1e-08
247,406,294,1e-08
248,39,25,1e-08
249,53,32,1e-08
250,2114,1855,1e-08
251,161,95,1e-08
252,893,221,1e-08
253,756,457,1e-08
254,20,18,1e-08
255,112,83,1e-08
256,340,234,1e-08
257,251,173,1e-08
258,252,157,1e-08
259,141,91,1e-08
260,362,325,1e-08
261,511,311,1e-08
262,684,464,1e-08
263,1322,932,1e-08
264,320,269,1e-08
265,113,80,1e-08
266,349,320,1e-08
267,341,227,1e-08
268,225,148,1e-08
269,123,72,1e-08
270,518,364,1e-08
271,151,91,1e-08
272,303,219,1e-08
273,2691,1992,1e-08
274,300,217,1e-08
275,2320,1780,1e-08
276,361,284,1e-08
277,524,494,1e-08
278,143,132,1e-08
279,509,498,1e-08
280,520,403,1e-08
281,820,643,1e-08
282,325,245,1e-08
283,19,17,1e-08
284,411,400,1e-08
285,548,439,1e-08
286,55,33,1e-08
287,724,528,1e-08
288,1272,968,1e-08
289,114,73,1e-08
290,464,343,1e-08
291,114,78,1e-08
292,250,201,1e-08
293,19,17,1e-08
294,1738,1190,1e-08
295,605,468,1e-08
296,698,478,1e-08
297,498,362,1e-08
298,321,167,1e-08
299,304,105,1e-08
300,112,86,1e-08
301,145,97,1e-08
302,446,342,1e-08
303,844,755,1e-08
304,911,547,1e-08
305,421,290,1e-08
306,1610,1075,1e-08
307,19,17,1e-08
308,937,609,1e-08
309,2012,1348,1e-08
310,492,355,1e-08
311,511,500,1e-08
312,1972,1364,1e-08
313,303,205,1e-08
314,506,342,1e-08
315,206,153,1e-08
316,782,519,1e-08
317,650,615,1e-08
318,716,533,1e-08
319,70,47,1e-08
320,1427,1055,1e-08
321,50,39,1e-08
322,380,286,1e-08
323,409,225,1e-08
324,2124,1659,1e-08
325,384,352,1e-08
326,19,17,1e-08
327,51,42,1e-08
328,452,331,1e-08
329,1339,472,1e-08
330,967,696,1e-08
331,1612,1238,1e-08
332,168,129,1e-08
333,305,201,1e-08
334,324,224,1e-08
335,354,240,1e-08
336,1401,941,1e-08
337,114,76,1e-08
338,392,281,1e-08
339,878,614,1e-08
340,661,530,1e-08
341,249,168,1e-08
342,251,187,1e-08
343,113,73,1e-08
344,2085,1757,1e-08
345,253,177,1e-08
346,442,360,1e-08
347,357,265,1e-08
348,1294,999,1e-08
349,165,130,1e-08
350,194,143,1e-08
351,256,192,1e-08
352,37,36,1e-08
353,585,469,1e-08
354,306,244,1e-08
355,1063,964,1e-08
356,661,539,1e-08
357,116,100,1e-08
358,911,735,1e-08
359,142,128,1e-08
360,142,119,1e-08
361,130,105,1e-08
362,2823,2446,1e-08
363,597,499,1e-08
364,388,349,1e-08
365,769,610,1e-08
366,606,476,1e-08
367,468,366,1e-08
368,227,171,1e-08
