episode,steps,actions,episode_reward
1,2369,1298,1e-08
2,2795,1663,1e-08
3,133,77,1e-08
4,802,465,1e-08
5,553,276,1e-08
6,805,610,1e-08
7,726,453,1e-08
8,165,100,1e-08
9,143,97,1e-08
10,319,161,1e-08
11,19,13,1e-08
12,52,32,1e-08
13,1119,626,1e-08
14,1187,829,1e-08
15,563,315,1e-08
16,653,368,1e-08
17,1183,883,1e-08
18,351,223,1e-08
19,605,469,1e-08
20,864,590,1e-08
21,307,205,1e-08
22,724,625,1e-08
23,268,153,1e-08
24,717,599,1e-08
25,142,84,1e-08
26,416,356,1e-08
27,881,776,1e-08
28,1139,840,1e-08
29,218,127,1e-08
30,114,61,1e-08
31,1809,1581,1e-08
32,324,193,1e-08
33,510,396,1e-08
34,843,736,1e-08
35,807,764,1e-08
36,206,126,1e-08
37,316,236,1e-08
38,104,61,1e-08
39,142,100,1e-08
40,567,361,1e-08
41,254,225,1e-08
42,183,117,1e-08
43,167,114,1e-08
44,243,227,1e-08
45,1385,927,1e-08
46,507,465,1e-08
47,51,20,1e-08
48,19,10,1e-08
49,1231,1156,1e-08
50,137,71,1e-08
51,486,417,1e-08
52,1051,626,1e-08
53,468,439,1e-08
54,474,336,1e-08
55,19,10,1e-08
56,317,296,1e-08
57,1067,1013,1e-08
58,807,630,1e-08
59,1597,869,1e-08
60,531,386,1e-08
61,658,601,1e-08
62,1091,1058,1e-08
63,297,205,1e-08
64,1000,950,1e-08
65,205,156,1e-08
66,204,163,1e-08
67,255,225,1e-08
68,2023,1720,1e-08
69,973,912,1e-08
70,656,645,1e-08
71,19,8,1e-08
72,496,485,1e-08
73,52,32,1e-08
74,115,83,1e-08
75,1103,919,1e-08
76,206,147,1e-08
77,847,731,1e-08
78,19,5,1e-08
79,224,162,1e-08
80,712,637,1e-08
81,755,694,1e-08
82,393,298,1e-08
83,304,286,1e-08
84,251,235,1e-08
85,188,128,1e-08
86,546,429,1e-08
87,520,438,1e-08
88,336,238,1e-08
89,2572,2146,1e-08
90,19,18,1e-08
91,427,385,1e-08
92,447,441,1e-08
93,365,256,1e-08
94,225,218,1e-08
95,1617,1480,1e-08
96,146,100,1e-08
97,19,18,1e-08
98,300,244,1e-08
99,1262,1153,1e-08
100,887,814,1e-08
101,305,235,1e-08
102,7,1,1e-08
103,466,402,1e-08
104,616,583,1e-08
105,326,250,1e-08
106,456,358,1e-08
107,593,511,1e-08
108,2989,2765,1e-08
109,1075,952,1e-08
110,303,256,1e-08
111,640,609,1e-08
112,1555,1466,1e-08
113,414,322,1e-08
114,567,462,1e-08
115,76,50,1e-08
116,531,423,1e-08
117,761,626,1e-08
118,161,130,1e-08
119,44,26,1e-08
120,1731,1525,1e-08
121,1230,1061,1e-08
122,768,685,1e-08
123,346,332,1e-08
124,91,71,1e-08
125,361,306,1e-08
126,392,306,1e-08
127,132,97,1e-08
128,1039,850,1e-08
129,19,18,1e-08
130,665,531,1e-08
131,252,221,1e-08
132,501,399,1e-08
133,799,647,1e-08
134,101,77,1e-08
135,304,250,1e-08
136,2164,2027,1e-08
137,243,188,1e-08
138,208,165,1e-08
139,204,188,1e-08
140,777,751,1e-08
141,304,234,1e-08
