episode,steps,actions,episode_reward
1,1172,766,1464.5920827043567
2,392,301,872.0352839561109
3,183,155,409.93880401996995
4,19,16,8.675041751670017e-08
5,609,431,1135.5816517603523
6,575,353,836.1277105253484
7,165,109,302.6708028741107
8,667,420,1058.6991662049954
9,1734,1083,2485.3568113164242
10,419,269,670.7297186165897
11,2020,1228,2436.1677165564465
12,549,319,940.830371494205
13,112,62,193.0607952023215
14,1384,662,2495.2786293998843
15,224,117,468.449993841867
16,1180,670,2392.023723675322
17,558,298,1153.4575760676414
18,860,401,1578.45233691986
19,354,206,784.6156086098749
20,52,29,104.81602112076806
21,222,124,452.47955081862057
22,1266,581,2639.0841412640357
23,314,122,657.6514112687613
24,389,200,878.5223970700022
25,302,168,421.30642307820807
26,412,226,595.2461665168075
27,2121,1012,4245.943622595025
28,51,17,113.85986948225741
29,319,153,576.2526014676906
30,1096,464,2150.7924152208557
31,280,131,509.1398097974972
32,1815,677,3334.706663872739
33,1972,630,3714.0902937305164
34,301,106,658.6102024509897
35,483,178,931.1343072915736
36,143,46,407.4514095659547
37,144,39,417.1434483332527
38,377,130,834.6781465140923
39,304,93,635.9229123248136
40,920,333,1988.3660364689079
41,993,358,2021.1506401009526
42,322,119,785.6480417475232
43,306,103,559.8602897735134
44,878,246,1544.6723685688526
45,433,132,914.0840104737318
46,609,192,965.2885841148664
47,662,182,1389.621178318607
48,393,127,765.0555210872176
49,222,62,468.63985348164215
50,250,88,520.4108547909636
51,142,56,377.1629491119561
52,269,89,573.4944924954219
53,270,95,544.6861735656831
54,908,292,1945.0167474902446
55,363,144,889.6765716902371
56,481,181,1101.6463406991377
57,604,209,1383.5769141104913
58,1149,353,2567.44992726755
59,917,237,1535.4548706644266
60,673,225,1419.1417699964054
61,1402,490,2947.6876146263226
62,1295,439,2622.455270793489
63,104,59,306.476020072219
64,204,83,484.96138637866585
65,466,169,996.0265032813962
66,553,205,1206.0888276248556
67,492,289,1144.2695645280999
68,314,160,778.3077045965912
69,205,91,482.6567107320388
70,436,225,941.2475744588337
71,683,200,1430.4709714508435
72,1548,625,3240.439886468457
73,408,190,933.3563985746954
74,693,345,1577.860096373975
75,316,154,744.7673266619104
76,140,73,369.7308730185547
77,980,462,2090.868206684601
78,165,96,271.93095130063074
79,226,121,589.8675554214954
80,51,26,5.989654596995561
81,1365,535,2722.362166068608
82,651,337,1386.086396518098
83,1125,625,2274.003273025345
84,252,109,568.205807920573
85,715,441,1530.34765325536
86,132,81,335.5920145999577
87,204,117,431.4537603556141
88,346,215,867.0820089082041
89,597,294,1249.930583130915
90,862,452,1934.4992865488487
91,1348,669,2652.0322231282507
92,427,233,980.5765808379708
93,1267,672,2399.4934107347717
94,1193,379,1814.7510621633721
95,371,89,634.0959427609673
96,445,233,981.320237569162
97,663,152,1179.4268523346025
98,53,26,155.7422813332074
99,458,257,1066.3823032225744
100,1928,1009,4173.465111775012
101,1137,577,2412.8193624602054
102,476,133,762.8720466470359
103,623,355,1385.6759159041162
104,299,146,611.5579305621436
105,800,512,1666.2726729477129
106,253,198,638.5636819506152
107,754,559,1633.222012328791
108,496,271,1016.7310147919229
109,20,16,1.0000868976796167e-08
110,250,178,581.8003287165793
111,2506,1785,5308.637959938882
112,140,93,333.3684878230372
113,112,76,300.0159870804596
114,414,306,883.9411315777661
115,249,170,605.8235271231664
116,256,190,552.2588714541049
117,415,232,899.1612703559548
118,1034,754,2198.0835856534068
119,467,308,1006.4569253399014
120,215,156,579.3913864821379
121,226,138,62.82904178387487
122,1466,922,3119.974677550259
123,151,101,366.60492206522224
124,52,39,26.92703882850624
125,1714,534,2922.3428013828534
126,713,546,1095.0451857635303
127,133,113,293.12092736696985
128,520,411,1017.1920358345291
129,114,105,286.7897960790398
130,655,544,1345.3899939429166
131,954,609,2092.2003511676758
132,61,54,53.880684993239356
133,162,147,339.1492510831478
134,285,257,636.526250488014
135,1250,829,2454.1004691567614
136,111,96,284.8588612725251
137,954,755,1908.1373571314016
138,204,140,482.161472681963
139,114,88,302.9182929574688
140,228,176,492.24517244490147
141,861,588,1722.9219318127573
142,51,43,71.78425997286736
143,1000,763,2081.8074218107113
144,204,160,492.5829724278244
145,617,327,1286.5091912703924
146,162,150,310.5691909000795
147,2109,1556,4373.199375917627
148,305,188,734.9775512395045
149,1216,775,2380.880496153012
150,106,91,267.3633348080642
151,1605,687,3367.250816601997
152,891,608,1860.3977132086975
153,321,264,655.0611181992685
154,784,474,1174.9894148615772
155,757,617,1602.8096730741718
156,70,62,140.53419799278328
157,1461,1200,3009.068334751826
158,958,532,1918.8694106713065
159,575,480,1266.4502857500236
160,819,582,1710.054622103757
161,351,303,723.3406732137317
162,448,136,855.6019514350976
163,960,855,2005.3971359924203
164,348,295,796.9274590546288
165,1335,817,2640.3899783597
166,248,208,592.2314132142736
167,144,123,352.8096801664195
168,823,716,1742.2566094603037
169,562,446,1254.4005589062087
170,752,399,1577.407605250372
171,321,179,444.7601300394623
172,19,16,1.5384250397679836e-08
173,761,509,1632.2001706625717
174,656,571,1405.2037668742691
175,1290,689,2200.612271229041
176,301,242,686.3390307287448
177,142,130,341.6681663450649
178,506,481,1121.9000115389356
179,251,234,524.9279482092628
180,194,159,482.3008788760626
181,269,191,414.04125324448086
182,756,702,1641.517406327506
183,322,293,722.720171916665
184,199,175,397.8323223822024
185,305,204,670.190769914947
186,1176,994,2533.4208465787815
187,185,176,502.8728593175144
188,51,48,116.60845522306599
189,852,814,1839.304962978622
190,112,103,307.8496779350745
191,1417,1193,3173.01029331465
192,363,293,776.9264779190819
193,319,189,663.8987361135006
194,2789,2681,6029.488303908378
195,252,234,547.7611467620018
196,52,49,131.66356171862188
197,105,100,300.9205370164555
198,249,242,546.20474423346
199,614,425,1283.2693561367478
200,132,124,351.5076335247868
201,624,450,1425.2179395040212
202,203,195,455.06832939311477
203,1,1,2.4076672418901923
204,1090,1067,2392.3382030316616
205,759,440,1618.6250345301119
206,343,315,658.7027163905792
207,432,421,1013.313531549227
208,19,18,1.4675728870303625e-08
209,304,289,648.4032130804937
210,457,449,960.8887646439781
211,1155,904,2526.2545124784456
212,1147,1133,2577.3371914129784
213,1598,1280,3410.02484613776
214,669,574,1408.0911612538105
215,665,660,1471.967322972781
216,51,51,134.61723368427275
217,303,265,700.5911503214589
218,52,48,119.71485436181821
219,796,600,1644.6355006824947
220,160,158,349.310116374476
221,106,104,213.99994720245456
222,661,530,1401.3671125709755
223,2134,1928,4799.617847746699
224,423,384,987.8824551462511
225,1385,1155,3174.4363313854137
226,1627,1480,3514.3585872412923
227,1056,1034,2299.296245512787
228,130,127,346.995330313657
229,201,198,477.48769226455335
230,50,45,89.75797438342704
231,597,410,1342.7672027825845
232,1107,907,2511.459482487291
233,251,246,597.6732863262392
234,69,62,128.6216381741446
235,203,199,509.5432479148672
236,334,312,827.9399452227411
237,354,282,756.877189548672
238,949,620,1963.2589083521
239,262,244,664.14310111782
240,204,202,480.65070147181814
241,1222,1172,2796.028777992233
242,340,264,720.8830937998415
243,248,242,583.0244126130509
244,190,172,364.91838331000383
245,51,35,14.939670230566703
246,624,590,1352.0707289849474
247,786,769,1705.5769530380894
248,72,67,80.80391359059608
249,2344,2048,5157.958447232307
250,53,47,56.82057868670195
251,577,337,1292.8394138820227
252,257,245,520.6606261896387
253,252,248,604.8716780825673
254,378,254,856.2329247439201
255,503,381,1072.1033635257877
256,66,56,189.69948623590562
257,845,679,1714.9995668959014
258,251,251,593.2532866250797
259,1039,903,2244.77134480278
260,938,869,2118.217088698574
261,1512,1155,3242.482611679399
262,564,558,1409.1613877252032
263,780,731,1865.0321066668212
264,2327,2311,5203.7521470551355
265,766,629,1683.8620477578636
266,164,158,305.378302852783
267,133,129,391.6740934946426
268,606,599,1350.229726305092
269,9,7,26.98345440208859
270,1955,1884,4355.07125042298
271,411,410,969.1137773832412
272,1536,1523,3543.223570900664
273,1527,1525,3317.7829450817426
274,734,729,1697.9071492938237
275,1040,915,2412.4255291471254
276,523,410,1075.2893769566635
277,159,155,354.02031634534404
278,320,274,688.808735959857
279,502,493,1173.6799858682025
280,1282,920,2748.0404585033007
281,11,9,32.962324054231196
282,1432,1423,3124.389113553433
283,1132,929,2478.1849712080375
284,19,16,1.0011707847409546e-08
285,438,438,1039.1107307263094
286,72,69,0.001619120834829762
287,640,612,1254.3018790958774
288,225,217,474.27616796736027
289,1456,1455,3371.0954283173664
290,667,659,1548.4923088893784
291,526,380,1210.0704385271947
292,207,207,509.96902799268173
293,261,255,583.9332986108731
294,943,938,2127.227444077656
295,203,203,509.6008368812387
296,1779,1700,4191.991945966121
297,201,200,501.22486707944256
298,1660,1647,3660.918869198326
299,428,334,949.5146122162771
300,89,84,65.76578401284954
301,324,320,839.0464776303876
302,664,484,1343.6599867982115
303,451,443,1056.748112287418
304,1024,1018,2277.9877487265867
305,144,142,374.0905790071078
306,685,676,1545.3326817113618
307,1430,1368,3140.8540045642653
308,256,249,513.7248287132646
309,704,691,1635.6768051923386
310,1224,1215,2730.0147009999087
311,509,507,1160.3972784431162
312,207,205,496.86684374267156
313,354,353,822.0278508519639
314,554,554,1237.1989145096677
315,1643,1643,3661.4266396839707
316,601,601,1400.4002309798075
317,486,375,1046.6170592679887
318,370,370,932.6484612762728
319,303,303,690.9239800407136
320,113,111,322.7200369557595
321,252,252,581.7908679638475
322,205,204,485.3624973832177
323,1118,915,2435.6458019592014
324,51,51,29.906015211048327
325,320,313,739.349441865233
326,164,163,446.68403293794535
327,498,495,1137.2846758120754
328,51,45,2.159441030479981e-05
329,212,211,368.06585493157615
330,1214,1214,2639.63405154732
331,872,802,1906.894115639874
332,52,50,26.904599317227966
333,251,251,589.2816400412505
334,316,310,739.7957953040985
335,42,37,86.70666788230002
336,248,246,581.3220676901749
337,132,127,279.913328076486
338,419,403,927.422221617583
339,114,114,292.8183781103161
340,1301,1296,2868.4333498206233
341,763,757,1522.5059858752986
342,113,113,323.7712818087773
343,303,296,697.4406532138344
344,436,429,992.8107603936129
345,19,17,1.0000350008120048e-08
346,371,370,891.6144713010584
347,822,813,1894.8349345159058
348,447,446,974.9511075631352
349,107,107,297.1523489158435
350,727,721,1655.760616745566
351,53,49,80.74665087602013
352,51,49,41.869005280534004
353,306,302,605.0625908990701
354,2394,2380,5293.3193121325685
355,832,773,1814.2432064428629
356,580,578,1351.7929334382968
357,1730,1711,3889.261450890788
358,113,109,302.409490391713
359,328,322,680.2139194532489
360,164,164,481.269759179904
361,143,140,396.33442348678335
362,410,410,959.3481998840689
363,959,927,2135.8201181318805
364,1062,1062,2429.0108444661078
365,548,542,1237.2086617402686
366,194,187,409.0641630247613
367,306,306,686.2160011613371
368,609,575,1260.862240797982
369,214,214,582.6987286100921
370,588,586,1411.679557035357
371,112,107,312.09421254709275
372,205,205,490.44057681536833
373,749,748,1580.2940202648692
374,527,441,1128.356564692157
375,273,265,608.7866346093596
376,186,179,368.485863536179
377,1000,999,2282.0798615127214
378,114,113,296.8366271191659
379,192,190,402.09208894313053
380,19,17,1.9461315402321257e-08
381,414,410,925.3537926585436
382,1081,1078,2474.1222355792706
383,53,50,113.67611166714526
384,761,761,1718.3975889892886
385,102,94,276.4915906834308
386,1946,1936,4302.590669129794
387,345,345,807.1027591417803
388,3072,2941,6657.895664172175
389,18,12,1.000340634461672e-08
390,511,510,1160.8905853335164
391,254,253,584.4599161472663
392,118,116,292.91634941635306
393,1013,992,2227.7204769084187
394,432,414,1018.4275128412324
