episode,steps,actions,episode_reward
1,143,112,247.83209233821148
2,774,507,822.5128513894136
3,267,198,525.1680245825571
4,388,278,544.9448415698772
5,205,168,282.42074705761235
6,473,347,777.5471752977589
7,140,117,273.7577296169763
8,563,340,770.9685592786765
9,669,417,923.8876331784306
10,414,279,500.4921715382519
11,1129,709,1293.3156108286175
12,355,227,372.6165648185612
13,363,220,431.45966606640036
14,106,71,2.6782035028133087
15,427,248,319.6194048129795
16,488,307,609.9299138293306
17,302,163,423.82411349213476
18,891,530,1458.176158558667
19,837,416,1219.6489469571177
20,202,119,409.3996105402063
21,864,383,1322.3180516583384
22,528,284,864.9523313372238
23,1697,945,2490.7055993976182
24,601,279,1064.9534044746426
25,212,123,222.522136824161
26,194,116,235.8432076929683
27,527,188,642.3146963489269
28,2276,1217,3623.217491351025
29,1528,849,2409.611148734047
30,698,291,1395.906498430788
31,51,25,1.0000012098790863e-08
32,1002,408,1858.8933250200246
33,416,164,611.9856089557663
34,270,127,563.2222182659577
35,638,241,1235.6585632321317
36,249,84,528.0408815417023
37,2580,894,4914.8844267658005
38,18,7,1e-08
39,302,91,365.1675205605011
40,304,109,592.6405612777528
41,764,235,1293.1427056514217
42,383,117,451.11008184896264
43,1021,213,1437.2568595601292
44,449,167,867.4735946099352
45,114,37,135.363048450259
46,295,107,398.72408149057605
47,337,123,438.1754271122374
48,321,112,525.8386150351317
49,304,119,605.5743198681306
50,207,38,355.2243401409093
51,302,94,485.4407810004598
52,365,104,676.3568685332632
53,1047,328,2021.5410577869254
54,814,282,1120.5725688811408
55,867,290,1739.1625694573925
56,2519,935,4793.389830905813
57,744,271,1356.1459820000043
58,72,24,1.0000000007978323e-08
59,442,135,714.9525624262014
60,251,58,518.9550134426411
61,318,87,552.1893446283545
62,273,97,393.91018315331195
63,301,80,432.72759064812533
64,697,215,1094.9781560540891
65,507,174,871.338152278149
66,114,45,16.55716103107414
67,223,79,371.9606728521327
68,1077,363,1961.6410941430136
69,627,218,860.5678618909311
