episode,steps,actions,episode_reward
1,203,163,726.5930033947458
2,879,605,2038.8730925018108
3,457,287,772.3636397603874
4,338,269,1074.9734921534205
5,257,152,490.8291618039837
6,204,133,260.8726843472537
7,984,728,1874.3614427299924
8,767,568,1898.6522161605255
9,1690,1222,3104.990030041877
10,382,273,1102.6536718106165
11,380,253,694.1742836794024
12,2411,1802,5455.337336405075
13,205,171,744.2909595746839
14,249,195,775.0613595641904
15,145,134,597.5915282338486
16,449,359,1442.9520440205708
17,883,728,2738.5780007759736
18,1510,1316,4752.893804446299
19,262,224,892.9389676307084
20,1519,1245,4887.996875272719
21,269,198,785.3949871070041
22,303,247,997.4308606668758
23,19,19,1.0000071300141348e-08
24,274,223,900.0387598809546
25,304,240,986.9915282850425
26,1672,1392,5441.7981148555045
27,1113,982,3558.4206560858597
28,378,319,897.9260487470323
29,1036,852,2577.9330602645596
30,250,179,835.9789942064211
31,208,166,656.0326002609478
32,36,24,130.11307317499848
33,1252,1094,3918.1373809222805
34,1095,960,3226.336715638715
35,300,241,701.4507771046904
36,1190,1048,3707.5894694084454
37,414,370,1283.6415306732213
38,2219,1985,6714.310377610728
39,1420,1264,4782.368256597762
40,2074,1728,6446.287631692698
41,408,390,1443.3267028860496
42,255,248,971.9438985709805
43,463,419,1533.0334352422005
44,880,813,2840.163547054266
45,253,221,932.4703990015952
46,303,252,976.4176180160863
47,1271,1077,4162.897625568369
48,142,140,595.0725508312509
49,363,319,1173.1420456718024
50,259,209,741.3812633871942
51,439,401,1341.5939873371467
52,561,504,2028.0551977985533
53,369,364,1152.8939161584221
54,162,161,488.4319394005603
55,247,241,771.5824550310189
56,306,250,1158.3292851763595
57,1143,1036,3764.2953248535264
58,1325,1125,3657.363045537321
59,19,18,1.0000411954885277e-08
60,303,275,1136.1238941555857
61,163,161,522.3171173794728
62,113,110,355.7222615812834
63,113,112,430.17068050929214
64,51,50,2.081712014067191e-06
65,89,86,371.6060221708936
66,296,288,961.8537963339447
67,570,546,2147.1214048231495
68,1254,1136,4372.782657111165
69,395,373,1553.4616769441702
70,283,282,1068.7976989025617
71,454,425,1714.8984785060911
72,694,668,2658.6575023192486
73,1302,1205,4570.562963430788
74,362,355,1346.6060644914403
75,304,216,1062.611776264794
76,251,239,933.201931669214
77,225,221,783.756633722647
78,247,245,882.2640661916979
79,195,194,585.19335991139
80,463,456,1756.0244401422924
81,1230,1187,4335.829297491758
82,436,403,1602.0868588289497
83,51,51,1.082778738178457e-08
84,305,300,1205.0755866222503
85,112,111,272.19587631601337
86,401,397,865.9307788138061
87,170,170,620.7572822425926
88,795,775,2757.510838152119
89,649,628,2475.6354726500267
90,598,570,2183.4659131472226
91,54,54,1.4834419849171329e-06
92,655,644,2496.7502894477516
93,205,199,776.592039292882
94,142,141,521.7574469715219
95,38,38,1.0000000004926415e-08
96,893,765,2995.703646440549
97,20,20,1e-08
98,38,38,1e-08
99,416,416,887.8476452755347
100,162,161,109.89647077851735
101,903,873,3439.6846475064294
