episode,steps,actions,episode_reward
1,204,162,1.0000000051882477e-08
2,369,282,1.0000000078290708e-08
3,511,320,1.00000001239526e-08
4,454,271,1.0000000108318076e-08
5,193,161,1.0000000034843832e-08
6,603,388,1.0000000142102722e-08
7,304,201,1.0000000057641003e-08
8,1031,744,1.0000000251683934e-08
9,669,446,1.0000000156363113e-08
10,496,367,1.0000000105763831e-08
11,2409,1711,1.000000056048375e-08
12,1441,1055,1.000000035753423e-08
13,270,230,1.0000000067013604e-08
14,1046,875,1.000000027809373e-08
15,769,625,1.000000018872069e-08
16,1044,922,1.0000000252048201e-08
17,205,181,1.0000000050303006e-08
18,620,558,1.0000000145477947e-08
19,18,18,1e-08
20,553,453,1.0000000137222484e-08
21,553,489,1.0000000151972597e-08
22,669,553,1.0000000165983774e-08
23,19,19,1e-08
24,588,469,1.0000000150756858e-08
25,1482,1289,1.0000000406414018e-08
26,1610,1407,1.0000000420953324e-08
27,375,308,1.0000000081524258e-08
28,1033,855,1.000000026115042e-08
29,462,359,1.0000000120552358e-08
30,180,164,1.0000000043799541e-08
31,1615,1455,1.0000000414415853e-08
32,448,338,1.0000000113570055e-08
33,143,133,1.0000000035649296e-08
34,414,321,1.0000000084654584e-08
35,1848,1619,1.0000000486593902e-08
36,795,712,1.0000000192975268e-08
37,598,538,1.000000015255941e-08
38,251,179,1.0000000068293607e-08
39,205,178,1.0000000056139769e-08
40,370,257,1.0000000089522494e-08
41,1054,861,1.0000000280721317e-08
42,761,715,1.0000000188308347e-08
43,810,670,1.0000000212388537e-08
44,508,423,1.0000000140770515e-08
45,5,3,1.0000000001605599e-08
46,161,159,1.0000000036038785e-08
47,247,245,1.0000000061382041e-08
48,255,253,1.000000005734765e-08
49,52,51,1e-08
50,416,393,1.0000000093476688e-08
51,557,542,1.0000000122174762e-08
52,2112,1720,1.0000000566116472e-08
53,20,20,1e-08
54,143,143,1.0000000033685334e-08
55,620,544,1.0000000143109605e-08
56,251,154,1.0000000072367698e-08
57,52,52,1e-08
58,2068,1943,1.0000000515717994e-08
59,2191,1899,1.0000000565502526e-08
60,19,18,1e-08
61,304,258,1.0000000086928704e-08
62,527,523,1.0000000122011728e-08
63,53,52,1.0000000006418143e-08
64,240,233,1.0000000055352573e-08
65,565,517,1.0000000155318233e-08
66,1657,1500,1.0000000445847057e-08
67,744,724,1.0000000200623142e-08
68,1824,1751,1.0000000477680416e-08
69,1426,1323,1.0000000368781832e-08
70,780,758,1.0000000184844283e-08
71,113,113,1.0000000006339036e-08
