episode,steps,actions,episode_reward
1,207,159,646.0558434315399
2,316,241,808.3403803991074
3,355,236,302.1377668907962
4,455,292,768.275971211704
5,349,257,929.9536789166568
6,651,445,930.4709707178395
7,604,427,860.1639873093673
8,252,171,613.4673109474675
9,1868,1359,3558.3784677015246
10,462,351,817.308518501651
11,745,517,1681.0475871229519
12,626,433,744.8828456256352
13,2059,1587,4782.665328152336
14,598,511,1644.3090662249929
15,453,376,1246.3612234343707
16,1749,1444,4678.113862956361
17,52,52,1.0000675217772922e-08
18,525,456,1413.25164325322
19,52,49,1.0003080727512995e-08
20,280,244,740.6494088440519
21,1107,925,3322.704555049924
22,303,242,801.4695966867328
23,112,111,200.77684842733007
24,586,465,1420.7340172917354
25,575,476,1631.7883581924766
26,203,169,615.9012886785463
27,141,136,366.18282659103204
28,319,303,612.4818259334066
29,303,242,914.0600722149255
30,814,698,2139.7718918030237
31,1008,855,2632.0791295899503
32,373,314,826.6327437324453
33,256,241,643.0517385354583
34,225,213,565.8846015043346
35,550,438,1433.6400141223867
36,467,348,1353.1009137160688
37,35,23,114.01748396152908
38,966,845,2242.2013727113654
39,284,240,830.1012840087027
40,1094,986,2934.396931679117
41,970,793,2116.567107086675
42,633,605,1942.3148168920548
43,250,194,782.1147779314009
44,51,51,1.0019254809690969e-08
45,353,303,772.9589560415891
46,301,275,734.4241349471081
47,19,19,1e-08
48,482,432,1342.363027115097
49,495,412,1404.8626810635787
50,568,512,1594.7754388439855
51,2481,2023,6318.457652898817
52,1018,889,2980.7484893965593
53,146,132,435.2992300796712
54,153,150,338.34476279818205
55,365,356,1102.2222975580626
56,52,52,1.0002602022230599e-08
57,467,444,1248.6914626173168
58,387,369,965.3641268792668
59,939,765,2808.4827978458193
60,1455,1243,3962.268551183678
61,919,740,2233.99685729014
62,825,773,2326.03304637512
63,397,386,950.6854489285199
64,18,18,1e-08
65,812,761,2249.3794433582466
66,890,785,2388.165560340002
67,1017,915,2536.092054083682
68,306,228,937.3491203052484
69,482,454,1271.888436008808
70,370,370,821.3811901958279
71,72,72,120.61257633266388
72,791,699,2459.275711007486
73,477,438,1444.3634756539468
74,252,235,797.7265361829992
75,783,711,2417.698620693325
76,140,130,355.02340058513175
77,142,139,333.7982149302402
78,142,140,332.0358069725575
79,253,240,777.1390108786891
80,460,452,1408.9685172315098
81,1570,1525,4376.746409047225
82,165,164,301.45017989324776
83,666,622,1903.2949770756043
84,266,240,777.8486991481619
85,645,631,1686.6160627286736
86,576,570,1529.925718978959
87,863,822,2482.9422436194563
88,687,634,2175.4374016443453
89,353,347,979.0998155118048
90,114,114,34.029283702327795
91,515,512,752.2204352412438
92,68,68,1.1529223375105513e-08
93,427,410,1041.8535466386945
94,668,653,1728.6969083140648
95,943,896,2860.1990221974634
96,51,51,1.0000259594855427e-08
97,662,645,2087.939968923591
98,366,363,1023.4557594817453
99,19,19,1e-08
100,335,330,952.5674578346583
101,305,209,961.1716780040781
102,251,246,706.6395464315319
103,57,57,1e-08
104,437,437,457.7088293937429
105,1331,1316,3661.637548759328
106,409,401,1000.9392797214147
107,1575,1545,4536.51252673372
108,1849,1827,4801.87594631832
109,315,313,931.7961024487336
110,348,337,1079.399148617319
111,103,103,1.0000891877626336e-08
112,204,201,533.0145690344743
113,1201,1168,3654.5773734559434
114,301,270,981.6749782590045
115,2202,2167,6531.3176697125755
116,1473,1454,4436.110289990434
117,964,958,2496.929397668637
118,1134,1095,2994.612311287964
119,285,284,735.1235436524981
120,167,167,119.4128037990357
121,615,609,1770.1992769410008
122,1003,999,2477.9775902839015
123,206,202,605.5374295597709
124,621,613,1459.3366297702596
125,1530,1494,3995.060290886711
126,756,751,1897.2264842645243
127,140,139,236.35602762039738
128,665,654,1951.7396708472663
129,667,660,1833.0354730484955
130,249,244,741.5751893242316
131,156,155,203.62423839027588
132,130,130,1.0470158763372186e-08
133,131,130,86.56466194088289
134,1165,1140,3331.965029969266
135,1008,943,2733.273503544517
136,1748,1639,4785.222219684666
137,386,377,1033.1290132479721
138,442,426,1146.6668698830829
139,297,292,725.1195396465653
140,1141,1102,3377.436633297006
141,398,393,1068.9986239033672
142,850,784,2168.4615771313815
143,638,626,1645.1093996767531
144,225,220,641.6413469935319
145,641,615,1672.7477427654146
146,303,299,726.3798730387181
147,503,467,1528.545264634024
148,1209,1189,3250.4317565429324
149,462,460,1266.898825315241
150,688,682,1844.1627187052334
151,658,648,1651.6371242845107
152,142,142,163.12223912136767
153,587,576,1561.42787233825
154,525,510,1618.4947376785894
155,113,113,171.3718493523182
156,131,131,151.54333729559866
157,475,450,1416.0165628018688
158,14,11,34.61335922678166
159,597,542,1725.674110552179
160,19,19,1e-08
161,276,275,563.9209183028996
162,19,19,1e-08
163,1193,1115,3202.9517990522613
164,316,307,749.0939499564254
165,259,225,783.059350984871
166,299,291,801.6106657663333
167,203,196,606.3673810343721
168,522,518,1483.9963478188145
169,19,19,1e-08
170,812,793,1931.1502656748044
171,1467,1328,4185.416338429903
172,303,245,986.9561094729384
173,1320,1270,3960.696058192721
174,558,484,1632.3199756859776
175,1032,978,2762.3351542869104
176,786,770,1784.165876496546
177,36,36,1.0000021545034216e-08
178,384,378,1049.2950287068231
179,2711,2620,7787.363671137925
180,19,19,1e-08
181,464,449,1229.8504888979958
182,1587,1482,4557.389554319056
183,606,508,1934.9111359910294
184,549,458,1737.478897022954
185,495,458,1251.0219238450397
186,322,278,957.6693886095132
187,515,459,1600.6271530569632
188,51,51,1.7819425926162122e-08
189,823,811,2275.4100802368466
190,222,206,608.7858368208985
191,640,625,1588.6970131636847
192,576,536,1591.8371146516567
193,916,891,2173.809943881824
194,895,889,2661.310853347474
195,503,503,1434.1918313222573
196,551,497,1650.5803226842336
197,250,215,771.8305439698408
198,508,458,1597.3525733965182
199,240,227,638.0948823496807
200,51,51,1.0000113813732042e-08
201,1026,970,2809.9619375298184
202,564,518,1560.2289264062963
203,1173,1119,3225.5717306935176
204,348,306,1122.7385835888433
205,431,403,1200.32638090232
206,694,622,1759.1969629653856
207,694,472,1704.8089490222055
208,523,500,1246.8478530990478
209,633,505,1786.9664865701882
210,569,499,1570.3874002224532
211,501,462,1574.4830718922292
212,524,502,1403.2858531198601
213,132,130,340.0464440557073
214,52,52,1.0000022048744793e-08
215,808,748,2245.973306380187
216,1524,1460,4464.558923049518
217,3255,2831,9041.514236778896
218,775,745,2179.5757725499034
219,367,362,974.0588681777593
220,204,170,629.8687523900346
221,446,358,1282.45538238138
222,775,709,2422.0301393046298
223,68,66,206.07528675438118
224,160,137,457.4503950928984
225,409,361,1169.8801107517615
226,340,293,765.9016208076682
227,685,661,1994.6912537733963
228,347,310,1004.4563763453677
229,1979,1761,5727.014832978332
230,824,771,2390.6819422720555
231,471,464,1110.417236389155
232,203,196,625.0145300150949
233,113,113,224.8982090869709
234,870,696,2306.5218750238187
235,1246,1179,3740.915579760873
236,1332,1248,3480.3103730312428
237,1021,890,3122.082560288609
238,30,14,86.0140594041612
239,19,19,1e-08
240,1111,981,3070.890883112489
241,204,201,626.8151766884927
242,19,19,1e-08
243,822,728,2326.9930637369553
244,414,372,1140.5097726155639
245,253,239,792.093609366147
246,542,513,1635.0333733809707
247,667,610,1739.8095442829228
248,18,18,1e-08
249,340,312,888.1701560708506
250,816,762,2105.695425316645
251,405,355,1158.647660820112
252,204,200,664.7714122536447
253,193,193,414.34174878758927
254,571,511,1593.4675677840112
255,798,710,1966.7016551494505
256,196,196,321.30580608852455
257,2378,2281,6628.6996955136165
258,617,590,1598.6950756506048
259,803,744,2252.4807405207653
260,316,277,800.1040277405439
261,304,256,816.8030476392574
262,763,749,1867.337689436526
263,19,19,1e-08
264,226,210,635.7417888435019
265,19,19,1e-08
266,53,53,1.969856612053074e-08
267,886,869,2792.2094607241866
268,1396,1332,4063.20821398913
269,19,19,1e-08
270,162,162,412.17552119149116
271,806,721,2263.445742320298
272,302,272,934.8136745792311
273,302,283,927.4665101285622
274,302,262,955.6918334312422
275,882,841,2366.9265519896308
276,1823,1809,5640.8278321625485
277,465,447,1424.6863294519262
278,1738,1720,4723.2060723233935
279,1348,1338,3520.5399047122182
280,812,810,2315.1569151960375
281,283,283,685.6924203877769
282,573,572,1618.4434338201077
283,203,203,416.77513524034094
284,304,301,950.442094669344
285,143,143,321.3790476195505
286,268,267,811.2820708375322
287,269,268,797.8641794857826
288,700,699,2051.3657958725653
289,720,720,1758.4530733461984
290,304,304,833.7605086764419
291,527,526,1209.2617304992468
292,594,594,1438.7986067881207
293,114,114,1.2705580646373653e-06
294,509,504,1558.1667999763965
295,126,126,114.5710459197992
296,885,885,2222.3864791490623
297,724,719,1792.5924108000731
298,276,276,570.4085890874328
299,112,112,6.5479592905180345e-06
300,814,811,2251.990975774118
301,798,797,1903.4059825989775
302,304,301,966.2161935595601
303,1600,1586,4649.947865245063
304,723,716,2167.511204945805
305,517,517,1557.8343475982022
306,270,269,800.8870554267663
307,2939,2924,7583.8953808283495
308,38,38,0.00024097873963592484
309,419,419,1055.0387403188006
310,758,756,1913.6644732456336
311,922,919,2214.936960339098
312,564,552,1463.4579269347455
313,1057,1056,2055.195126748463
314,19,19,1e-08
315,204,203,592.5246015768124
316,1200,1200,2551.6559532748256
317,873,863,2275.257049766753
318,363,363,935.2912607530615
319,1790,1765,5237.184668864426
320,70,70,1.0001515317193361e-08
321,300,300,793.0372812894954
322,317,317,642.0356830479188
323,1020,1016,2960.8269828975226
324,124,123,242.47508163056744
325,495,493,1360.3523839811983
326,161,161,389.36001789020696
327,250,248,772.171571279136
328,303,303,755.1162517219042
329,52,52,1.0599448796827619e-08
330,556,556,1617.1226150364346
331,354,353,939.3783050875619
332,2333,2330,6646.461272810123
333,1328,1321,3868.723487347312
334,1931,1926,5351.597752673309
335,141,141,244.56615228156835
336,1127,1120,3528.0821504265687
337,564,563,1514.4813853624817
338,226,226,476.63685678313027
339,179,179,328.38326376174217
340,1055,1052,3098.2711933729224
341,371,371,615.8517150967816
342,132,132,171.72307653226392
343,113,113,5.811734914373698e-06
344,806,805,2311.98506366477
345,223,223,414.67949097201284
346,321,319,820.5435852110546
347,312,312,259.88088476411286
348,1014,1005,2983.7368303788403
349,1110,1108,2837.2780404172804
350,687,687,1845.529693441924
351,1645,1601,4540.7984325403495
352,365,365,1057.5374798250934
353,1093,1087,2984.934229525197
354,114,114,218.4452705696569
355,300,285,895.7695660928778
356,112,112,21.41982282423374
357,227,227,561.8272817135561
358,691,675,1921.8303076412217
359,301,299,808.9054800841628
360,1373,1372,3549.1091020211575
361,309,307,1010.4782167872014
362,249,248,792.8970199232717
363,19,19,1e-08
364,53,53,1.0000000924553274e-08
365,287,282,835.1474134696242
366,1632,1625,4656.709788342334
367,19,19,1e-08
368,152,152,254.57706699917694
369,1637,1636,5170.03592140041
370,192,192,336.4977038718019
371,814,792,2212.2150604601866
372,356,351,912.181958282857
373,53,53,1.0433592486283144e-08
374,584,584,1630.9427513587927
375,19,19,1e-08
376,1000,1000,2994.60161296153
377,227,227,536.5725262946423
378,33,33,50.60298789497423
379,179,179,576.8791644738693
380,301,293,967.5944508727498
381,555,538,1742.3310750038102
382,113,113,246.61957657759697
383,113,113,269.8252808514211
384,300,295,931.8272056559512
385,283,283,748.0089766486386
386,1336,1322,3953.03193175584
387,113,113,83.28023188246907
388,474,467,1442.852741418168
389,512,511,1554.5338963462468
390,416,415,877.2370704339014
391,235,235,342.28588051756503
392,280,279,706.0825627323751
393,1274,1260,3620.702862796106
394,52,52,4.235087198909585e-05
395,299,289,986.1037057289774
396,256,254,675.9996874049523
397,406,406,1214.8426200428792
398,54,54,8.21747427579264e-08
399,515,508,1482.254972029466
400,507,500,1085.242104096681
401,19,19,1.0000000033736323e-08
402,250,199,480.735279011118
403,576,564,1595.2366295971553
404,582,539,1566.1328541240655
405,99,97,285.26784470933666
406,113,100,378.69279116940703
407,584,554,1703.9258906371126
408,827,762,2281.9900157065404
409,867,826,1838.0242939287223
410,1443,1406,3675.2217015373685
411,450,449,1263.0217774774915
412,679,675,1691.6509438989087
413,18,18,1e-08
414,552,533,1696.259565357051
415,206,196,624.2477867016217
416,111,111,95.65095551988698
417,203,196,663.2572631874432
418,70,70,2.1733253870941076e-07
419,268,262,747.386996854157
420,355,343,959.9712254571925
421,498,498,1152.7925691718726
422,405,403,972.6594270908002
423,167,167,184.49038776296373
424,512,494,1578.2036468835427
425,1234,1188,3713.232053491458
426,339,339,777.4786070577666
427,849,843,2649.189020369112
428,803,796,2017.1073871514598
429,760,758,2273.951764667625
430,19,19,1e-08
431,18,18,1e-08
432,171,171,64.56595659797772
433,303,280,859.7726922626314
434,567,563,1314.1725715696593
435,249,213,803.673078735706
436,2645,2612,7733.151425230902
437,472,466,1430.3895024044436
438,875,857,2417.5741009269304
439,245,245,614.4060503786636
440,1230,1228,3185.0109117459638
441,677,676,1405.2764578338936
442,117,113,309.2767920956651
443,300,284,895.5572151856269
444,234,234,393.088880975327
445,1148,1089,3430.562669594014
446,193,193,302.0131476798789
447,302,302,847.4686588416408
448,643,623,1465.1912059936785
449,754,712,2224.4019733988534
450,111,111,56.443780311103886
451,206,196,617.2522850840074
452,455,424,1449.7207904931827
453,334,334,817.0129258749445
454,559,530,1476.7364860859584
455,220,220,629.9701955815411
456,141,141,410.6589746672955
457,762,747,2165.285686583019
458,715,694,2005.2925206532357
459,454,409,1180.3656117206267
460,305,292,964.0698665318921
461,769,744,2162.723368194617
462,112,112,72.51529266945214
463,419,419,1098.9631814332213
464,602,601,1064.6830407840766
465,262,262,710.3301021257581
466,839,800,2591.873498891293
467,20,20,1e-08
468,3555,3525,9325.970279310517
469,1620,1585,4565.886942612608
470,508,507,1618.852924498899
471,640,619,1792.4684928248228
472,612,601,1605.338303448482
473,447,446,1335.9843221839428
474,429,429,1192.901433565421
475,521,521,1500.0722282049892
476,113,113,137.9748964460917
477,304,283,959.5638758855408
478,392,392,917.9812451004292
479,257,257,578.7458680348274
480,701,701,2232.7618828636837
481,194,194,269.4678961137372
482,607,600,1866.8119142819608
483,736,736,2070.7910207760533
484,2997,2996,8471.029674405345
485,481,481,753.939139460999
486,354,346,901.1249556222094
487,52,52,1.0000050879667091e-08
488,965,965,3012.8461835920134
489,432,432,758.7895537858145
490,390,390,792.6999592136946
491,1834,1827,4670.711994873972
492,658,658,1147.9272239589395
493,19,19,1e-08
494,988,988,2702.8510878643287
495,2023,2023,5464.99393958369
496,251,251,631.9862030681077
497,19,19,1e-08
498,274,274,231.39761984140145
499,633,633,1283.1509340130092
500,1262,1262,2986.791493736752
501,609,602,1759.4668560045384
502,51,51,1.0008995784374541e-08
503,334,334,411.7528250878554
504,204,204,271.35787450617966
505,257,257,522.6598558940548
506,776,776,2085.5326947128597
507,302,301,872.9414800243469
508,279,279,464.1944914615301
509,1061,1060,3006.085875477023
510,576,575,1178.5003765592057
511,301,301,698.5210902984728
512,303,302,961.7709228076641
513,839,829,2438.1294581264106
514,1085,1085,2662.678283581473
515,575,575,1264.1743756686926
516,104,104,1.0000000520673077e-08
517,2061,2060,6302.809332695273
518,1152,1151,3380.143556811107
519,651,651,1508.203313449134
520,807,805,2360.3042795408783
521,606,605,1859.27828118972
522,130,130,6.903156225120569e-05
523,664,664,1698.3922176520991
524,146,146,53.52102775382211
525,231,231,9.348040786182364e-05
526,1627,1625,4176.585656488298
527,227,227,0.0001480095815115074
528,299,299,935.3979310796831
529,20,20,1e-08
530,18,18,1e-08
531,1224,1224,2807.398261158998
532,19,19,1e-08
533,713,713,1917.754190593296
534,626,603,1958.9743269890785
535,390,390,805.8959524403789
536,1988,1988,5674.587345529927
537,457,456,1265.8912991965658
538,249,246,751.4202209968549
539,70,70,1.00009680793059e-08
540,1570,1570,3568.316293915364
541,272,269,882.1233717275767
542,562,560,1346.2017439693204
543,2186,2160,5448.187288291525
544,569,568,1788.2202909423586
545,1200,1200,2522.3233685440464
546,757,757,1891.262074951617
547,405,405,1201.464008774381
548,305,256,953.440963870431
549,51,51,1.000207210472329e-08
550,1315,1296,3489.44586660146
551,508,488,1330.3976926561124
552,250,250,824.0298190013639
553,112,112,0.00013907625251092967
554,603,603,1569.4360213665507
555,142,142,226.103144258399
556,985,984,2730.735941684062
557,50,50,0.00016041499780043144
558,712,712,1843.0033418560793
559,621,621,1425.935325724981
560,1192,1156,3333.507316593884
561,1568,1566,4332.834562908627
562,1216,1216,3503.1476710921584
563,391,388,980.410539433855
564,255,255,471.73733590826845
565,410,410,1081.0964636366755
566,1900,1894,4588.047280221952
567,165,165,190.21493688911553
568,104,104,1.0027509891680821e-08
569,350,350,974.034554422556
570,1116,1101,2854.2547424312384
571,443,441,1388.3625771191141
572,2462,2415,6518.086883225823
573,19,19,1e-08
574,132,132,46.05197111052177
575,206,206,635.9041399538908
576,165,165,0.00018089623280029746
577,561,551,1398.7232103592107
578,527,526,1420.6785349508368
579,70,70,1.0000490195919615e-08
580,2298,2253,6255.437848269018
581,1650,1581,4883.984333939335
582,141,141,84.86777666342756
583,1326,1296,3991.731975113555
584,693,676,1964.9605957382178
585,686,649,1587.748930813891
586,1606,1504,4332.215353601709
587,1024,1007,2355.9859717067557
588,1070,984,2635.1153690614155
589,163,162,459.77174710871327
590,144,139,434.0067220931429
591,205,183,592.7468565253996
592,203,173,585.4050178606344
593,603,576,1698.4533423097541
594,113,113,181.5109968521879
595,957,950,2981.050923149389
596,19,19,1e-08
597,422,422,1077.713506096221
598,466,466,1273.897779407021
599,19,19,1e-08
600,645,645,1766.8791502125566
601,521,521,1392.3846364194067
602,51,51,1.00000004835668e-08
603,390,390,1102.375387423035
604,434,434,1093.0238690848932
605,70,70,6.70772247973214e-08
606,250,242,812.7716278854232
607,249,226,723.2461671782462
608,617,615,1658.4288175504405
609,254,254,548.9464187756689
610,527,510,1636.5758722168546
611,238,237,272.7705679248951
612,114,114,140.68984824587957
613,447,436,1279.8073244760308
614,334,334,575.6803849879363
615,2342,2304,6752.731404563085
616,247,166,811.0746693406209
617,207,190,597.9057751324175
618,835,824,2396.0399640372366
619,603,601,1730.4479241054537
620,953,936,2735.341966616021
621,303,300,939.5239922058186
622,113,111,226.18189908323703
623,863,825,2514.3478401695425
624,629,595,1922.398456812704
625,1001,980,3121.899065364294
626,103,103,3.529295380930426e-06
627,701,701,1908.99415967839
628,266,261,691.8858223698089
629,304,291,938.8082022104747
630,1348,1343,3572.18394971926
631,446,430,1462.30877889288
632,392,382,1131.3123386570162
633,1588,1573,4666.268783481109
634,2721,2688,7647.750687273475
635,501,468,1423.5647088336675
636,572,565,1375.7444338759026
637,571,566,1581.5942713432469
638,507,498,1396.572751575137
639,443,330,1181.4424620619507
640,255,255,561.600090928802
641,112,112,154.3897200520011
642,382,370,1181.142012935489
643,933,932,2412.853130504278
644,905,857,2603.8609077417373
645,1312,1253,3513.861299344748
646,1041,931,3301.1519575952348
647,38,38,1e-08
648,306,299,1023.8841982439011
649,181,181,214.56351037516737
650,399,394,1069.1804142485428
651,1078,1073,2877.2757490354184
652,268,262,754.392066266632
653,38,38,1.0000000000000015e-08
654,659,651,1934.9060070954145
655,646,608,2084.5870138251403
656,304,304,917.75602875119
657,472,449,1374.377438534333
658,719,715,1696.8124803952999
659,819,818,2004.2161617298834
660,432,429,962.0626468459014
661,142,142,279.6134281066104
662,1071,1064,2795.0273014214226
663,570,491,1452.1072993389537
664,143,143,231.8016802756351
665,1032,1031,2389.781919251338
666,636,629,1605.9072369187086
667,348,346,992.2232417092414
668,205,204,549.8620413555424
669,252,233,754.7436662739048
