episode,steps,actions,episode_reward
1,1727,1157,0.007798152542605466
2,349,221,0.001567182542027726
3,258,162,0.0009802749887014514
4,991,702,0.004160444985514599
5,2723,1947,0.0119730305348108
6,550,408,0.0021588511851515185
7,607,422,0.0024932461386297524
8,346,234,0.0016027361900262805
9,708,543,0.003279974425772339
10,1741,1399,0.008192404122357192
11,881,715,0.004317588124492557
12,759,633,0.0036818035901388818
13,1015,900,0.004140673129347933
14,1773,1485,0.008382880306051818
15,19,19,1e-08
16,1100,908,0.005395527154706052
17,141,134,0.0005636292805304421
18,1321,1134,0.00590125405382888
19,1485,1309,0.006767496141080117
20,276,254,0.0010162888304605785
21,204,188,0.000895576646712913
22,304,207,0.001352822781532058
23,722,578,0.0035620553707992977
24,644,563,0.0029554850623567702
25,498,449,0.0023616528564578032
26,142,137,0.0006267087985173096
27,161,152,0.0007097190078570084
28,348,312,0.0015590817120069644
29,140,133,0.0005942580474895494
30,446,345,0.002091809245639329
31,723,588,0.003151718762750105
32,1133,997,0.005812514557487025
33,456,413,0.0016321139754652705
34,786,660,0.0035041076389682986
35,1023,931,0.005154499723806385
36,245,188,0.001292381742561984
37,1180,1005,0.005743109780333747
38,412,387,0.0016898132421370499
39,349,329,0.0017337495381640367
40,302,209,0.0014834096372224714
41,1012,904,0.005245370926340885
42,5,2,2.6267311091054583e-05
43,664,642,0.0032581469987752703
44,304,273,0.0013461081161932576
45,165,165,0.00040800633433874103
46,367,341,0.0015966194672934156
47,1056,933,0.0048165167384533955
48,304,265,0.001539777198583698
49,970,797,0.0048425163283604454
50,142,136,0.0006530147422513917
51,619,552,0.0027445444710916256
52,553,488,0.002489195175289258
53,301,263,0.0015706092492610748
54,306,297,0.0011600766326044217
55,204,188,0.0010140140927736145
56,390,385,0.0016808115555841437
57,323,299,0.001576572640456218
58,1710,1375,0.0084654756637068
59,767,686,0.0034441127241805042
60,482,460,0.002250406328140974
61,112,111,0.0002758237940233873
62,165,161,0.00030990961759128343
63,91,87,0.0002951100469437853
64,299,288,0.001317370225962783
65,1023,958,0.005271548868805018
66,19,19,1e-08
67,394,371,0.001984856227723134
68,780,670,0.003915057673353825
69,283,275,0.0013503782034665851
70,915,889,0.004769892634492338
71,112,109,0.0004054719505559317
72,371,365,0.0013661752407127705
73,1048,1006,0.004859491311786489
74,361,347,0.001696533564477857
75,775,643,0.004049958322687799
76,1446,1427,0.0066006905667683425
77,2166,2122,0.009620763960131421
78,8,8,1e-08
79,427,419,0.0017907178839293191
80,1610,1534,0.007735268398817511
81,51,51,1.0000000003828257e-08
82,1047,1027,0.005024860826624577
83,206,202,0.0008980867881777277
84,902,875,0.003496522362332847
85,1026,1010,0.003052180430710207
86,1246,1225,0.00585494026171238
87,1435,1415,0.006458365182276943
88,1728,1702,0.007707738040262248
89,322,311,0.001558480613927644
90,345,334,0.0016732725654655424
91,614,575,0.0026637553784036876
92,1657,1592,0.008380995588873369
93,249,246,0.0011941528485833258
94,1785,1749,0.00873123393008295
95,560,548,0.0027658482427521756
96,1329,1314,0.0061337478730423495
97,257,257,0.0004616494257991039
98,3204,3178,0.014665502774302721
99,205,199,0.0010000125461770502
100,317,315,0.0010000782615612307
101,249,246,0.0012182592861503178
102,781,764,0.0036939092147260386
103,802,792,0.003286213341815423
104,369,367,0.0012970934934230798
105,394,390,0.0014783002815652517
106,346,338,0.0015581604781188844
107,321,318,0.0011972603634867339
108,806,795,0.0038038553235783604
109,250,249,0.0012084787588348654
110,155,154,0.00028286529732579195
111,237,237,0.0003581417491790156
112,224,222,0.0008770471760826783
113,956,922,0.004608919195249298
114,321,311,0.0015819218341510657
115,19,19,1e-08
116,362,359,0.0014576548261732913
117,665,614,0.003157995224370876
118,789,758,0.0037709226635236036
119,251,239,0.001290897462994587
120,354,351,0.0014406478542493858
121,141,141,0.000501211388693025
122,401,397,0.001522023419804853
123,19,18,1e-08
124,266,260,0.0011049530146856911
125,100,98,0.0004644209187128621
126,2141,2066,0.009876952744363853
127,449,416,0.0020371390901256616
128,131,131,0.0003273415720933784
129,941,897,0.004766148992481281
130,131,131,8.61556123672127e-05
131,607,558,0.0028618362443335716
132,500,467,0.002568794660895493
133,407,401,0.0017730160390741403
134,686,679,0.002919633101350206
135,116,115,0.0002497532577060057
136,1036,1022,0.00508015215754072
137,778,766,0.0032176738340623004
138,723,714,0.003494381487035345
139,509,492,0.0026651832810187922
140,19,19,1e-08
141,114,113,0.00025066931718918125
142,133,133,0.00025391187165115507
143,477,466,0.0023674889990270937
144,2,2,1.1679916040468703e-05
145,598,534,0.0028895578726288
146,19,19,1e-08
147,293,291,0.000957152009021294
148,505,483,0.002552464973431422
149,274,273,0.0011224081596282894
150,623,604,0.0030470973632689335
151,366,361,0.0013520237029907975
152,300,282,0.0013359898456483975
153,204,197,0.0009975068169243736
154,205,201,0.000934482089600365
155,318,312,0.0013249053352741178
156,20,20,1e-08
157,51,51,1.000002447624368e-08
158,19,19,1e-08
159,1152,1104,0.005304120829291468
160,2677,2489,0.013232119105720948
161,860,777,0.004346854212292168
162,368,368,0.0014265644228023463
163,466,443,0.0018350492497957104
164,660,640,0.0028185439503411024
165,22,22,1.000000598816912e-08
166,36,36,1.0000000000037172e-08
167,244,239,0.0010622749488947245
168,1497,1427,0.0068432227921946765
169,1959,1890,0.009161839212068578
170,316,306,0.0012920764629581573
171,113,113,0.00036127401660165465
172,2201,2066,0.011487314563811498
173,445,417,0.0020109570532334535
174,930,855,0.0042118583517417405
175,2259,2190,0.010542559455070138
176,188,188,0.0004997795656944765
177,659,615,0.0031379114138003835
178,739,738,0.003321237611144797
179,727,721,0.003430596263934347
180,553,462,0.002724797385474251
181,797,744,0.004010045758982661
182,1261,1161,0.006128253965423496
183,847,793,0.003966813730336489
184,131,128,0.0005459159207695823
185,473,459,0.00210350024399274
186,3301,2922,0.015443000978504
187,324,278,0.0016504823877814224
188,1076,998,0.00528391629832563
189,527,505,0.0023614620384271334
190,18,18,1e-08
191,660,633,0.0029333988619871846
192,1625,1494,0.008048408969388986
193,204,197,0.0009967769220793781
194,1827,1634,0.008724504067582609
195,1310,1246,0.0060961106836550875
196,477,445,0.0021036598471032377
197,2276,2152,0.010727917857222899
198,161,142,0.0007077833859660126
199,407,374,0.0019777206836781133
200,628,573,0.0028425004374612608
201,1716,1591,0.00860458814425512
202,307,262,0.0015663389864003436
203,478,430,0.0018891811849389474
204,112,112,0.00027837595021831346
205,619,553,0.0028498704253406963
206,320,319,0.0014841212845290426
207,786,773,0.003418425867688787
208,301,240,0.001491252795563854
209,566,529,0.0025039138029220994
210,142,139,0.0006720364242287068
211,348,345,0.0017429612645119327
212,142,142,0.0005946742415552265
213,353,299,0.0015509260076593456
214,513,510,0.0022567896140114514
215,19,19,1e-08
216,1048,938,0.004676199348622697
217,1034,816,0.005376803754046035
218,1935,1765,0.009308851427644104
219,251,209,0.0013298140864405898
220,288,240,0.0013457709931414812
221,1379,1287,0.006449329864671855
222,243,213,0.0010790516098899568
223,20,20,1e-08
224,304,227,0.0015429282272301534
225,19,19,1e-08
226,560,506,0.0025531003369304675
227,866,828,0.004084003641151551
228,763,707,0.003459193315631575
229,879,802,0.00338155582608192
230,1173,1122,0.006041928163062635
231,203,175,0.0010343976147598741
232,193,192,0.0006669551878339149
233,924,872,0.004139892687952684
234,544,455,0.0026817468013624777
235,874,847,0.0036699661922574185
236,624,566,0.0028979426864739638
237,1571,1544,0.006961083075364131
238,1150,1105,0.005575595802064615
239,663,651,0.003162464444732125
240,772,724,0.003653263216689179
241,2899,2768,0.014233072605642964
242,903,897,0.004641355441429555
243,164,149,0.0007662868023917167
244,2521,2446,0.011554904172770747
245,246,241,0.0012252468727311685
246,322,320,0.0012967517436768975
247,758,758,0.0037636317409959247
248,52,52,1.0000000000000004e-08
249,1365,1342,0.0067656664100853945
250,304,303,0.0015856735186529814
251,681,672,0.0031661525717455725
252,381,381,0.0017610109118925432
253,458,458,0.002191557742003783
254,141,141,0.00033967285119899785
255,734,733,0.0026637434235595035
256,733,733,0.002963562659639307
257,394,394,0.0017565940099363547
258,318,317,0.001128098856711239
259,300,299,0.0015124536897560767
260,128,128,0.00015902449801003232
261,147,147,8.615021875550321e-05
262,114,114,1.5307446010259017e-08
263,626,619,0.003188950351820305
264,613,609,0.002766655724919582
