episode,steps,actions,episode_reward
1,19,19,1e-08
2,224,148,0.005790789674595349
3,285,172,0.008194736428544552
4,180,127,0.004167998570694535
5,19,16,1e-08
6,1620,998,0.04671390390607904
7,1117,716,0.03294045234440481
8,52,50,0.0010477700414333402
9,1178,709,0.017648526736598558
10,419,264,0.011306682639867746
11,113,74,0.002977653197415369
12,19,19,1e-08
13,204,127,0.005547490409595596
14,113,70,0.0029280890141016886
15,2470,1588,0.06618809303291762
16,249,157,0.0066186043285824244
17,19,18,1e-08
18,461,287,0.012773814769372033
19,154,125,0.0043403013029262244
20,1024,697,0.029783147311894215
21,61,41,0.0019503248837061898
22,243,168,0.005123993721649014
23,1141,780,0.03183009793399789
24,1335,920,0.03796514020776757
25,249,164,0.007280998366181644
26,390,252,0.010046901789932106
27,1449,910,0.03917693924822187
28,2402,1547,0.06490735643720938
29,70,66,0.0011243704791152516
30,825,637,0.026955285672398847
31,527,435,0.0182923049521114
32,103,94,0.002755013368178453
33,962,805,0.032414311081472316
34,304,238,0.01066379664944265
35,357,287,0.012656563849053035
36,248,192,0.008891098420670498
37,143,121,0.004828107406251672
38,399,352,0.013302321825384943
39,368,308,0.012380646072670195
40,113,102,0.0035935346322076727
41,316,254,0.007344751122029596
42,304,219,0.010698778590549563
43,52,48,0.0007265431450439915
44,879,687,0.030521630306014104
45,205,136,0.0064133867324536855
46,302,202,0.009736818517977003
47,165,149,0.005410047016888359
48,268,190,0.008020841041528391
49,881,647,0.029407238358128
50,1576,1096,0.052404910032190694
51,1058,710,0.033970798136867424
52,537,322,0.016993151758721882
53,165,114,0.0052588426527020015
54,596,376,0.0194756117193038
55,562,405,0.018640451280487344
56,506,299,0.01668346778621323
57,626,398,0.019370721807035522
58,162,118,0.004801113981271545
59,134,115,0.0040539987065615
60,698,464,0.02253510383544869
61,251,150,0.008254054254185154
62,697,471,0.021808687735368752
63,303,179,0.010086412433645808
64,304,172,0.010501428969882052
65,205,120,0.006447058467805012
66,301,173,0.009489094705676621
67,393,284,0.013797736855556447
68,206,174,0.007134706210932615
69,738,484,0.022974521398379973
70,759,481,0.025889469091839836
71,511,361,0.017991349536242426
72,1481,983,0.04822223286775758
73,143,126,0.004688884635921311
74,204,164,0.006985441996003623
75,304,174,0.011026189408134629
76,1580,1036,0.05160731651920111
77,158,105,0.005200773898111193
78,204,174,0.00687958922343825
79,609,416,0.01928098565714435
80,53,49,1.0000216789213113e-08
81,540,401,0.01769656991458105
82,1051,763,0.03591302568427293
83,575,420,0.017832684535860864
84,866,621,0.030244479253097444
85,195,167,0.0057397591926539185
86,19,19,1e-08
87,358,334,0.011787174575518328
88,1097,913,0.03702551368194755
89,70,66,0.00037225320945197835
90,114,103,0.0034825439182037577
91,714,501,0.023867735423182056
92,410,344,0.014736992613418353
93,1534,1109,0.05026040373390937
94,54,53,0.0003454364897383852
95,1379,1000,0.037481571303878275
96,2403,1810,0.08067922220984976
97,958,656,0.033179319518968485
98,253,144,0.007718731774755898
99,52,50,0.0005737533587126001
100,1880,1429,0.060514644545764516
101,2211,1560,0.0714117250660435
102,305,219,0.010471468088470767
103,113,94,0.003750227751453995
104,194,175,0.005211781023612448
105,250,164,0.008990185719096029
106,417,299,0.014125087453614566
107,605,439,0.018296876509700653
108,207,163,0.006622387244848588
109,152,89,0.0047086685239009
110,813,680,0.021973866728503127
111,368,309,0.012033069382387974
112,1266,1069,0.039879070558448575
113,387,208,0.01286381867050209
114,373,214,0.010569951621281925
115,800,581,0.026718475527970287
116,643,484,0.018987094444491263
117,405,252,0.011476386907599568
118,605,443,0.019970176722261437
119,850,663,0.023487833891532108
120,165,151,0.003967410885229159
121,347,277,0.011612449467182689
122,20,20,1e-08
123,19,19,1e-08
124,164,157,0.00446070274762224
125,582,501,0.02023747332492474
126,1017,645,0.03493727039389641
127,114,104,0.003980180567871549
128,720,543,0.023077513705568792
129,307,157,0.010918085384355247
130,35,31,0.00019233968787711234
131,38,32,1.0000038488833668e-08
132,937,749,0.032866673251815665
133,682,463,0.023468656139071557
134,142,82,0.004820171610604266
135,618,501,0.02111955062026973
136,1826,1263,0.05925217509790652
137,973,835,0.03145877118687143
138,1375,1037,0.04370778138124594
139,948,632,0.021469333567026436
140,143,113,0.004711493014426533
141,1389,1042,0.04606992039595337
142,929,658,0.03004478101346278
143,78,71,0.0017497961881798626
144,283,263,0.010118263607839184
145,142,126,0.0048280564839977185
146,657,448,0.02291105799620995
147,453,312,0.01520340554783215
148,408,373,0.014671519713013484
149,256,203,0.008442562648447343
150,987,622,0.030853037058949866
151,134,126,0.0034045247652000382
152,161,136,0.004602451616801275
153,357,299,0.011054267316992921
154,3467,2583,0.11251808713302358
155,119,92,0.0035934734069987553
156,669,496,0.02355578246691914
157,164,150,0.004608825942179768
158,918,414,0.03265291096232884
159,747,405,0.02733369024459948
160,199,103,0.005899466538203406
161,415,323,0.013379021624363505
162,205,154,0.006694636089411057
163,490,327,0.017817177432670202
164,536,451,0.019055486779522787
165,824,602,0.023334240429685443
166,940,740,0.03099009922219857
167,1207,943,0.041752068949280616
168,1227,887,0.04164845029956253
169,528,469,0.014830145614499034
170,405,282,0.012948389882874198
171,360,327,0.01084939437177676
172,904,546,0.03171840480833703
173,209,172,0.007637870272788238
174,762,418,0.027513545309683866
175,164,87,0.003874512189514633
176,357,219,0.011192245734862055
177,268,153,0.008419300845369244
178,140,95,0.004864095821358824
179,402,339,0.0141355229936831
180,360,328,0.008294504645824322
181,775,667,0.02449493020486496
182,19,14,1e-08
183,1317,1045,0.04376429012656623
184,1274,977,0.040339554788907196
185,354,228,0.011587152891340944
186,1697,1383,0.05211802446039547
187,114,102,0.00368649629352274
188,251,168,0.008344176072342089
189,926,692,0.031170214533648846
190,269,234,0.0075712182224306635
191,249,194,0.008177647294177678
192,1853,1462,0.06115394125985518
193,528,433,0.01630607758395864
194,194,183,0.004756714855800066
195,258,237,0.00895397426979477
196,257,202,0.008047876102295851
197,19,19,1e-08
198,145,118,0.005284129882883611
199,682,620,0.018455677106313503
200,355,258,0.010662995986377129
201,214,173,0.006262708004822565
202,667,337,0.0238907546580379
203,196,152,0.0053856352012379895
204,1648,1078,0.05682381343393053
205,164,133,0.005565560569204272
206,499,344,0.01611130714052618
207,141,117,0.004474673190416806
208,3077,2048,0.10493549127254934
209,417,330,0.014063512044887434
210,539,389,0.015842969941664613
211,101,62,0.0036992998977311673
212,569,473,0.01717629954157665
213,204,178,0.006567036015686137
214,114,81,0.0038503735634902
215,142,78,0.004682012278361658
216,205,179,0.007406437716944703
217,225,177,0.006592771867794124
218,300,253,0.01121613918793083
219,19,1,1e-08
220,857,604,0.029783013322237654
221,37,1,1e-08
222,1580,1276,0.05128272684006136
223,206,185,0.006841357110874171
224,356,242,0.01177641592555031
225,765,664,0.025457573071139744
226,936,830,0.028875639582547914
227,348,305,0.011153638636181452
228,699,615,0.0199980825351438
229,586,413,0.01747500583450313
230,114,99,0.003714218850535771
231,408,357,0.014939571287278687
232,463,346,0.01626972499328972
233,766,597,0.024467905483728875
234,65,25,0.0017398583541444134
235,251,225,0.00905851442312002
236,267,36,0.009039604801929587
237,523,454,0.017953245981532896
238,143,105,0.004598480933853094
239,167,97,0.003655377334960119
240,622,480,0.020649850055152536
241,163,67,0.003607151680322801
242,818,508,0.02623876968723215
243,104,72,0.0013730131998839674
