episode,steps,actions,episode_reward
1,548,339,427.79351498925985
2,19,19,1e-08
3,144,101,162.22206646439886
4,19,19,1e-08
5,1384,854,991.8231400876471
6,248,141,259.32014872330933
7,314,186,288.3910316230786
8,792,490,727.5814763661566
9,1780,1059,595.4334398316583
10,1298,863,1189.8377718598888
11,52,46,44.15991186647872
12,2480,1615,1903.6506195877419
13,663,437,675.3306405639715
14,259,158,288.197166943295
15,244,179,172.73645026227254
16,355,243,397.29447613435906
17,991,648,919.4294454384992
18,114,103,210.82803121179788
19,53,53,59.083532992617094
20,349,238,373.8037479702148
21,407,275,383.0362074302822
22,454,273,337.46953772445926
23,391,238,300.80773877478265
24,554,347,485.46503265546716
25,393,281,287.8568797291916
26,142,95,159.30479455682317
27,349,223,338.3748748559712
28,19,18,1e-08
29,250,163,282.7038256593431
30,250,158,201.64331882912484
31,1722,1166,1651.934950435653
32,52,51,51.160040657971145
33,113,104,223.5165824071186
34,946,745,1275.9181120066594
35,476,378,856.7068623853778
36,103,96,117.59302522288462
37,573,431,969.5682703783209
38,700,559,1084.9410331652127
39,154,111,309.8546199732163
40,598,487,1082.0593583737661
41,194,162,295.0132054107258
42,206,152,403.25075606376214
43,476,382,847.2070924582547
44,625,510,827.7647733674091
45,357,302,609.0462787504058
46,455,346,738.4761115100555
47,112,95,200.9243387472151
48,621,482,1070.4742231875844
49,480,376,598.1086345407707
50,305,219,498.43730644138185
51,416,296,692.21447638845
52,853,558,1463.3979197153053
53,976,692,1570.4403536170844
54,302,162,620.5569681905407
55,643,449,1005.2068721078891
56,391,281,707.4195749571425
57,417,269,593.4707717163799
58,616,467,1121.4526865944038
59,803,529,1436.4801036876127
60,49,37,55.9761249043211
61,374,281,517.2102701186017
62,1936,1362,2941.0498111501925
63,210,156,346.48383475570137
64,610,415,1104.0445737581972
65,206,131,302.14430482852794
66,304,174,439.3150332947843
67,392,268,631.4179238218305
68,200,161,364.00183366755954
69,1802,1250,2693.1999945932516
70,205,172,392.6572734645581
71,1045,754,1640.080296481682
72,577,392,947.3577750247658
73,830,619,1253.9928525536864
74,813,525,1518.4630054591485
75,447,348,793.5150290089053
76,160,132,304.0827077780457
77,808,663,1356.8280697308057
78,899,654,1260.2232454100742
79,252,193,361.71621484515646
80,359,256,460.6018603083683
81,1325,1038,2114.8749256417777
82,144,132,249.64674461900702
83,259,224,437.30634781571575
84,52,51,9.12006208254896
85,19,19,1e-08
86,1503,1204,2180.614293559442
87,19,18,1e-08
88,111,94,196.79099085407347
89,1131,837,1606.6453674010074
90,1007,787,1619.3818257534554
91,527,366,839.2503123406046
92,54,50,34.871559581121915
93,72,70,71.05156954841716
94,926,674,1588.067833180133
95,319,241,547.448868995323
96,54,43,89.30135647693037
97,442,247,705.5650260343509
98,1304,857,1977.6621636860887
99,670,443,960.0380723582609
100,1193,871,1853.946592802802
101,51,50,39.00082777128861
102,385,328,610.0949963634049
103,115,101,178.80754063634294
104,587,320,820.8233218952802
105,204,134,269.50383727298424
106,2369,1527,3852.8080125158385
107,744,520,1167.8945909505535
108,167,128,275.2488567675171
109,1421,1115,2183.134353482561
110,348,235,606.1587948257579
111,101,85,139.65596792390457
112,19,18,1e-08
113,416,334,704.645252894602
114,1082,912,1599.614385904827
115,273,182,419.8171525975148
116,308,244,500.5001435075695
117,1017,724,1635.3459018999404
118,1445,1020,2107.5139897924137
119,1855,1418,2543.8362334215067
120,508,469,844.5758171734421
121,19,19,1e-08
122,769,603,1274.4186736033653
123,302,224,510.5122521474906
124,306,234,470.2887096545919
125,114,85,205.61635823273025
126,52,46,25.12231270496696
127,253,234,431.4163514727199
128,113,88,176.35086309537
129,1048,822,1563.3564062643036
130,38,37,5.1680999956035346e-05
131,774,520,1473.9216816628063
132,143,90,217.63934199225224
133,698,479,944.9167028837145
134,650,522,1150.7647040174284
135,114,104,182.93453175236485
136,1225,933,1939.831628442559
137,354,261,550.2319595209685
138,467,332,816.5389635088268
139,257,229,389.1980388411971
140,939,694,1486.3949897741797
141,52,52,64.1021644118919
142,455,385,737.5293988697955
143,1059,796,1406.0310497327023
144,295,223,577.0496961583699
145,160,116,255.82365720545317
146,921,638,1551.5726915476193
147,1399,1145,2362.5091785998034
148,58,43,89.76883091034149
149,304,246,553.1471180022846
150,142,128,210.23145967280533
151,1780,1356,3206.592404894765
152,983,701,1294.8881176832513
153,1004,608,1254.4718909303447
154,412,320,647.8518239657475
155,385,277,642.8768294161367
156,909,561,1442.8483286985502
157,135,118,225.26723967985725
158,271,204,312.32814790347635
159,250,229,394.1693613321397
160,163,141,258.66935870459866
161,593,424,878.3477910954311
162,113,106,201.35284456454454
163,668,395,986.6721981093262
164,145,104,231.13691305395724
165,449,376,681.333153879975
166,993,766,1556.8743892514246
167,243,145,384.81603348975375
168,198,127,297.94748085923595
169,418,344,795.5544214301959
170,552,213,881.4699086332457
171,1041,789,1777.382250096807
172,374,235,330.21098171427883
173,70,66,54.40728596619103
174,19,19,1e-08
175,113,83,162.2774750811754
176,979,801,1740.809179476268
177,254,179,485.7289880896735
178,1106,781,1851.8050541823789
179,204,167,364.8072811205082
180,468,340,588.2531144683255
181,250,190,436.28218434303454
182,203,153,377.1390776636738
183,319,256,419.897079836967
184,183,155,272.5948719755646
185,224,157,404.94529917287804
186,105,91,125.1078887863885
187,256,201,361.27061938227035
188,645,462,1068.6294491743627
