episode,steps,actions,episode_reward
1,51,36,5.7963735831180984e-08
2,356,213,4.6748421744549857e-07
3,24,19,1e-08
4,308,214,4.122360167147604e-07
5,1539,911,2.042039996232546e-06
6,207,119,2.82044161502709e-07
7,591,349,7.378853893964413e-07
8,163,104,2.283652964713687e-07
9,305,170,4.1438077188691483e-07
10,893,532,1.2051133161121388e-06
11,1149,750,1.5491949220462981e-06
12,205,115,3.044703881736226e-07
13,1018,606,1.3766114528405528e-06
14,300,170,3.9792533550122045e-07
15,399,218,5.362540102298664e-07
16,2492,1569,3.3380552517434335e-06
17,725,480,9.522510293105015e-07
18,202,114,3.0487285125840436e-07
19,52,39,6.196017748641494e-08
20,218,149,2.6979562917484117e-07
21,257,166,3.6871695551290016e-07
22,949,585,1.3751325827582821e-06
23,250,158,3.675752180397047e-07
24,143,81,2.1293273157354197e-07
25,19,13,1e-08
26,19,17,1e-08
27,1362,917,1.904486616339817e-06
28,860,595,1.1315414852823933e-06
29,243,171,2.7558142086238425e-07
30,1023,735,1.3643791572996107e-06
31,1724,1230,2.2809779156464525e-06
32,811,585,1.0639931424036288e-06
33,719,551,9.671005486196833e-07
34,424,330,5.250695184011228e-07
35,416,307,5.485609252334623e-07
36,457,332,5.658952430804388e-07
37,393,290,5.317722477678659e-07
38,250,172,3.333650469394133e-07
39,507,363,6.048170428211021e-07
40,305,225,3.702691248481915e-07
41,163,131,1.9596539031338954e-07
42,45,42,1.0000000001905275e-08
43,1326,994,1.6363325181948001e-06
44,741,567,1.0415268809875549e-06
45,1037,753,1.3364536348634315e-06
46,367,266,5.032831832717802e-07
47,206,140,2.962614701170926e-07
48,309,227,3.6720349385631216e-07
49,404,330,4.581292878130015e-07
50,2382,1798,2.9523381685203066e-06
51,692,536,9.215043060760628e-07
52,230,165,2.970307533414256e-07
53,752,535,9.63777133905404e-07
54,1318,923,1.8660732650338658e-06
55,245,137,3.667873237754297e-07
56,131,83,1.842495547445818e-07
57,604,429,7.418813736543806e-07
58,204,114,2.8264937911395487e-07
59,857,596,1.0990281827193092e-06
60,228,164,3.2521322043585395e-07
61,20,16,1e-08
62,38,35,1.0000000081179247e-08
63,504,316,6.445743454269293e-07
64,558,355,6.750401885319247e-07
65,52,33,7.891875441307706e-08
66,158,57,2.569573561974549e-07
67,487,315,6.567973261137782e-07
68,695,404,9.514715077330504e-07
69,1355,835,1.8051156933514216e-06
70,358,276,4.1938676730237517e-07
71,395,262,5.106044589379971e-07
72,208,123,2.796976226840837e-07
73,114,49,1.8623219216230136e-07
74,489,331,6.31593293054351e-07
75,7,6,1.919047208833894e-08
76,913,615,1.209451911738748e-06
77,500,338,6.416648529468102e-07
78,19,16,1e-08
79,867,572,1.2174342112078378e-06
80,225,171,2.7451972416494437e-07
81,2109,1411,2.851431133924106e-06
82,2050,1275,2.839986676077618e-06
83,889,577,1.197472708188386e-06
84,2081,1494,2.6995729188396635e-06
85,19,18,1e-08
86,108,52,1.7775049067890783e-07
87,130,78,1.909580335614351e-07
88,52,48,5.686184165034582e-08
89,31,24,3.203195263186304e-08
90,460,288,6.634564705612681e-07
91,1107,776,1.5370820979628141e-06
92,253,151,3.6143162856418144e-07
93,2257,1633,2.9821843310822833e-06
94,1823,1376,2.4548116216552633e-06
95,1425,1028,2.1109400362882326e-06
96,337,259,4.818285506810639e-07
97,1043,776,1.3730953433958288e-06
98,304,213,3.8840912820989475e-07
99,693,489,9.693430614995688e-07
100,298,218,4.2662930543975375e-07
101,178,142,2.705476961179375e-07
102,527,443,7.831600273832848e-07
103,51,50,1.0000000000407842e-08
104,569,429,8.159144390140045e-07
105,1428,1187,2.01836864842217e-06
106,2015,1731,2.7940940456823447e-06
107,261,242,2.7655616161102493e-07
108,366,334,5.254643188627078e-07
109,962,810,1.352225945393584e-06
110,397,346,6.262028877276033e-07
111,507,451,6.779803128758155e-07
112,113,111,1.6677065205496133e-07
113,134,123,2.0235528245346404e-07
114,19,19,1e-08
115,132,97,1.8742265377809845e-07
116,325,279,3.7372591450818245e-07
117,267,257,3.589762167323257e-07
118,520,438,6.868339444236003e-07
119,72,71,1.0000000001666481e-08
120,813,731,1.108352551066263e-06
121,114,112,1.7547875158158508e-07
122,230,199,2.8130206387763543e-07
123,481,415,6.298564966591746e-07
124,346,309,4.990866005840519e-07
125,1821,1617,2.4403232164789002e-06
126,305,279,3.9801113900383537e-07
127,509,477,8.031753394520139e-07
128,981,936,1.449673423411401e-06
129,1615,1487,2.3476388348094635e-06
130,368,340,4.996011577275012e-07
131,192,191,2.107719407015775e-07
132,1466,1383,2.130203233535705e-06
133,1513,1438,2.2725610376884447e-06
134,403,346,5.875009215634242e-07
135,1269,1079,1.8337369421365282e-06
136,465,368,6.83403277494797e-07
137,338,307,4.880093349659329e-07
138,143,140,2.2391850555118926e-07
139,399,328,5.749580515503608e-07
140,377,312,5.248433620231975e-07
141,551,414,7.926961622031976e-07
142,19,19,1e-08
143,184,176,2.611632740573078e-07
144,356,316,5.032656764055145e-07
145,144,141,2.3203886615746792e-07
146,251,196,3.751900433446493e-07
147,205,188,3.1295162116194207e-07
148,1912,1621,2.690018387909926e-06
149,250,168,3.8292289362050987e-07
150,167,157,2.2138055860238273e-07
151,217,201,3.035206740203908e-07
152,405,362,5.043035101395741e-07
153,144,125,2.4684023426308256e-07
154,250,204,3.6964147611329476e-07
155,903,842,1.3081552137863124e-06
156,440,348,6.345014613633034e-07
157,19,19,1e-08
158,307,211,4.6635978464097044e-07
159,209,181,3.133802622893232e-07
160,53,53,1.005106933439551e-08
161,23,21,3.4752644153254954e-08
162,475,413,6.738302115594046e-07
163,698,615,1.0327769103647684e-06
164,556,466,7.383607753250365e-07
165,557,503,6.842888651013102e-07
166,1537,1348,2.278809745323603e-06
167,768,627,1.1407462102012885e-06
168,255,250,3.4655324823397413e-07
169,574,475,8.374072168714707e-07
170,253,166,3.6324833758686416e-07
171,303,244,4.019512079066798e-07
172,1398,1206,1.881717620323801e-06
173,1586,1345,2.170596315776284e-06
174,207,175,2.956082165607537e-07
175,454,410,5.170646527726727e-07
176,304,235,4.2150188936471574e-07
177,75,73,7.618691870606762e-08
178,427,366,6.110056820044908e-07
179,1948,1731,2.710635668554488e-06
180,2336,2049,3.3594198762344846e-06
181,355,331,3.654511812552874e-07
182,1792,1612,2.3397013362378295e-06
183,203,195,2.9631130915005207e-07
184,1676,1506,2.3677728795454456e-06
185,495,452,6.792965443482904e-07
186,682,584,1.019264438811189e-06
187,86,54,1.4303989624676104e-07
188,354,354,5.001915061583018e-07
189,271,236,3.768433139544286e-07
190,694,665,1.0312739925061827e-06
191,277,274,3.207312691377898e-07
192,193,193,2.554649082137751e-07
193,840,774,1.3030004192836006e-06
194,1113,931,1.5434880355191796e-06
195,559,499,6.691241076742322e-07
196,19,19,1e-08
197,52,52,4.1308494623958715e-08
198,765,650,1.0260878536619187e-06
199,538,453,6.802500155341629e-07
200,1217,1048,1.7171406701695652e-06
201,1985,1779,2.7264507287716467e-06
202,909,842,1.3233515528848844e-06
203,214,183,2.7218726827567587e-07
204,295,225,3.8634880170380286e-07
205,380,330,5.827113561196328e-07
206,696,597,8.910468875101533e-07
207,995,886,1.4206215996072298e-06
208,103,102,1.1262741752252196e-07
209,1451,1211,1.9255336180767393e-06
210,204,173,3.016264694730453e-07
211,143,125,2.1155368933801173e-07
212,52,52,3.111151031544034e-08
213,1048,843,1.4519231404185144e-06
214,143,124,2.2793616351145744e-07
