episode,steps,actions,episode_reward
1,462,357,897.1578008060483
2,1079,811,1678.3873121526885
3,444,352,841.9902567810162
4,300,231,581.2880038968829
5,19,17,1e-08
6,442,244,698.9903464667445
7,206,103,442.27109310229815
8,347,163,719.3811303886763
9,268,126,476.5286840121577
10,858,376,1775.987077714243
11,670,288,1081.0767942350708
12,501,216,870.8912822253897
13,271,98,486.4287895672213
14,185,60,204.91736445931798
15,1316,509,2411.809972040209
16,113,52,165.23761818657323
17,968,277,1858.8135195866626
18,1121,385,2129.1253231352484
19,430,143,515.7251860741804
20,731,141,1395.5311046005675
21,1552,270,2719.62845947521
22,668,128,1269.6908242779125
23,743,150,1025.0591654031098
24,1400,265,1719.5235378654936
25,514,96,769.0395078808892
26,249,61,614.8647357787854
27,20,13,1.0000000000000445e-08
28,19,9,1e-08
29,604,136,1004.2856085969017
30,2694,714,4425.744931076175
31,792,204,1472.4497195071597
32,14,5,3.0003081787943264
33,129,43,196.4641218109979
34,303,63,588.120202182365
35,133,52,160.79027135698507
36,1381,446,2491.8320642605877
37,164,60,203.458940575011
38,500,200,805.6657696944019
39,371,166,553.9349227023473
40,322,131,538.4386417535457
41,389,161,549.6617706626971
42,812,339,1378.289080368358
43,1615,604,2724.3044098574283
44,112,43,56.94743976749616
45,184,85,90.37836882650609
46,1632,645,3168.632232251749
47,445,179,837.4199528881435
48,52,23,1.5064242864402148e-08
49,204,60,440.6005350389197
50,370,133,631.7669482622056
51,882,374,1208.375744892654
52,247,128,453.0955150352042
53,579,252,1097.8298162345613
54,1479,656,2901.3271636533386
55,207,88,436.36563364920005
56,52,25,1.0000001017703757e-08
57,701,334,963.9108498437031
58,790,341,1704.1620127442484
59,246,79,375.87943233798944
60,398,146,909.245829869157
61,253,102,536.7262255621628
62,1005,622,1868.4337546998836
63,427,254,765.5958846008907
64,361,221,815.9796356438844
65,53,30,1.0000001849754963e-08
66,399,223,804.8600396173207
67,536,343,857.1897465674868
68,141,76,29.932236474319122
69,303,158,636.9260350346741
70,71,38,1.004001043702136e-08
71,320,159,465.18346847713883
72,166,97,2.986228854646565
73,566,288,1221.4617709260845
74,700,344,1270.009360979258
75,1215,802,2692.095132088258
76,608,339,1173.9491758844542
77,449,262,893.1827304849171
78,1139,660,2136.1472451185123
79,444,232,984.1914229954739
80,735,428,1215.2044509323719
81,114,85,54.855065213536555
82,52,18,1.9327146364443801e-07
83,1435,484,3024.484575884295
84,52,24,1.009621316274687e-08
85,1985,807,3739.133920947618
86,317,155,653.5265050539986
87,419,196,670.9803544425971
88,142,70,8.987200455848862
89,305,136,616.222130510709
90,279,132,211.6384783116669
91,310,144,264.3122893938158
92,26,4,3.229201014769984e-06
93,558,138,1011.3712043173149
94,406,155,669.1514510900482
95,2329,913,4334.236358675502
96,924,381,1790.6183291700675
97,440,139,930.365756119943
98,110,33,20.991946725972323
99,69,42,1.044774229228828e-08
100,1103,930,2324.5695306918146
101,965,895,1727.9745336165727
102,205,184,417.7175650044809
103,153,126,281.5865314369581
104,359,322,675.5824160321813
105,896,878,1739.7760347876642
106,1256,1221,2418.1703313436583
107,201,149,195.50955944462876
108,207,153,454.92036166288455
109,1051,614,1682.699446450713
110,444,342,991.6039501795697
111,646,430,1461.7546390375906
112,705,617,1240.6813785195661
113,1669,1571,3215.3164507248252
114,303,278,600.8967813107656
115,2080,2061,3997.792561696686
116,357,346,630.1519930223716
117,2538,2176,5356.278193340587
118,196,191,474.50346212968805
119,204,196,351.1619342166882
120,735,720,1643.0570404044329
121,353,318,685.6634049518893
122,989,975,1905.2496891597468
123,416,377,708.6420715158891
124,193,180,322.83956736484447
125,463,460,866.0271319387251
126,863,857,1892.0312991175667
127,300,292,446.00503011978407
128,1975,1965,4017.6452787956673
129,255,253,492.5890326335364
130,499,497,988.7118694246752
131,1021,999,1861.5375270731424
132,408,406,913.6087717450838
133,587,574,1283.7501647270926
134,543,540,1155.4608546502793
135,678,678,1381.4659745558438
136,51,6,1.0004710266785785e-08
137,265,262,541.8042932389906
138,670,660,1260.0054626170868
139,790,785,1589.1148612469176
140,417,411,679.9148076954787
141,416,413,711.8521398453371
142,19,17,1e-08
143,885,882,1593.6962441553028
144,1274,1270,2270.6828428637086
145,324,323,585.755331564845
146,1405,1369,2855.63752067245
147,899,846,1663.0058226060946
148,964,889,1900.72327334196
149,943,892,1727.7150211665473
150,10,10,27.283929861555098
151,359,357,575.2533214880737
152,19,19,1e-08
153,165,165,5.991320562446855
154,144,141,79.98999404647189
155,825,825,1838.6755173739998
156,364,359,544.38587000679
157,872,872,1741.5909039205626
158,305,285,575.505208961227
159,19,17,1e-08
160,199,196,281.31901635785243
161,415,414,911.2133792261072
162,653,653,1189.6536072769768
163,139,138,261.2307069770382
164,579,575,994.3184640416296
165,204,202,436.61709759811384
166,728,726,1288.6007270315692
167,927,923,1706.113113173672
168,303,303,671.4777881583278
169,204,202,370.1093385580923
170,552,550,905.6065521977798
171,1371,1368,2704.7001462460066
172,644,642,1095.8348235953124
173,352,350,753.898903109072
174,381,381,776.1439149605025
175,203,202,435.7127659280273
176,707,704,1392.076504991843
177,201,201,438.93525549236
178,223,223,452.9954512982975
179,1052,1039,1903.7361015598572
180,918,899,1918.5032581575342
181,252,250,558.8074385965938
182,902,878,1696.29878331077
183,140,140,265.59375517252425
184,533,532,864.722601111435
185,1016,1015,2104.0990919624937
186,112,109,101.90272950189332
187,1426,1426,2805.0761255028424
188,325,325,570.0073578503888
189,357,355,617.1274003218333
190,900,899,1868.3209671502136
191,597,596,1150.5767553881185
192,37,37,1e-08
193,52,52,1.0056678683749152e-08
194,3050,3049,6395.032921334256
195,114,114,193.78578193404434
196,112,112,95.88286069476237
197,416,415,628.964537920636
198,320,320,642.2655496806411
199,115,115,50.5130731194252
200,1074,1074,2220.043477946311
201,531,529,1095.7770188256673
202,1230,1229,1979.0081389082345
203,294,293,657.8882720573697
204,708,708,1252.6734160880287
205,305,304,583.1432988224888
206,1045,1045,1935.228809746215
207,229,229,459.7644546873344
208,611,606,1286.6781976622938
209,19,18,1e-08
210,303,303,567.804248378759
211,305,304,670.7722048052983
212,301,300,635.1356295164419
213,607,603,1271.690954554065
214,142,141,210.52974572943793
215,753,752,1413.2520500656608
216,19,18,1e-08
217,1653,1649,3332.9910627969384
218,487,486,749.4025979012303
219,1123,1123,2203.8281807791436
220,629,629,1256.5033076561751
221,499,498,1085.728305084455
222,658,642,1064.888563321218
223,142,141,313.66931002586625
224,634,619,1244.2591879115619
225,20,20,1e-08
226,546,471,1086.402576121972
227,320,318,590.4653550668613
228,376,376,847.1962329321794
229,301,300,649.7701857998229
230,953,953,1696.0610286914687
231,18,18,1.0000000000000015e-08
232,655,654,1191.7249569881906
233,820,818,1808.9775799720962
234,191,191,296.35905060506434
235,1451,1450,2781.0137646229773
236,1191,1190,1902.935050999569
237,1189,1188,1708.0740165669222
238,1348,1348,2761.769506510471
239,467,467,922.7148640563215
240,257,257,417.55488431977005
241,783,783,1366.2741075788097
242,216,215,388.2426331446133
243,407,407,853.1324778730809
244,679,679,1322.7737699667082
245,306,306,708.3952548164807
246,670,670,1221.028228713554
247,522,522,808.2556407518371
248,524,524,1036.813985025857
249,573,573,1178.087866097515
250,70,70,1.7627305586335027e-08
251,255,254,490.70132225541585
252,203,203,464.03044591296424
253,458,458,601.8476580126157
254,207,207,462.92262226931945
255,316,316,536.0990925019834
256,860,860,1750.393109174462
257,394,394,575.3013656035729
258,381,381,532.6289144177357
259,753,753,1468.945678289683
260,131,131,23.979105379029086
261,534,534,1196.706591344697
262,812,812,1499.8013794025521
263,572,572,709.5237932111311
264,157,157,328.5727358655538
265,201,201,368.44395518857584
266,548,547,1206.5852168712004
267,142,142,104.79363617499807
268,303,303,639.9716940721845
269,418,417,652.1170862787984
270,689,687,1392.2720650501442
271,19,19,1e-08
272,52,52,1.0000085516290832e-08
273,1125,1125,2397.6887610231465
274,1594,1593,3153.280645239856
275,184,184,17.978770736886485
276,1013,1013,1944.0336282872936
277,143,143,144.76744660034606
278,206,206,474.1829859291673
279,831,831,1685.348631020243
280,394,394,582.3485520846592
281,164,164,2.1841219447023275e-07
282,53,53,1.0000000000534685e-08
283,731,731,1276.008926285025
284,344,344,546.0820463273118
285,846,846,1745.8556273211543
286,1192,1192,2363.457517719639
287,707,707,1284.7712789250145
288,826,826,1669.7026648991005
289,673,673,1364.8601937331678
290,19,19,1e-08
291,352,352,670.3513974880854
292,321,321,662.8350687899763
293,692,692,1331.8631029325861
294,1125,1125,2061.6518046133906
295,1033,1033,1909.0511543938158
296,257,257,381.75856708000936
297,389,389,775.179422589455
298,141,141,169.3523897265255
299,203,203,451.15983441272164
300,1131,1131,2088.593147563646
301,250,250,546.4820541797293
302,304,304,378.95545432572766
303,385,385,776.917694518194
304,33,33,7.884387058202492e-07
305,295,295,432.2265799244793
306,539,539,1196.640814180082
307,162,162,243.99420294502306
308,475,475,914.8748764699257
309,412,412,894.0678340561217
310,1046,1046,1580.3599307123657
311,288,288,550.9437432451695
312,204,204,389.6134498996914
313,793,793,1760.787396201362
314,1870,1870,3846.317141603604
315,1119,1119,2054.227124571023
316,264,264,458.9115273430931
317,405,405,859.3274870224074
318,655,655,1313.3271155514158
319,1440,1440,3034.868723716012
320,610,610,1097.625040389975
321,607,607,1277.4600417560582
322,250,250,537.5263778512536
323,52,52,1.0000104142367596e-08
324,300,300,584.0776753058641
