episode,steps,actions,episode_reward
1,601,463,1325.6985559044717
2,370,288,799.5490689835149
3,464,356,1029.2000986439814
4,1318,925,2571.821667534393
5,204,96,473.4673159943966
6,207,95,536.7076056977911
7,1575,676,3587.7407477038455
8,1118,490,2338.6936960593857
9,345,105,916.1697767178181
10,727,336,1732.024424910385
11,446,205,925.1039063204321
12,114,48,330.00671076773784
13,796,237,1814.1875398394634
14,142,31,425.8021753492205
15,448,133,1199.4448730037486
16,621,191,1604.3635397169585
17,504,145,1506.2882158186353
18,922,182,2211.0654699886995
19,305,34,567.7020373864132
20,803,131,1989.423291965106
21,1040,206,2539.039987623795
22,164,46,488.13195800824656
23,113,18,338.8639832877039
24,304,43,719.2313463986445
25,51,17,152.86280118515865
26,141,25,422.8001622324076
27,52,18,155.91618980397735
28,19,5,56.98130078551944
29,780,164,1790.3388353228056
30,38,16,113.92368987087569
31,508,111,1421.200361380459
32,18,11,53.89179509196703
33,354,95,790.5434273541254
34,502,129,1262.0213269648173
35,392,94,933.9827965742869
36,398,81,1022.2127319554755
37,204,41,405.8168488254243
38,788,223,1869.216648568146
39,446,115,901.2117122159098
40,373,120,830.0415735517274
41,481,135,1009.6288227343103
42,797,91,1265.9292158329783
43,7,6,2.9958953367353267
44,571,127,1047.317843188736
45,447,148,1002.5091872601297
46,1593,572,2918.783734079567
47,698,260,1464.6396429531064
48,412,164,997.5003945284809
49,206,97,559.359983982152
50,202,90,520.9376964335416
51,133,55,398.6243333535884
52,257,114,685.7184131036628
53,1013,397,2200.2025609730085
54,321,119,677.9391938286664
55,269,114,507.6915847392897
56,279,120,791.7266487203058
57,18,11,53.874565288738744
58,302,114,750.6044084498787
59,203,77,496.2600803808581
60,353,129,742.5921126260895
61,767,306,1951.3544578972248
62,52,27,155.76363184623648
63,400,145,1034.6967984337257
64,51,15,152.86638437723633
65,1119,446,2283.189002513854
66,334,140,840.4792956129543
67,244,106,609.3858219242156
68,1217,502,2565.7955402042853
69,511,221,1265.0477606041677
70,282,116,728.5525862118639
71,329,139,852.3544198804249
72,1481,649,3129.8198817192574
73,1389,517,3060.0570936608847
74,929,545,2186.736287760018
75,1494,826,3623.654614885659
76,1214,578,2911.400247846324
77,208,124,543.1063250491503
78,362,205,878.3708692484961
79,250,142,633.9869905406825
80,90,50,248.10797780416053
81,161,113,406.54854493177015
82,1369,792,3172.1185860637506
83,301,183,740.5396995458364
84,913,537,2261.6492401707264
85,1746,978,4137.997145909483
86,277,185,503.45414103872787
87,605,283,1423.5162545764256
88,457,164,1159.8978016223944
89,247,109,623.0905725038322
90,1084,432,2354.6417803895542
91,52,20,155.7891390129932
92,410,151,1105.9093357270015
93,303,163,700.3666226392784
94,620,327,1467.0049249060385
95,409,215,1023.0958260588378
96,446,243,1099.6166458514028
97,279,150,792.6515531436711
98,321,159,892.5268477615715
99,676,208,1396.1191693712155
100,1225,361,3019.1286037451264
101,250,100,525.1727134628029
102,411,126,1068.2733913004674
103,962,383,2240.943788742704
104,1161,252,2232.390839644003
105,1288,1070,3101.180676322719
106,318,286,769.9344046368203
107,248,226,620.0476762988447
108,1106,902,2639.127787780963
109,379,369,960.2509639307312
110,510,501,1152.2524812071495
111,1316,1303,2967.453176834332
112,150,99,380.4079568582369
113,937,630,2062.460854044307
114,1117,711,2565.2588687289804
115,1010,860,2251.154639833364
116,320,287,814.6321066855737
117,717,670,1652.0880251677495
118,924,892,2034.3678532228064
119,1607,1595,3677.777577321065
120,1263,1156,2909.103376802132
121,224,188,577.8048499797466
122,759,659,1748.2299259070253
123,364,292,896.8557850431087
124,758,666,1709.290293005397
125,1501,1477,3416.934878726456
126,856,844,1943.5862359909042
127,720,680,1764.1322589073309
128,206,202,504.51881523294674
129,51,44,149.73944914599147
130,204,202,484.79000999918156
131,752,705,1632.6012739824607
132,114,106,328.0062233636198
133,1703,1688,3745.4565211027493
134,19,16,2.9958953367353267
135,1683,1669,3532.1221968571017
136,1284,1241,2826.5812102527466
137,365,354,876.2855037059761
138,446,440,1037.1755138450046
139,96,83,257.8651839579508
140,540,539,1289.7772610930974
141,194,192,528.7479617093455
142,2551,2539,5861.550519495708
143,19,16,56.879848005121005
144,142,141,425.26808304082874
145,447,445,1031.593794420075
146,1900,1879,4350.257347001929
147,252,238,440.1922158562868
148,2371,2272,5179.855088969059
149,648,597,1510.0617539644304
150,936,885,1870.5755217991057
151,316,316,664.1659809128889
152,629,629,1427.0847912508327
153,685,684,1628.2953924427054
154,567,567,1309.4524799883288
155,887,885,1809.6521890938423
156,193,193,514.5583869427202
157,421,421,1000.4794110597198
158,798,797,1841.9571772850993
159,553,551,1291.0726666416042
160,19,17,56.837455680012106
161,337,335,803.4035806664256
162,330,327,801.5174576949914
163,1501,1498,3206.5465148727203
164,459,455,1150.4483006604016
165,291,288,505.5612423587058
166,454,454,1014.7173914317897
167,52,52,155.54213890880476
168,113,111,332.6532561326575
169,250,248,561.1321340030385
170,142,140,376.82130503608
171,701,696,1654.3385329083205
172,302,302,662.4458602520591
173,1651,1647,3729.0613083289127
174,429,428,983.291789214333
175,51,50,152.6102397959288
176,179,178,439.53405944736124
177,254,251,626.0500417136914
178,1451,1432,3054.8319488484008
179,248,248,541.672574545704
180,302,298,617.8790218567816
181,308,296,666.5617421611059
182,319,316,846.8221488994592
183,144,142,386.40206075855207
184,510,509,1172.8951875081416
185,512,511,1170.6489419612599
186,532,531,1305.1549832612689
187,478,476,1123.2324052392387
188,72,71,215.61909506223543
189,388,388,916.4655974303264
190,598,598,1380.2819154359738
191,879,879,1924.863459465368
192,302,302,660.4678116347092
193,393,393,893.5947199964502
194,275,274,684.3191573989819
195,342,340,730.6165198794498
196,18,18,53.914005007584265
197,52,51,155.78179035162793
198,798,798,1811.6465015387012
199,252,252,604.4920298275532
200,550,550,1274.3326764471522
201,250,250,622.5832625076456
202,553,553,1253.759951409698
203,882,882,2045.7116793381251
204,1015,1014,2243.741693770084
205,243,241,567.3269958423575
206,206,205,506.50266837063225
207,205,203,488.7316136810606
208,922,922,2080.809699820952
209,466,466,1113.7384266577733
210,252,252,578.2796686802669
211,676,672,1431.5814548356336
212,1993,1993,4435.257487311852
213,50,50,149.57781268675396
214,841,838,1909.275596957533
215,926,920,2100.403478522069
216,1135,1130,2614.2731994478736
217,19,18,56.83894953566302
218,348,346,845.8188780041872
219,180,180,457.60737622196365
220,1652,1646,3801.802066216516
221,628,628,1370.4843648677659
222,365,365,839.4100575725624
223,206,206,499.06503871300595
224,675,674,1548.9483650061518
225,455,455,1033.942909908095
226,246,244,574.601252724373
227,354,353,850.3961200866937
228,850,844,1865.1860438309889
229,760,749,1574.3546266276571
230,267,224,611.9210512805704
231,93,93,204.8369988650706
232,1649,1649,3543.5046850410695
233,72,72,212.6033418375458
234,903,901,1930.1450965461033
235,547,547,1344.709294958879
236,142,142,367.97594459914615
237,532,531,1274.4302131026282
238,618,617,1388.7954928225192
239,688,688,1802.6267096026363
240,555,555,1273.313233700174
241,258,256,641.2763899123282
242,143,143,428.2551382273149
243,1673,1655,3886.541607505344
244,1185,1185,2681.046775878611
245,256,256,671.7663044880895
246,52,52,155.75030051018916
247,727,727,1736.729199064924
248,100,100,287.9794002622054
249,253,253,625.3758948304876
250,253,253,606.2943556168539
251,19,19,2.9958953367353267
252,695,695,1666.1413440143483
253,980,980,2274.1959991862786
254,771,770,1894.5449461168473
255,895,895,2087.9882868567906
256,255,255,630.2363629997297
257,665,665,1559.0484463828795
258,205,205,541.0606897053457
259,1173,1173,2728.0265992326813
260,2728,2727,6247.595976364623
261,495,495,1253.7823017928808
262,513,513,1156.4256422299009
263,200,200,513.6658201553356
264,551,548,1263.6407557599482
265,144,144,409.16066796633396
266,962,961,2155.9647329058594
267,521,518,1230.0617853001215
268,751,751,1737.6940258414618
269,253,253,617.5403981835175
270,112,112,335.28877085524863
271,1295,1295,2856.890356829898
272,415,415,1085.9037837328508
273,71,70,212.77727564019747
274,660,660,1496.263419126604
275,51,51,149.80981723066841
276,644,644,1511.4062749591867
277,206,206,524.3206826545456
278,319,319,787.1149077440496
279,704,704,1760.6657157926002
280,114,114,341.44511201534226
281,102,102,305.56911936997574
282,133,133,398.33214338180835
283,610,610,1404.7225573357869
284,142,142,403.6543443487874
285,964,964,2166.654566186189
286,76,76,224.67850507846663
287,794,794,1825.3767502642793
288,1931,1931,4390.271413771454
289,675,675,1622.6124471165742
290,1388,1388,3044.491315443057
291,140,140,406.3389800541922
292,670,670,1608.0103608752067
293,2335,2335,5343.60065809265
294,204,204,510.44059959656306
295,70,70,209.66676541149124
296,303,303,683.8370348064398
297,250,250,581.5837883957909
298,250,250,602.231105025874
299,304,304,709.9731327548035
300,304,304,765.4872811410676
301,382,382,964.70704037699
302,332,332,909.006053693982
303,410,410,983.2082004678557
304,18,18,53.9121815316745
305,112,112,332.5253224396276
306,388,388,975.2789249707882
307,252,252,621.5234479757802
308,1176,1176,2840.526200235382
309,255,254,685.7971716602246
310,268,268,640.1835914189519
311,37,37,110.82513482848447
312,837,837,1984.8969494946107
313,466,466,1072.2466783027385
314,1684,1684,3911.2792190071264
315,304,304,721.5698263111314
316,113,113,334.71915224330746
317,799,799,1838.1715771993133
318,1904,1904,4539.94587188462
319,645,645,1573.2613434034477
320,1217,1217,2749.219350349801
321,553,553,1282.3884339085314
322,52,52,155.7771782407912
323,206,206,530.4586024048408
324,134,134,397.7067336552633
325,70,70,206.7012605903135
326,555,555,1317.2778590560854
327,140,140,382.91508515022724
328,246,246,652.7393096755244
329,537,537,1315.783063122811
330,548,548,1300.1396743057676
331,501,501,1124.4416345556533
332,1091,1091,2510.2578192735114
333,247,241,540.7491906878372
334,692,691,1610.3411300817652
335,1138,1137,2648.6375781607007
336,839,839,1916.045389084547
337,300,300,699.8159523003068
338,934,934,2089.817815873644
339,393,393,994.8745152865073
340,542,542,1366.265581639288
341,392,392,1033.83954318642
342,19,19,56.9516334844682
343,473,473,1119.0161404415162
344,1383,1383,3056.2036768092744
345,1044,1044,1992.6622730991555
346,159,159,454.0631939270433
347,1483,1483,3388.125873347381
348,1674,1674,3326.6996088446795
349,302,302,753.256394445069
350,1031,1031,2349.71320811262
351,554,554,1300.3939152680166
352,19,19,56.927598529612105
353,532,532,1279.4759038837062
354,132,132,363.7106756565109
355,18,18,53.960240826751985
356,482,482,1238.692016505581
357,1415,1415,3210.5079404829894
358,717,717,1909.4496291273215
359,19,18,56.88448257675414
360,1571,1568,3416.93140070393
361,833,833,1977.9028242424279
362,207,207,616.9931568127034
363,638,638,1440.3999729473098
364,251,251,585.4831237181011
365,1174,1174,2679.977270975408
366,417,417,998.1741921835817
367,323,323,746.0899451789448
368,1326,1326,3071.5050156983243
369,389,389,889.8459339095483
370,88,88,220.45774648656783
371,1090,1089,2481.859021570963
372,51,51,149.71494246726928
373,509,509,1175.566778125155
374,112,112,323.2903270017996
375,302,301,699.7995157357249
376,321,321,767.7875616176166
377,210,210,508.6024553057964
378,225,225,508.28371496688703
379,588,586,1308.5385445892161
380,353,352,579.3236794107154
381,114,114,300.5211172921189
382,542,542,1227.6159051052487
383,502,502,1082.0547270199318
384,203,203,520.0212937024677
385,1192,1192,2716.442691374473
386,258,258,654.4941508007546
387,245,245,600.5119179351152
388,1203,1203,2788.8823888758798
389,298,298,688.2354307431441
390,144,144,393.2885894648322
391,1079,1079,2412.817899175602
392,57,57,170.7134287355251
393,402,402,1001.6115095944608
394,113,113,338.28791748591226
395,1571,1571,3604.5310758342243
396,1142,1142,2691.9405685874867
397,654,654,1494.1171040884165
398,142,142,415.0513527822872
399,142,142,396.2863827428456
400,204,204,498.52528910457755
401,457,457,1095.3363226976576
402,142,142,391.60035393971407
403,168,168,493.5671701913055
404,71,71,212.57145035137518
405,304,304,743.0567851954443
406,22,22,65.80723880025712
407,1379,1379,3084.9274180941866
408,138,138,375.97113206857466
409,1242,1242,2817.526858494758
410,749,749,1675.6897822450896
411,100,100,299.38934172187214
412,563,563,1315.9684009883415
413,519,519,1234.8171693427776
414,178,178,530.0461889363914
415,30,30,89.79220841077714
416,132,132,394.92143265219147
417,970,970,1931.4230772259157
418,133,133,365.972410969495
419,49,49,146.71832996181703
420,118,118,351.2614108214216
421,1212,1212,2765.3033629433553
422,53,53,158.6380256346517
423,789,789,1843.484948290188
