episode,steps,actions,episode_reward
1,257,195,399.3588255130604
2,347,269,535.2152543658509
3,396,302,495.23058961142567
4,1299,944,1488.64640760994
5,2127,1014,3241.917418017571
6,561,184,723.7379481347433
7,361,162,410.8531927180625
8,253,118,351.13139130603093
9,255,115,347.88096011496214
10,18,1,1e-08
11,132,45,0.00021394353642285085
12,787,343,1131.3833334472386
13,578,243,566.0134056490207
14,112,45,2.0893990122497823
15,508,148,775.8122832444226
16,301,97,360.5210874747254
17,445,124,519.3179499594731
18,774,210,1020.1939279782619
19,50,21,1e-08
20,304,82,3.000115956053161
21,135,41,1.0000000001119758e-08
22,15,10,1e-08
23,1206,207,1530.0127760716816
24,282,60,4.467202130817804e-05
25,308,39,447.18250721547275
26,830,154,852.1977200712253
27,114,26,1.0000012490190818e-08
28,372,79,164.8811882254626
29,719,145,786.5370547084527
30,173,47,1.0000647250374012e-08
31,963,191,883.3539281032567
32,580,115,571.5841961750818
33,52,25,1.0000020774461704e-08
34,502,124,640.6267902990556
35,1000,216,1597.0231418172443
36,534,121,530.9252948591708
37,798,241,1165.2408701247332
38,268,64,417.53635374974726
39,479,121,433.5418405055813
40,800,238,1153.4656385020867
41,5,1,6.958067687257182e-07
42,134,55,107.94117819007548
43,738,160,930.6136643605552
44,141,40,92.01392757147948
45,995,366,1374.2784489882845
46,603,233,721.4155251074943
47,392,213,434.69085687236065
48,443,206,620.4996136419346
49,251,117,350.8845154361563
50,426,182,591.3643113091272
51,389,178,337.2607194362216
52,143,73,26.460585088424907
53,557,231,787.1447532266235
54,640,234,1098.1452335644944
55,564,224,709.5281832741941
56,1031,439,1419.6025512608135
57,1050,378,1448.540360072389
58,260,97,310.9721613078788
59,113,28,2.520168354015917
60,248,51,407.38385926726977
61,882,414,1024.005753659107
62,243,120,371.952834045263
63,322,142,506.31544551457205
64,205,82,264.609861174442
65,302,122,426.6687574076476
66,183,80,41.117674919071455
67,512,224,820.7325177983844
68,345,144,455.3440597567607
69,195,64,1.455316751119207e-05
70,1613,611,2102.4010302334027
71,143,52,150.92429029374395
72,52,23,1.0000010536798081e-08
73,1347,618,1978.4134205565822
74,822,509,1316.2233844535729
75,113,42,1.0016927471585686e-08
76,1477,859,2072.9433573107463
77,2126,1086,3122.3828426302302
78,1021,617,1775.0433794037024
79,258,140,257.5008016165803
80,814,478,1291.3769025816882
81,2500,1432,3633.6579083971883
82,164,100,52.2875532277702
83,312,167,315.8150897957156
84,1784,759,2640.0721729491543
85,767,310,1033.4062279397701
86,305,170,492.02194964816704
87,633,317,851.3279301142594
88,858,416,1100.9833090484985
89,390,290,437.8604411816319
90,194,94,74.3331668596116
91,1312,419,1776.744705251446
92,1249,394,1508.3015858699625
93,757,364,1240.3180539495777
94,669,250,1124.5655736148215
95,820,236,1244.3898083255442
96,53,23,1.000000000226575e-08
97,19,16,1e-08
98,563,437,774.3883695943272
99,251,199,401.2391887747086
100,967,891,1307.009766889519
101,634,569,946.2346893284479
102,142,118,115.7293974715569
103,570,535,816.4683867805526
104,783,606,1322.7052212936799
105,462,437,699.3722200196823
106,51,25,1.0000000005999639e-08
107,251,241,409.35685671066943
108,447,420,491.8325634320741
109,260,187,310.3095743756755
110,682,466,890.5949478965833
111,304,224,470.72942706271067
112,19,12,1e-08
113,657,487,905.9209816813976
114,3103,2804,4761.5164307658815
115,135,126,4.1728188020591845e-07
116,1452,1442,2404.4348988650113
117,205,194,264.9560546767162
118,275,274,273.827291701687
119,363,334,579.1943811483602
120,447,349,611.4752028577778
121,2098,1782,3492.590295735538
122,729,712,1190.2949993354973
123,1029,1022,1450.56598534418
124,786,747,1201.3495796309726
125,997,992,1519.4378822597826
126,859,855,1512.6242850310762
127,955,940,1504.12777061009
128,1835,1828,2779.685780218659
129,1472,1451,2262.4335245872203
130,427,426,697.3481044815998
131,361,355,536.5140375601421
132,550,548,866.6744026134577
133,1562,1536,2278.546742690734
134,736,722,1144.901263359565
135,1147,1116,1543.9323513842814
136,958,956,1538.128651578067
137,1060,1048,1315.8227605281684
138,142,138,160.84545474390686
139,134,131,113.86744017051905
140,54,51,3.805102344063046e-08
141,554,532,867.6577244424524
142,905,889,1396.0798513048956
143,868,822,1322.2662595842082
144,296,278,480.6417897311073
145,350,327,447.67697328221635
146,303,277,406.8503820862761
147,362,339,503.5867265538395
148,569,553,829.5975579892681
149,316,316,497.2576552190805
150,1193,1192,1780.833531705768
151,113,111,4.858438447800116e-06
152,823,822,1302.5783348162431
153,205,205,233.8115720054554
154,114,114,138.78135411913965
155,301,287,444.9635094739969
156,159,158,227.90903630265797
157,1707,1703,2908.63641817725
158,118,116,2.567715188921283e-07
159,19,18,1e-08
160,206,205,321.50728301392905
161,462,458,525.1929825827914
162,1014,1013,1548.973164589864
163,115,114,59.73459237901657
164,19,18,1e-08
165,1103,1101,1662.5472063089017
166,870,867,1245.3856424942771
167,397,394,605.2532887463274
168,251,249,352.2068668831072
169,327,327,389.4456344875854
170,168,165,265.60681085149486
171,1151,1148,1981.950461988917
172,305,305,459.9286245727319
173,638,637,1051.2410993231063
174,470,468,581.9491820286057
175,2630,2583,4205.289774428532
176,143,142,146.98784875399568
177,307,306,381.32188586756695
178,508,506,874.4499181982069
179,552,552,924.4017499379821
180,113,112,70.84540307346145
181,325,324,395.63165427302755
182,1288,1287,2088.687909967986
183,1184,1184,1788.1010390751837
184,386,385,684.1886444721681
185,164,163,245.42321290369665
186,454,452,538.8479582127736
187,19,16,1e-08
188,2201,2200,3759.0140115063195
189,702,699,1142.6987657540444
190,319,319,520.6001039827817
191,110,110,48.21703356445793
192,578,577,741.0901429227577
193,436,436,621.3424015727021
194,907,906,1620.1353074440187
195,205,205,329.1314407166991
196,143,141,178.36973338487022
197,579,577,890.3422954558206
198,672,671,999.4935110440954
199,466,464,427.0911059474429
200,1008,1008,1566.9478203194997
201,300,300,401.6606540106832
202,251,250,291.4624775532563
203,416,415,366.10434453041034
204,70,70,1e-08
205,477,476,817.5685283188297
206,632,630,969.5396424177478
207,518,518,822.2230304550625
208,890,886,1347.0008808959424
209,406,406,504.95473260816493
210,344,344,545.0579681730609
211,1580,1578,2648.7420963094864
212,525,524,559.8190061492077
213,102,101,1.0000051727000682e-08
214,249,249,436.6057375113227
215,247,246,406.7918513498003
216,317,317,408.1503181874262
217,537,537,922.5851995702642
218,141,141,160.02517110867856
219,2181,2169,3175.33723305155
220,779,776,1305.4739558014846
221,52,51,1.0540517964068811e-08
222,23,23,34.6494868493151
223,391,390,611.6803293280336
224,2233,2224,3489.113255398536
225,302,302,513.8850381835575
226,141,137,180.5341594918646
227,105,105,1.0013221072896758e-08
228,615,615,1002.4098728835613
229,166,166,12.261569322482408
230,845,845,1434.152324418565
231,106,106,9.62939780324233e-07
232,104,103,1.0011250476633769e-08
233,447,447,583.4734459769782
234,252,252,380.17236019125346
235,254,254,365.54523746841426
236,498,498,495.152780250623
237,252,252,405.2356974236142
238,51,51,1.0000000001434962e-08
239,70,70,1.0000000001402674e-08
240,1668,1668,2649.799052302459
241,716,716,1025.4605821349103
242,52,52,1.000000004807856e-08
243,303,303,443.214655953016
244,418,418,552.0564431258537
245,11,11,3.73272183598085e-08
246,216,216,260.2400170668467
247,548,547,843.4139896865272
248,249,249,397.64687375149157
249,1644,1644,2249.6382368458703
250,1217,1217,2019.204515130149
251,71,71,1.0000009535977298e-08
252,19,19,1e-08
253,258,258,386.0963641051948
254,277,277,345.2386925697574
255,705,705,968.9151863857445
256,921,920,1344.5801958210513
257,645,645,820.7548553260315
258,883,883,1144.1898578912596
259,275,275,240.5815978526871
260,858,858,1406.0910948491746
261,777,777,1003.3315829853741
262,304,303,489.6391800167263
263,133,133,165.95964367878722
264,162,161,243.5705081875563
265,31,31,1e-08
266,698,698,1225.1281398055069
267,306,306,524.5091473384679
268,364,363,499.78310316942355
269,506,502,781.4668007991693
270,227,226,288.64256834642873
271,38,38,1e-08
272,52,52,1e-08
273,39,39,1e-08
274,1215,1215,2112.2888897955936
275,140,140,129.31619520082882
276,514,513,900.6031855670477
277,800,800,1236.484947897374
278,237,237,3.4974883709350537e-05
279,605,605,1083.9296340076257
280,51,51,1.0000000000003987e-08
281,448,448,690.8964943809117
282,204,204,286.31853379831557
283,3363,3363,4514.078276344782
284,116,116,41.12371943287417
285,684,684,1137.5050590086053
286,1575,1575,2413.1242101294474
287,299,299,540.7739406706061
288,164,164,152.11817645161395
289,416,416,684.0813372850979
290,140,140,112.29457953208316
291,1797,1788,2600.511810099788
292,114,114,13.405898895340993
293,250,250,414.68105581866706
294,1498,1498,2319.8911980476314
295,2259,2259,3484.486263780968
296,161,161,36.34901676518388
297,391,391,557.5405260484594
298,136,136,21.76065579159184
299,84,84,1.0292143552664474e-08
300,194,194,114.93836990931113
