episode,steps,actions,episode_reward
1,1728,1028,1542.1964006353069
2,433,272,420.09713431895995
3,1446,963,2446.1048832249908
4,549,368,1053.0140084377774
5,683,447,1287.3208891794072
6,301,194,487.0265447967498
7,69,47,186.35467881146133
8,1275,772,1915.6109163495862
9,301,161,366.52023978174253
10,222,141,344.8224429117568
11,1101,595,1535.7446610057755
12,52,23,151.1320082550629
13,267,117,482.9607598307416
14,1209,627,1645.1550539207935
15,251,133,459.2044097489524
16,113,48,221.10589157596175
17,1013,189,1898.8840885322998
18,507,123,729.4215675448712
19,466,106,775.4510851892708
20,52,3,155.94970117380768
21,956,245,1588.7400356018186
22,131,3,352.481865357573
23,653,157,645.9919551289225
24,19,1,56.98545569946344
25,252,55,247.3652968128294
26,390,85,495.0699370153426
27,249,53,213.0452783120486
28,1511,117,2933.600544973162
29,467,24,974.3657262394815
30,1223,46,2058.4748248210512
31,457,14,723.6046603463966
32,1486,27,2412.4110551464396
33,168,0,400.7738339767447
34,206,0,329.0993496915139
35,736,1,1013.6979354005281
36,3651,0,6583.749976608765
37,503,0,864.1431109226459
38,205,0,297.7680842770295
39,273,0,702.0024245545316
40,91,0,261.0001138777921
41,763,0,1055.1728134811788
42,390,0,654.6040219902673
43,1049,0,1438.3957020853286
44,1202,0,1554.4508120106088
45,711,0,1004.8566654747132
46,20,0,60.00000001
47,200,0,282.0294949858351
48,624,0,809.7894794706625
49,575,0,1572.5675690520275
50,37,0,111.00000001000001
51,250,0,286.0231232640784
52,322,0,580.1112600002348
53,516,0,921.1890339598384
54,1207,0,2102.9567092597
55,203,0,321.44704114474297
56,417,0,626.475778804298
57,483,0,1068.0881161781786
58,1864,0,3870.698164920795
59,409,0,662.6529451180602
60,1724,0,3597.908777064443
61,255,0,595.3305631974692
62,390,0,719.4660208752166
63,442,0,665.8257328714643
64,282,0,835.1423076372256
65,331,0,762.2996679448548
66,627,0,1061.0847016626406
67,543,0,980.5519764043811
68,257,0,461.6148879225993
69,194,0,465.1536303696041
70,858,0,1303.3801316575664
71,1371,0,2595.786133772301
72,363,0,717.7691413965787
73,920,0,1687.1295672689714
74,689,0,1464.4380351321768
75,662,0,900.4525487290831
76,977,0,1837.6061957295303
77,1209,0,2575.8358573370556
78,321,0,580.8146968554563
79,552,0,1101.9529104943904
80,126,0,359.3313622207742
81,500,0,1105.5188082329857
