episode,steps,actions,episode_reward
1,73,56,218.53366850781302
2,1123,896,2482.4942853275165
3,70,59,209.47502843508886
4,112,91,335.1785220977679
5,1617,1224,3780.6198543741616
6,1153,848,2369.647763731192
7,510,380,1208.782735972579
8,249,188,611.7727735392068
9,798,537,1845.2615596839178
10,1191,711,2674.5388361552173
11,205,123,506.0674054262478
12,686,427,1586.338673581759
13,1116,697,1712.4779329559422
14,302,173,708.8234214218613
15,368,217,821.900650119818
16,427,278,663.0459160163441
17,32,24,95.69336465920618
18,267,168,659.4612219265666
19,251,168,607.3256833954881
20,143,110,371.4940047706032
21,353,258,852.9029540217649
22,278,195,676.1827871035831
23,249,179,623.7319939243824
24,553,374,1256.9136522780063
25,202,145,504.68292981461207
26,143,105,387.1166288954853
27,145,100,400.212292461691
28,346,219,429.0971608810473
29,2898,1614,5596.159631782126
30,1659,939,3205.623115485254
31,718,393,1429.4549557241403
32,1097,585,1972.2069377510647
33,666,355,1496.1782384981775
34,142,85,368.39651287242197
35,551,291,1253.4320919851693
36,346,181,886.8012269221136
37,584,302,1085.2234700372207
