episode,steps,actions,episode_reward
1,19,19,1e-08
2,51,41,1e-08
3,816,635,1420.1563202062812
4,689,552,1201.7328463225317
5,1097,881,1908.7014970359642
6,795,575,1555.4276549269596
7,1132,782,1889.8974939385735
8,552,395,1034.9372931407097
9,52,30,1e-08
10,2696,1629,4883.930869309647
11,305,185,592.9469420236854
12,1019,610,915.8750258635614
13,777,465,1065.2427090696463
14,693,442,1309.0714434587142
15,210,156,334.4419560482049
16,393,275,512.7696017712664
17,690,494,772.0403614600248
18,349,246,623.0457013800578
19,279,196,279.235739147302
20,188,136,118.57807499927756
21,142,90,122.7700192825109
22,248,148,425.2970429813468
23,144,107,11.154735850517673
24,71,53,1e-08
25,542,328,791.684302727235
26,1460,845,2910.9673483531146
27,306,169,639.0733446646313
28,145,95,171.3471723257667
29,1660,955,2690.579133437685
30,991,550,1214.3877977627847
31,800,423,1631.486241080295
32,689,379,1333.3422461238915
33,694,417,1329.2989701496786
34,203,108,329.47603298183026
35,729,376,1151.4872107081706
