episode,steps,actions,episode_reward
1,19,17,1e-08
2,794,635,1494.2119596313466
3,451,352,797.2137242881289
4,1730,1278,3812.577126959416
5,1612,1136,3224.1498064480593
6,2295,1487,4880.589002237299
7,456,283,1028.8781493563645
8,432,274,780.4866770001207
9,2211,1335,3149.1315530975517
10,281,189,502.9032443211781
11,269,181,571.3954693252028
12,343,242,633.1245092112549
13,924,660,1305.2091469430427
14,505,372,1003.7903834176135
15,483,321,1036.0231831989
16,143,105,234.24020540370486
17,466,310,777.7948361119974
18,1745,927,3603.19563759724
19,251,150,586.7015539214534
20,440,220,1030.9494711317168
21,377,236,767.4486822453313
22,112,90,62.73155205786738
23,1200,746,2573.0614941637964
24,54,38,1.0027389307378197e-08
25,927,549,1782.564402559961
26,1073,511,2313.742873343639
27,407,221,948.6044429390345
28,692,336,1619.756112067941
29,207,133,481.985571538164
30,143,86,273.71499230311434
31,141,82,241.6687179413913
32,142,86,89.70195244097214
33,613,320,1414.1629775615672
34,131,84,101.6150412358519
35,1565,770,3000.8094972921285
36,453,218,423.9222854177001
37,304,144,751.132853922514
38,193,137,273.0599427958207
39,752,389,1545.442103206984
40,1702,868,3229.732089483002
41,410,224,964.2016357719718
42,60,28,1.0000604002408215e-08
43,418,210,1006.862904160119
44,204,103,459.30845872122035
45,141,75,110.79284033045002
46,277,151,149.75981680526175
47,72,40,1.0468243635726091e-08
48,966,509,1588.997129607527
49,414,217,1034.9599031713367
50,349,164,838.1395532007084
51,71,50,5.349253805208386e-08
52,602,291,1203.1933115215609
53,1641,927,2420.994083133682
54,1022,433,1531.4582197835584
55,1340,486,3098.0468177978996
56,256,128,530.4633955733755
57,1292,425,2396.0447510124236
58,454,183,1064.1406957341949
59,800,237,1932.131715869591
60,484,59,1283.7860113064219
61,354,42,778.8326623689017
62,464,44,768.7601552056494
63,871,102,1804.7169267798456
64,555,51,1441.3539029803992
65,2395,212,6010.011226928622
66,225,10,105.00245174470454
67,299,7,0.0005545095855652713
68,222,26,113.97507740228534
69,19,0,1e-08
70,304,27,758.7587156499343
71,820,63,2153.579358318922
72,53,2,1.0000610307051762e-08
73,411,75,897.1979418715929
74,411,21,3.249030616720175e-05
75,254,17,3.0003277297542916
76,555,89,1616.431071167242
77,626,108,1507.7521809115426
78,475,101,1126.5966340518853
79,1116,132,2260.881999208881
80,19,0,1e-08
81,408,80,1097.6554705595
82,18,0,1e-08
83,815,167,1961.0121987806328
84,254,154,494.2742000234112
