episode,steps,actions,episode_reward
1,89,89,3.2632492018788973e-07
2,698,547,1579.0171139412964
3,18,15,44.95075959216277
4,1065,837,2296.95818119483
5,442,360,1083.4708841308925
6,357,275,901.2825020612332
7,960,685,2148.944153565683
8,962,719,1859.4832413566444
9,2302,1503,5176.658399559497
10,204,142,524.7432594024723
11,690,434,1607.14800571849
12,745,408,1095.7623373591327
13,114,73,339.3341902944969
14,205,128,505.6681626487825
15,1037,626,2262.1074986390486
16,112,73,333.4456688389696
17,1297,914,2919.9406772566253
18,525,372,758.3229405259877
19,510,364,1122.1474542667836
20,142,105,382.28231242506376
21,278,192,702.7425533083097
22,996,633,1419.2114623382217
23,1013,541,2209.0512550682647
24,255,159,651.4922904915611
25,139,86,382.00552158783967
26,692,390,1612.7991738394567
27,250,124,581.063727023517
28,3806,2059,7376.073533674018
29,97,64,253.32861481719783
30,694,376,1650.8623227879816
31,636,361,1358.0648036222249
32,303,183,749.8672779647068
