episode,steps,actions,episode_reward
1,244,153,115.95085802034845
2,50,29,56.1937353378721
3,342,205,240.15416976598087
4,2007,1112,1156.8536683793604
5,302,166,248.96639447784187
6,52,31,67.98737275534928
7,564,311,470.26002121449835
8,270,160,261.77551707631704
9,304,170,242.39725090012732
10,974,567,833.7879203397109
11,400,246,500.99206312960166
12,113,65,90.19250204596145
13,498,300,398.59126675495065
14,503,305,374.09308534050956
15,1322,758,1138.1514698240499
16,1509,801,1114.291901241435
17,546,289,582.9611207137973
18,15,6,15.560976030661195
19,502,261,375.95683729780814
20,671,337,616.4949558918179
21,282,157,383.97154271715044
22,694,353,623.0866582792871
23,357,167,428.18875264822015
24,1155,541,1567.496822129048
25,790,412,786.2086247927936
26,395,197,394.49380146804714
27,628,311,730.4088181875062
28,322,173,230.43420563293654
29,142,74,138.72686550833834
30,1923,847,2547.911641793851
31,680,222,1447.7931320791406
32,618,128,1153.668019073186
33,717,212,1300.1723904220285
34,109,24,111.78963698246066
35,409,82,817.1220090090981
36,710,167,968.0095548171837
37,1395,329,3155.3234413718433
38,852,74,1783.5381700793362
39,50,4,138.8552225077181
40,269,14,606.693431366382
41,1105,268,2332.3773415008554
42,474,30,973.2587844864463
43,305,18,443.4702799530667
44,2100,405,3804.4960477418813
45,454,81,719.0279889546836
46,857,142,1881.2361137464043
47,255,66,282.03378393393547
48,765,175,1591.183492046311
49,110,39,94.19347764160484
50,201,16,210.20610095518876
51,315,58,524.7074692213454
52,495,118,675.8386116421931
53,306,87,408.6932878269224
54,207,87,174.40841103264015
55,472,43,1005.8141795807961
56,303,84,348.56702985350563
57,54,23,110.71986189627714
58,360,55,648.8822739900215
59,1240,301,2202.510050167384
60,1067,122,2254.3366498828686
61,410,35,672.1197881097772
62,258,89,309.8428500255554
63,478,110,726.1497455869635
64,1424,166,2896.239305695556
65,18,8,32.97183865591972
66,113,45,116.02908722204592
67,1150,85,2658.1465479427184
68,113,28,195.34299218277116
69,158,52,204.04333546094014
70,249,65,281.6210905945152
71,484,144,912.6818279028133
72,15,8,12.46162986676124
73,340,151,790.2846884869665
74,19,6,47.979333296346425
75,477,30,935.8450306649203
76,416,101,739.9709306692256
77,308,24,556.5068302469555
78,301,25,696.9646099612644
79,195,46,191.126863595809
80,3244,598,7174.3318870130615
81,551,202,1283.072133500728
82,347,94,720.8953722018907
83,547,85,1097.5277909229253
84,365,52,779.9638491988095
85,352,109,601.9097048123953
86,367,27,842.0020270106282
87,687,235,1553.3278042946595
88,617,219,1072.9819638138033
89,867,91,2006.9302717870514
90,54,19,51.53609874959716
91,257,35,621.1713565165953
92,52,13,126.95428804338421
93,1247,243,2861.034654396385
94,742,175,1602.7328702058805
95,240,90,330.4511956571015
96,163,34,247.4791596405759
97,231,77,397.85126375921277
98,1910,463,4098.292147341719
99,758,22,1892.0036122180502
100,123,51,254.67715002036292
101,1707,1015,3372.8127628021675
102,668,228,1373.5345520056997
103,194,44,411.09359054530273
104,253,131,248.4556241227472
105,52,36,117.00458131606612
106,514,41,1191.68853964727
107,163,44,224.40931243287483
108,672,53,1640.4345729715271
109,69,7,154.5630928820192
110,822,76,1860.6971108652333
111,663,79,1530.814049037914
112,304,7,740.7198423745143
113,355,51,881.0180439611494
114,141,55,233.70666213875597
115,560,123,1216.8863531843833
116,343,41,669.6335276192209
117,994,304,1960.0229584078184
118,181,89,137.74539606020386
119,744,118,1677.3918468611566
120,635,164,1416.2471937406267
121,251,78,333.1585106237307
122,349,115,526.2107060137762
123,246,83,436.227130770532
124,2173,1201,4740.0935807868045
125,876,137,1905.2140156238042
126,294,90,500.3655133911685
127,17,11,23.958648131240814
128,380,159,742.3772184953948
129,861,594,1659.10779324827
130,709,484,1580.499073561952
131,454,212,837.7731316850526
132,657,145,1332.7238237211277
133,484,150,919.8130376852639
134,387,133,718.0509042813917
135,293,166,409.8634584491543
136,166,137,322.16268822780864
137,1120,270,2160.9993663261102
138,304,6,641.8527057475998
139,344,153,513.6456923684783
140,748,129,1494.064468722475
141,442,51,902.5337308224337
142,1876,612,4176.596275288267
143,276,117,389.78509744241086
144,482,43,1188.970930750626
145,423,29,875.3935627009124
146,1199,378,1935.2658477112834
147,249,8,518.6212633165537
148,673,39,1586.1838950055558
149,1389,458,3134.4073815713364
150,1567,698,3271.585985011908
151,142,39,205.02325287611237
152,955,332,2056.267211435089
153,506,167,776.1204488085667
154,639,220,1063.5100937458637
155,480,213,909.8408026097006
156,293,95,516.9979083797202
157,303,26,593.5807239133625
158,1100,559,2516.7870518802633
159,82,4,149.32522791382004
160,662,118,1210.6371271515532
161,322,97,607.8839730032552
162,444,84,839.0295672639729
163,496,119,1016.9594751371332
164,550,96,863.4918542647216
165,307,24,708.4865392929324
166,53,40,133.4280367287465
167,436,94,793.6487567306057
168,194,84,252.9156812344466
169,165,91,320.9965369978054
170,3431,907,6316.823964883153
171,1646,1098,3182.484760787135
172,303,43,648.4412334950362
173,311,60,670.0503415129509
174,680,262,1225.2003696436495
175,65,26,136.65343819097944
176,716,159,1406.5203819681249
177,1209,416,2325.4020994872885
178,52,39,140.49073336637798
179,224,22,437.1433559730716
180,53,40,122.02337383881354
181,18,13,2.9958917824473774
182,418,56,745.2452296606695
183,219,37,374.5655627527792
184,270,65,381.7157901960047
185,162,65,363.15669141680763
186,19,10,41.96648346884544
187,420,223,719.2722033980469
188,1388,369,2702.5670485696965
189,302,13,645.4070786185562
190,426,92,706.3772890543814
191,268,21,517.417719254008
192,540,367,1083.5810946145727
193,614,145,1292.8561277889748
194,124,73,146.01732591099665
195,525,136,1078.0342601176947
196,113,53,205.95178921086625
197,245,123,315.2139872608356
198,302,11,726.2880161277561
199,649,63,1513.8298302095259
200,19,17,56.910012710131724
201,640,76,1279.4339998904907
202,378,36,767.4453447760338
203,1797,125,3804.7197831948483
204,1268,266,2840.985444539179
205,507,13,1244.1211297847901
206,1376,55,3293.500063340312
207,390,125,850.9335194242495
208,777,153,1590.2522420243843
209,551,476,1239.7557584345566
210,845,81,1800.266853318991
211,353,60,771.5196028485627
212,444,170,1077.594424782046
213,1285,619,2700.6566696382597
214,29,9,50.44540113635176
215,590,440,1398.4845952506344
216,19,16,56.9354424284778
217,387,338,795.4090164441214
218,605,60,1422.2301425609064
219,988,384,2040.789969313279
220,203,5,480.16278369655436
221,915,786,1938.5199591379962
222,1140,133,2392.4533236400016
223,559,183,1042.2775431254408
224,634,94,1472.401857031992
225,592,99,1315.25937414617
226,227,62,453.67055193496606
227,52,25,80.16681209520462
228,19,10,55.347170792965564
229,1142,419,2655.726665412392
230,1103,799,2434.14615026122
231,206,56,363.2666809460914
232,619,271,1180.6460622846876
233,267,42,595.8321813314501
234,352,238,808.7066464369154
235,2373,1059,5447.326504611181
236,604,379,1184.9513236926396
237,1375,211,3547.933095795558
238,294,144,547.8831631575216
239,1258,986,2055.705205952273
240,127,43,189.5890123801097
241,499,141,1137.4208607025653
242,616,340,1274.2944769913724
243,146,80,292.1757369441055
244,907,168,1929.4248927121998
245,883,242,2114.5224594203714
246,299,224,634.8195876322258
247,469,341,1018.3124950986962
248,2681,1504,5363.071409670685
249,754,526,1564.6203912795793
250,605,301,984.2315622258194
251,685,126,1615.2293512793235
252,264,88,438.4946934547011
253,405,126,771.2987967051396
254,228,94,382.9728158744555
255,1394,658,2567.4711267037806
256,62,46,58.71856993482613
257,918,537,2098.7405840192287
258,280,186,389.39697083617835
259,347,152,689.3396598574684
260,220,81,452.9886197751199
261,688,79,1719.0138383729338
262,149,84,259.0553311676006
263,286,245,484.81268583091133
264,885,476,1705.93506646096
265,694,67,1774.4863619805535
266,220,50,487.87616400529424
267,540,232,826.3575678836063
268,1452,959,2890.4128092151154
269,219,39,490.1565432502312
270,92,68,87.0813349156924
271,1882,1298,3617.377412830782
272,134,69,218.1548870940409
273,223,44,500.9548918053777
274,173,57,393.0069175615689
275,417,130,792.025003451756
276,441,91,1066.6385844414178
277,1459,562,3515.2986025148025
278,427,57,1067.8744368291495
279,307,60,773.4689663171663
280,582,447,1079.0847822527355
281,1540,521,3453.8993058973037
282,1712,795,4046.001887765219
283,493,367,893.9405331289689
284,354,257,576.4678093918254
285,306,99,690.6863906194078
286,417,82,791.9697683629912
287,602,76,1498.8491972110255
288,52,41,108.95207090383522
289,247,181,606.7750628258796
290,261,139,455.69673750193937
291,3434,1973,6980.995044387497
292,420,319,756.373912476185
293,1582,1020,3246.249270449014
294,113,67,124.2936052231307
295,346,267,647.2934874959539
296,903,387,2178.05367931475
297,50,38,94.49436585153947
298,203,165,340.40489875636234
299,112,75,200.53314315746994
300,245,46,565.4558432823607
301,113,84,181.69474101984713
302,426,189,969.9455584264192
303,211,148,400.6302964823474
304,480,254,1004.0366979594245
305,1200,781,2363.5080427584126
306,249,34,612.3863250150073
307,849,462,1695.5560892496637
308,271,189,454.838004213064
309,554,60,1403.9515692533591
310,1149,678,2336.5129892533805
311,71,49,87.33723699821918
312,453,303,975.7634617093015
313,1242,708,2438.686609139217
314,745,524,1456.4319192184907
315,674,518,1365.7268036583805
316,443,325,855.6259778515602
317,1106,892,1841.544294565273
318,722,595,1316.1407021063712
319,244,143,462.2436628938413
320,205,178,426.75573311437466
321,642,578,1322.7063571257925
322,51,36,81.23031064582673
323,183,119,228.924801748503
324,693,507,1570.1187725730574
325,1927,1101,3870.0944589653404
326,252,200,585.0991036210361
327,299,111,709.2588349503261
328,558,138,1412.008250659582
329,14,7,22.937369301003194
330,790,618,1237.1311504225537
331,204,193,376.6440758110175
332,348,295,586.7676110485982
333,1012,943,2203.9443695258756
334,251,67,632.169507105404
335,146,88,248.1711596478269
336,431,374,890.2930464509697
337,703,568,1416.7504927595721
338,618,510,1275.0757692751804
339,1788,1234,3742.4105901589073
340,2629,1730,5050.552142738145
341,112,32,146.67859366430184
342,383,214,838.3756312577269
343,193,147,351.5243938929355
344,247,206,505.39142585067225
345,145,106,251.5508631891268
346,2516,1482,4720.420986601246
347,1049,504,2483.332615298877
348,221,76,237.03781097397638
349,503,142,671.4011852793832
350,410,125,695.1665317893786
351,222,113,510.7945066149425
352,420,237,797.4313461221676
353,409,297,875.9929819167601
354,506,364,1108.6959965265987
355,302,198,640.7237474222109
356,415,343,897.5489182179348
357,1522,854,3334.5445700231544
358,845,300,1393.9790220777768
359,157,69,289.06107157461133
360,503,187,967.288189593839
361,93,56,166.0456857273861
362,142,87,233.05876495591386
363,526,394,1090.3447957747314
364,598,461,1034.4135427602018
365,1239,760,2387.9779042437444
366,1885,1419,3809.4695472210915
367,213,140,343.2315399210229
368,1386,861,3021.3115485610624
369,705,442,1713.2434526543504
370,716,322,1793.9700620466108
371,752,598,1552.3930926312014
372,163,102,341.77272268937
373,1328,563,3351.864453008229
374,254,62,667.4662575734906
375,52,26,83.34995136337932
376,73,50,147.39894275771059
377,142,73,217.4920878673266
378,701,173,1774.6060290452554
379,332,302,782.4091018600191
380,703,458,1238.239183745074
381,484,219,1095.7269682171657
382,387,127,892.282171073212
383,1370,980,2863.9917622815847
384,1162,519,2803.0947834067633
385,207,164,368.8546504432011
386,666,501,1570.400883135677
387,490,149,1222.2471427346452
388,204,176,456.28688078076556
389,19,16,56.806255637795154
390,1142,813,2381.711798487884
391,1471,354,3556.236638944765
392,395,198,891.5331790500252
393,296,212,644.7464496630777
394,1525,1156,3462.7001988412017
395,528,163,1268.4994894080671
396,3544,1581,8292.978648240569
397,70,45,177.06375498718992
398,224,159,402.28230158948895
399,291,187,538.1987711554267
400,112,82,196.47716999679213
401,828,322,2065.7893176387047
402,220,50,416.52610923894855
403,142,50,285.6263937757677
404,39,21,106.1845877135194
405,143,18,347.44007159387024
406,206,29,465.97093911645686
407,471,189,1063.456367912533
408,661,255,1410.2488769363756
409,700,151,1510.0740703157478
410,13,8,16.428731445502375
411,218,59,469.1992597362583
412,874,328,1987.9273259471188
413,1012,365,2061.8948870101776
414,367,136,848.983153296225
415,273,101,554.9683431553374
416,464,194,879.1954804388411
417,366,84,934.280498383229
418,492,346,1106.8796191278316
419,1057,304,2158.394992521772
420,819,231,1977.6675859190523
421,643,344,1302.1270213246264
422,748,413,1737.0621916295322
423,679,236,1482.5109378104246
424,446,200,1032.5806257253912
425,268,81,606.9590976650604
426,1261,652,2461.7622825011113
427,107,6,221.38364639707646
428,214,24,526.2022974800738
429,1002,452,2164.95675849123
430,1676,560,3594.0625585915923
431,134,21,369.6440759836185
432,1835,547,3979.385071993992
433,894,175,2178.799818278598
434,904,564,1998.7818188521112
435,781,375,1618.6880451156371
436,1416,907,3293.6370726720534
437,186,100,401.0312864836182
438,599,231,1464.729543239335
439,126,85,240.6909853423815
440,126,58,251.429384476909
441,426,148,1081.088210072832
442,1288,733,2928.274753227248
443,475,143,1188.745832313357
444,496,267,1088.5613790010793
445,247,102,412.9908868840501
446,575,230,1228.6141182139108
447,595,475,1417.5594633078838
448,1001,657,2185.961605635205
449,1346,716,3437.5092279613814
450,170,111,346.456282424007
451,329,131,832.9156882201055
452,18,17,48.79570149634227
453,298,123,623.0844803915214
454,786,291,2034.137410017754
455,645,471,1403.893858261138
456,675,345,1544.7388806403235
457,630,207,1606.0015050699576
458,255,14,508.5871356069005
459,1124,493,2539.9851606303546
460,19,16,51.30226142015296
461,446,64,985.564006267522
462,1468,713,3154.989214634103
463,2043,1165,4488.445507595831
464,1263,730,2588.4189827542064
465,164,108,285.00242738985213
466,917,405,2016.2545944338628
467,802,347,1720.2560872667568
468,692,103,1836.3416644190215
469,461,164,1009.7449807068092
470,346,83,830.6946268858726
471,177,53,382.7658959366559
472,346,172,732.3943431217206
473,18,16,17.920840306935673
474,207,60,482.9126881178714
475,562,130,1213.1905808507036
476,1906,1168,4191.457089423639
477,275,180,519.6352672196841
478,701,394,1508.7097731205902
479,218,133,389.5859239398628
480,301,199,663.614421508543
481,332,211,596.298261651527
482,51,45,123.28999903077013
483,415,285,756.7578267719595
484,195,115,387.5177445802276
485,71,64,179.34179018066123
486,586,466,1226.8628944761533
487,52,36,123.0638314667433
488,51,40,112.425686856378
489,228,162,459.2527455413437
490,253,120,483.622601815665
491,498,326,1053.328059984248
492,19,19,17.90698311486225
493,66,55,155.77992358897006
494,248,129,618.7471332051683
495,1753,532,3818.2367179853145
496,471,297,936.4772682581533
497,1027,789,2207.3032632724166
498,442,206,1027.8426743354173
499,1500,1224,3096.492058476884
500,1006,949,2389.468745621904
501,497,241,1121.0763707906158
502,52,24,118.5463641464303
503,515,186,1244.3629845051003
504,1893,1275,3671.1712471528917
505,382,237,578.5133329132012
