episode,steps,actions,episode_reward
1,39,28,1e-08
2,196,104,1e-08
3,391,239,1e-08
4,944,610,1e-08
5,1071,595,1e-08
6,305,172,1e-08
7,610,350,1e-08
8,4713,2749,1e-08
9,1444,752,1e-08
10,287,142,1e-08
11,592,333,1e-08
12,994,532,1e-08
13,19,18,1e-08
14,571,279,1e-08
15,712,371,1e-08
16,114,62,1e-08
17,676,332,1e-08
18,396,175,1e-08
19,389,216,1e-08
20,1044,563,1e-08
21,1450,770,1e-08
22,419,219,1e-08
23,113,53,1e-08
24,1074,545,1e-08
25,209,30,1e-08
26,961,159,1e-08
27,267,90,1e-08
28,811,172,1e-08
29,301,49,1e-08
30,19,4,1e-08
31,2534,375,1e-08
32,19,2,1e-08
33,874,103,1e-08
34,711,97,1e-08
35,627,32,1e-08
36,689,81,1e-08
37,1543,279,1e-08
38,1124,230,1e-08
39,618,125,1e-08
40,130,28,1e-08
41,309,56,1e-08
42,331,102,1e-08
43,451,22,1e-08
44,1584,143,1e-08
45,150,47,1e-08
46,306,140,1e-08
47,1127,265,1e-08
48,1127,129,1e-08
49,143,15,1e-08
50,547,94,1e-08
51,2068,681,1e-08
52,973,62,1e-08
53,145,38,1e-08
54,415,142,1e-08
55,195,62,1e-08
56,129,25,1e-08
57,363,20,1e-08
58,249,33,1e-08
59,380,65,1e-08
60,258,28,1e-08
61,1818,97,1e-08
62,970,70,1e-08
63,227,50,1e-08
64,501,147,1e-08
65,838,107,1e-08
66,1014,422,1e-08
67,963,368,1e-08
68,1204,233,1e-08
69,114,42,1e-08
70,260,68,1e-08
71,841,224,1e-08
72,510,132,1e-08
73,2085,905,1e-08
74,160,52,1e-08
75,235,92,1e-08
76,1784,179,1e-08
77,157,55,1e-08
78,1052,195,1e-08
79,216,78,1e-08
80,1914,685,1e-08
81,1249,515,1e-08
82,638,41,1e-08
83,88,24,1e-08
84,1482,294,1e-08
85,1349,324,1e-08
86,2649,694,1e-08
87,1307,697,1e-08
88,432,48,1e-08
89,1029,295,1e-08
90,511,138,1e-08
91,879,246,1e-08
92,274,186,1e-08
93,392,245,1e-08
94,823,345,1e-08
95,162,54,1e-08
96,957,269,1e-08
97,56,38,1e-08
98,1015,76,1e-08
99,159,90,1e-08
100,134,74,1e-08
101,554,265,1e-08
102,843,224,1e-08
103,143,66,1e-08
104,1244,149,1e-08
105,2145,966,1e-08
106,896,269,1e-08
107,477,47,1e-08
108,32,18,1e-08
109,394,36,1e-08
110,1565,980,1e-08
111,1011,173,1e-08
112,19,14,1e-08
113,554,9,1e-08
114,2319,1590,1e-08
115,967,453,1e-08
116,252,12,1e-08
117,184,109,1e-08
118,754,144,1e-08
119,133,28,1e-08
120,862,277,1e-08
121,395,300,1e-08
122,512,52,1e-08
123,47,4,1e-08
124,987,543,1e-08
125,943,155,1e-08
126,854,257,1e-08
127,539,154,1e-08
128,1126,206,1e-08
129,889,201,1e-08
130,409,71,1e-08
131,511,144,1e-08
132,361,160,1e-08
133,57,47,1e-08
134,425,86,1e-08
135,1461,854,1e-08
136,1438,360,1e-08
137,24,7,1e-08
138,45,34,1e-08
139,1630,287,1e-08
140,499,158,1e-08
141,414,159,1e-08
142,372,86,1e-08
143,1082,371,1e-08
144,452,41,1e-08
145,472,260,1e-08
146,549,121,1e-08
147,910,258,1e-08
148,956,230,1e-08
149,102,56,1e-08
150,365,86,1e-08
151,1484,1175,1e-08
152,644,80,1e-08
153,39,19,1e-08
154,841,80,1e-08
155,529,31,1e-08
156,19,19,1e-08
157,1773,37,1e-08
158,2518,819,1e-08
159,208,71,1e-08
160,1968,949,1e-08
161,363,62,1e-08
162,592,149,1e-08
163,896,319,1e-08
164,254,22,1e-08
165,610,104,1e-08
166,71,52,1e-08
167,321,109,1e-08
168,1135,551,1e-08
169,208,19,1e-08
170,144,85,1e-08
171,102,34,1e-08
172,632,392,1e-08
173,754,23,1e-08
174,388,145,1e-08
175,508,12,1e-08
176,214,50,1e-08
177,323,135,1e-08
178,51,36,1e-08
179,450,26,1e-08
180,476,297,1e-08
181,668,294,1e-08
182,1018,541,1e-08
183,1927,1212,1e-08
184,258,21,1e-08
185,793,645,1e-08
186,212,78,1e-08
187,823,75,1e-08
188,1095,57,1e-08
189,636,462,1e-08
190,430,46,1e-08
191,1455,569,1e-08
192,42,22,1e-08
193,1592,914,1e-08
194,1463,943,1e-08
195,1201,447,1e-08
196,67,19,1e-08
197,123,82,1e-08
198,255,35,1e-08
199,949,364,1e-08
200,484,234,1e-08
201,283,64,1e-08
202,310,54,1e-08
203,335,93,1e-08
204,340,51,1e-08
205,240,144,1e-08
206,722,300,1e-08
207,676,209,1e-08
208,849,429,1e-08
209,1974,989,1e-08
210,491,72,1e-08
211,1019,732,1e-08
212,16,6,1e-08
213,867,376,1e-08
214,420,324,1e-08
215,1144,213,1e-08
216,444,152,1e-08
217,770,277,1e-08
218,1666,1230,1e-08
219,3354,1818,1e-08
220,143,23,1e-08
221,608,75,1e-08
222,1144,835,1e-08
223,307,132,1e-08
224,77,45,1e-08
225,502,262,1e-08
226,1553,1055,1e-08
227,459,90,1e-08
228,457,408,1e-08
229,449,384,1e-08
230,356,56,1e-08
231,105,69,1e-08
232,389,236,1e-08
233,608,551,1e-08
234,451,232,1e-08
235,254,30,1e-08
236,304,60,1e-08
237,102,74,1e-08
238,1599,579,1e-08
239,19,17,1e-08
240,927,824,1e-08
241,303,23,1e-08
242,802,592,1e-08
243,284,242,1e-08
244,422,247,1e-08
245,724,251,1e-08
246,874,486,1e-08
247,1615,952,1e-08
248,1331,1104,1e-08
249,240,123,1e-08
250,529,252,1e-08
251,50,41,1e-08
252,1717,1485,1e-08
253,826,685,1e-08
254,1156,640,1e-08
255,37,24,1e-08
256,479,370,1e-08
257,444,152,1e-08
258,556,218,1e-08
259,302,112,1e-08
260,1344,676,1e-08
261,1437,862,1e-08
262,670,454,1e-08
263,209,169,1e-08
264,412,269,1e-08
265,141,95,1e-08
266,499,67,1e-08
267,987,643,1e-08
268,1637,1015,1e-08
269,500,464,1e-08
270,861,273,1e-08
271,1,1,1e-08
272,495,372,1e-08
273,289,209,1e-08
274,203,165,1e-08
275,347,283,1e-08
276,254,138,1e-08
277,1154,1050,1e-08
278,997,828,1e-08
279,3588,2701,1e-08
280,1134,847,1e-08
281,113,79,1e-08
282,204,134,1e-08
283,142,88,1e-08
284,941,633,1e-08
285,139,106,1e-08
286,114,80,1e-08
287,277,135,1e-08
288,195,128,1e-08
289,52,41,1e-08
290,1576,864,1e-08
291,303,148,1e-08
292,1279,948,1e-08
293,164,100,1e-08
294,600,284,1e-08
295,165,91,1e-08
296,206,87,1e-08
297,19,19,1e-08
298,215,123,1e-08
299,592,445,1e-08
300,815,410,1e-08
301,785,387,1e-08
302,846,384,1e-08
303,431,251,1e-08
304,1366,766,1e-08
305,766,668,1e-08
306,458,370,1e-08
307,581,455,1e-08
308,469,322,1e-08
309,194,102,1e-08
310,436,313,1e-08
311,769,703,1e-08
312,618,539,1e-08
313,2156,1718,1e-08
314,920,721,1e-08
315,526,437,1e-08
316,364,220,1e-08
317,922,800,1e-08
318,322,141,1e-08
319,499,150,1e-08
320,1415,1314,1e-08
321,594,412,1e-08
322,489,198,1e-08
323,354,334,1e-08
324,1832,1350,1e-08
325,290,188,1e-08
326,645,442,1e-08
327,668,509,1e-08
328,493,139,1e-08
329,206,53,1e-08
330,152,91,1e-08
331,1434,987,1e-08
332,813,201,1e-08
333,502,382,1e-08
334,113,52,1e-08
335,612,567,1e-08
336,316,143,1e-08
337,18,11,1e-08
338,1408,1061,1e-08
339,113,74,1e-08
340,900,367,1e-08
341,208,65,1e-08
342,51,31,1e-08
343,195,71,1e-08
344,2077,876,1e-08
345,71,57,1e-08
346,526,270,1e-08
347,624,567,1e-08
348,195,104,1e-08
349,504,171,1e-08
350,143,38,1e-08
351,430,64,1e-08
352,1074,256,1e-08
353,17,5,1e-08
354,434,84,1e-08
355,84,8,1e-08
356,382,88,1e-08
357,503,133,1e-08
358,372,153,1e-08
359,346,104,1e-08
360,36,30,1e-08
361,466,134,1e-08
362,676,264,1e-08
363,19,12,1e-08
364,204,142,1e-08
365,378,85,1e-08
366,2574,1036,1e-08
367,217,127,1e-08
368,307,127,1e-08
369,93,36,1e-08
370,1665,669,1e-08
371,378,58,1e-08
372,106,60,1e-08
373,396,173,1e-08
374,880,400,1e-08
375,2,1,1e-08
376,711,135,1e-08
377,802,187,1e-08
378,378,64,1e-08
379,1077,495,1e-08
380,277,125,1e-08
381,1226,304,1e-08
382,142,47,1e-08
383,1016,157,1e-08
384,873,193,1e-08
385,665,247,1e-08
386,246,156,1e-08
387,91,19,1e-08
388,1096,762,1e-08
389,840,314,1e-08
390,379,144,1e-08
391,181,104,1e-08
392,453,332,1e-08
393,46,22,1e-08
394,135,75,1e-08
395,709,439,1e-08
396,167,65,1e-08
397,1409,524,1e-08
398,1605,1041,1e-08
399,1206,503,1e-08
400,169,69,1e-08
401,593,398,1e-08
402,459,188,1e-08
403,734,500,1e-08
404,550,227,1e-08
405,462,179,1e-08
406,1303,301,1e-08
407,2807,874,1e-08
408,504,106,1e-08
409,1577,895,1e-08
410,414,234,1e-08
411,52,44,1e-08
412,1272,713,1e-08
413,2452,1600,1e-08
414,607,267,1e-08
415,315,77,1e-08
416,177,78,1e-08
417,566,262,1e-08
418,506,138,1e-08
419,793,377,1e-08
420,1456,324,1e-08
421,1802,1151,1e-08
422,20,19,1e-08
423,193,92,1e-08
424,195,138,1e-08
425,71,56,1e-08
426,337,211,1e-08
427,254,52,1e-08
428,103,72,1e-08
429,995,775,1e-08
430,312,162,1e-08
431,206,138,1e-08
432,408,171,1e-08
433,1606,1061,1e-08
434,1021,709,1e-08
435,790,613,1e-08
436,718,591,1e-08
437,443,247,1e-08
438,553,477,1e-08
439,456,254,1e-08
440,304,99,1e-08
441,51,42,1e-08
442,143,86,1e-08
443,52,29,1e-08
444,527,185,1e-08
445,728,566,1e-08
446,1127,602,1e-08
447,19,18,1e-08
448,161,74,1e-08
449,206,148,1e-08
450,1072,697,1e-08
451,553,363,1e-08
452,144,77,1e-08
453,932,812,1e-08
454,231,48,1e-08
455,559,447,1e-08
456,251,209,1e-08
457,1980,1653,1e-08
458,1120,941,1e-08
459,393,336,1e-08
460,303,92,1e-08
461,445,391,1e-08
462,206,174,1e-08
463,223,202,1e-08
464,414,396,1e-08
465,19,19,1e-08
466,269,232,1e-08
467,142,100,1e-08
468,893,841,1e-08
469,111,79,1e-08
470,338,177,1e-08
471,114,57,1e-08
472,305,32,1e-08
473,1489,680,1e-08
474,195,134,1e-08
475,185,3,1e-08
476,959,170,1e-08
477,670,107,1e-08
478,250,6,1e-08
479,251,44,1e-08
480,402,183,1e-08
481,2167,200,1e-08
482,293,98,1e-08
483,3348,844,1e-08
484,555,128,1e-08
485,348,150,1e-08
486,19,19,1e-08
487,511,124,1e-08
488,42,14,1e-08
489,205,154,1e-08
490,52,36,1e-08
491,529,102,1e-08
492,19,18,1e-08
493,3061,770,1e-08
494,2460,627,1e-08
495,632,57,1e-08
496,496,223,1e-08
497,264,42,1e-08
498,268,91,1e-08
499,530,48,1e-08
500,143,107,1e-08
501,53,40,1e-08
502,112,90,1e-08
503,114,77,1e-08
504,1062,197,1e-08
505,8,6,1e-08
506,371,61,1e-08
507,193,172,1e-08
508,394,267,1e-08
509,114,67,1e-08
510,309,27,1e-08
511,130,48,1e-08
512,954,197,1e-08
513,292,196,1e-08
514,433,93,1e-08
515,53,29,1e-08
516,206,59,1e-08
517,478,212,1e-08
518,19,17,1e-08
519,115,23,1e-08
520,910,561,1e-08
521,504,159,1e-08
522,369,186,1e-08
523,417,42,1e-08
524,115,76,1e-08
525,52,41,1e-08
526,1809,483,1e-08
527,52,42,1e-08
528,52,35,1e-08
529,304,203,1e-08
530,1253,520,1e-08
531,94,29,1e-08
532,146,103,1e-08
533,162,113,1e-08
534,52,25,1e-08
535,305,37,1e-08
536,1420,392,1e-08
537,927,363,1e-08
538,52,22,1e-08
539,915,281,1e-08
540,715,423,1e-08
541,251,21,1e-08
542,1135,752,1e-08
543,72,66,1e-08
544,252,28,1e-08
545,662,256,1e-08
546,51,30,1e-08
547,133,103,1e-08
548,942,252,1e-08
549,439,177,1e-08
550,50,43,1e-08
551,612,123,1e-08
552,132,67,1e-08
553,575,58,1e-08
554,179,124,1e-08
555,19,18,1e-08
556,1142,443,1e-08
557,630,204,1e-08
558,1056,465,1e-08
559,1908,481,1e-08
560,566,251,1e-08
561,471,235,1e-08
562,526,332,1e-08
563,655,251,1e-08
564,209,139,1e-08
565,656,329,1e-08
566,37,36,1e-08
567,19,16,1e-08
568,549,376,1e-08
569,929,569,1e-08
570,449,357,1e-08
571,317,52,1e-08
572,1074,504,1e-08
573,941,276,1e-08
574,197,135,1e-08
575,115,79,1e-08
576,611,399,1e-08
577,1243,886,1e-08
578,480,282,1e-08
579,538,308,1e-08
580,1332,783,1e-08
581,250,171,1e-08
582,443,218,1e-08
583,175,147,1e-08
584,302,205,1e-08
585,143,63,1e-08
586,204,143,1e-08
587,310,212,1e-08
588,1325,744,1e-08
589,242,166,1e-08
590,653,447,1e-08
591,581,324,1e-08
592,1005,693,1e-08
593,193,134,1e-08
594,2575,1095,1e-08
595,207,142,1e-08
596,217,158,1e-08
597,205,141,1e-08
598,1057,653,1e-08
599,205,145,1e-08
600,250,174,1e-08
601,476,340,1e-08
602,325,227,1e-08
603,670,454,1e-08
604,243,181,1e-08
605,735,415,1e-08
606,161,111,1e-08
607,39,27,1e-08
608,1037,734,1e-08
609,211,157,1e-08
610,308,217,1e-08
611,191,150,1e-08
612,1072,746,1e-08
613,653,463,1e-08
614,1028,719,1e-08
615,249,173,1e-08
616,382,301,1e-08
617,1629,484,1e-08
618,1376,644,1e-08
619,766,531,1e-08
620,1059,796,1e-08
621,90,79,1e-08
622,656,470,1e-08
623,485,356,1e-08
624,272,191,1e-08
625,302,214,1e-08
626,659,485,1e-08
627,1150,643,1e-08
628,1184,495,1e-08
629,141,99,1e-08
630,332,247,1e-08
631,334,287,1e-08
632,114,90,1e-08
633,2511,1920,1e-08
634,252,172,1e-08
635,649,540,1e-08
636,419,304,1e-08
637,450,319,1e-08
638,357,270,1e-08
639,1507,1126,1e-08
640,253,182,1e-08
641,370,313,1e-08
642,466,311,1e-08
643,204,146,1e-08
644,162,148,1e-08
645,1203,921,1e-08
646,349,254,1e-08
647,643,485,1e-08
648,608,457,1e-08
649,706,389,1e-08
650,320,221,1e-08
651,305,291,1e-08
652,744,568,1e-08
653,459,341,1e-08
654,142,95,1e-08
655,1002,750,1e-08
656,200,156,1e-08
657,59,52,1e-08
658,1470,1101,1e-08
659,955,680,1e-08
660,136,131,1e-08
661,206,153,1e-08
662,414,333,1e-08
663,3500,2456,1e-08
664,19,19,1e-08
665,556,448,1e-08
666,143,107,1e-08
667,119,109,1e-08
668,1402,1010,1e-08
669,1021,807,1e-08
670,396,292,1e-08
671,165,165,1e-08
672,1354,1005,1e-08
673,367,283,1e-08
674,19,19,1e-08
675,852,646,1e-08
676,300,218,1e-08
677,194,159,1e-08
678,308,227,1e-08
679,302,223,1e-08
680,1725,1278,1e-08
681,1087,801,1e-08
682,558,402,1e-08
683,1905,1367,1e-08
684,20,20,1e-08
685,448,319,1e-08
686,52,38,1e-08
687,505,357,1e-08
688,525,360,1e-08
689,841,631,1e-08
690,333,223,1e-08
691,866,618,1e-08
692,203,143,1e-08
693,205,144,1e-08
694,306,216,1e-08
695,1441,827,1e-08
696,250,175,1e-08
697,103,103,1e-08
698,260,196,1e-08
699,1240,451,1e-08
700,971,705,1e-08
701,448,267,1e-08
702,1451,887,1e-08
703,258,198,1e-08
704,20,20,1e-08
705,665,471,1e-08
706,254,186,1e-08
707,1252,898,1e-08
708,248,198,1e-08
709,254,186,1e-08
710,245,209,1e-08
711,130,100,1e-08
712,662,482,1e-08
713,18,18,1e-08
714,19,19,1e-08
715,19,19,1e-08
716,1748,1275,1e-08
717,1060,805,1e-08
718,1072,814,1e-08
719,1767,1055,1e-08
720,19,19,1e-08
721,290,218,1e-08
722,908,670,1e-08
723,52,36,1e-08
724,52,46,1e-08
725,1017,639,1e-08
726,806,583,1e-08
