episode,steps,actions,episode_reward
1,1989,1155,1e-08
2,442,251,1e-08
3,515,300,1e-08
4,1840,1044,1e-08
5,603,366,1e-08
6,105,78,1e-08
7,20,12,1e-08
8,117,77,1e-08
9,1723,1024,1e-08
10,1314,690,1e-08
11,306,158,1e-08
12,414,201,1e-08
13,380,213,1e-08
14,232,108,1e-08
15,525,274,1e-08
16,311,150,1e-08
17,642,338,1e-08
18,138,70,1e-08
19,569,290,1e-08
20,701,338,1e-08
21,342,178,1e-08
22,39,23,1e-08
23,677,345,1e-08
24,536,285,1e-08
25,586,297,1e-08
26,880,446,1e-08
27,444,246,1e-08
28,556,298,1e-08
29,681,316,1e-08
30,525,162,1e-08
31,423,162,1e-08
32,1157,196,1e-08
33,268,111,1e-08
34,170,32,1e-08
35,972,258,1e-08
36,607,49,1e-08
37,454,159,1e-08
38,800,87,1e-08
39,398,44,1e-08
40,248,23,1e-08
41,19,1,1e-08
42,251,21,1e-08
43,1353,357,1e-08
44,1558,362,1e-08
45,531,145,1e-08
46,1008,58,1e-08
47,608,128,1e-08
48,113,16,1e-08
49,910,210,1e-08
50,319,61,1e-08
51,19,1,1e-08
52,298,9,1e-08
53,297,8,1e-08
54,824,122,1e-08
55,114,34,1e-08
56,805,93,1e-08
57,139,27,1e-08
58,53,20,1e-08
59,724,392,1e-08
60,459,105,1e-08
61,494,142,1e-08
62,3016,610,1e-08
63,273,90,1e-08
64,1970,450,1e-08
65,196,84,1e-08
66,138,24,1e-08
67,207,66,1e-08
68,19,3,1e-08
69,253,64,1e-08
70,944,173,1e-08
71,512,32,1e-08
72,252,43,1e-08
73,1706,140,1e-08
74,223,58,1e-08
75,495,142,1e-08
76,1100,312,1e-08
77,759,353,1e-08
78,494,188,1e-08
79,479,115,1e-08
80,642,27,1e-08
81,915,186,1e-08
82,862,253,1e-08
83,55,9,1e-08
84,256,69,1e-08
85,197,37,1e-08
86,2089,578,1e-08
87,158,39,1e-08
88,497,141,1e-08
89,861,452,1e-08
90,18,12,1e-08
91,160,60,1e-08
92,548,91,1e-08
93,1412,388,1e-08
94,1589,445,1e-08
95,251,8,1e-08
96,70,41,1e-08
97,193,78,1e-08
98,826,190,1e-08
99,112,12,1e-08
100,51,13,1e-08
