episode,steps,actions,episode_reward
1,3102,1753,2912.3112659405765
2,1117,642,713.1723541999692
3,305,170,287.72637789775274
4,256,136,242.94687125986434
5,52,15,124.7515129861164
6,18,13,1.56985911967704e-06
7,51,26,118.53152891563488
8,820,478,755.2913461762557
9,682,386,550.3371879948971
10,1159,674,910.1069239892732
11,304,162,289.77629889125984
12,568,319,530.5261759586875
13,144,77,136.83547675344076
14,276,161,171.68099464151743
15,1146,665,683.9167488283986
16,508,294,469.2029553657573
17,388,231,289.09497857667793
18,969,521,1055.7340545907891
19,747,423,741.7196288216804
20,1789,960,1697.6309870057273
21,142,86,129.91498369584312
22,202,112,189.74829384739323
23,303,156,360.98985655004526
24,956,2,3.244376011935204
25,1565,3,105.6418719427039
26,1288,1,4.8739635013216205
27,838,3,10.895697991974359
28,305,1,48.75859741892794
29,749,1,11.375390748374409
30,1184,1,3.248606689558423
31,665,4,134.17234582295043
32,207,3,8.299597481153096
33,294,6,123.20846423073122
34,70,30,127.9328645968757
35,524,2,33.64760664109596
36,1851,5,49.7730634305792
37,514,3,41.165969695382785
38,337,3,108.16874377870724
39,460,1,14.626104371900803
40,349,1,42.25717017187515
41,19,8,6.402113752093315e-05
42,502,4,32.13605707186854
43,143,1,19.502174807190393
44,566,27,146.40021761253976
45,70,43,123.89011415720758
46,553,1,6.499320313084818
47,943,3,7.542508534558468
48,119,62,99.14850250785807
49,533,338,481.3347736245858
50,269,172,228.42969808814686
51,1054,696,526.2283107640792
52,1098,676,1100.6138241795397
53,251,153,236.5564319995238
54,1370,901,1158.9166225025913
55,700,437,628.300040896526
56,1693,1008,898.5905893155667
57,123,44,253.28154785944668
58,224,132,125.93622572209993
59,283,43,137.6917285863376
60,1822,19,364.6715548205025
61,251,1,100.77001539535026
62,210,1,3.248606689558423
63,155,7,5.037801347734358
64,184,26,230.1016888540725
65,374,1,27.62895886600638
66,545,3,155.55245423889892
67,256,3,32.67994965760106
68,303,3,4.507098215862164
69,113,3,155.66528170983952
70,1750,4,157.28853157763476
71,193,23,140.94902718487432
72,255,1,34.13038611305917
73,415,3,10.286144682915847
74,488,4,179.32114616232042
75,568,3,7.503649358940892
76,453,1,191.7899968540893
77,103,37,286.3988669303194
78,607,1,30.879672489532773
79,1082,28,441.4898921772936
80,410,0,666.3962928329162
81,932,1,1085.7362433238636
82,716,36,1180.7545271106555
83,98,0,159.28496756279333
84,188,0,305.56708062148107
85,113,0,183.66531973924128
86,113,0,183.66531973924128
87,163,3,187.24110446383077
88,1718,27,2838.6950511225014
89,905,25,1486.6125098107752
90,303,0,492.48311397424874
91,430,3,511.0121812728304
92,252,0,409.5899165743257
93,303,0,492.48311397424874
94,1110,131,1954.5350602154767
95,52,31,147.31541120678196
96,137,1,222.66058449495654
97,1017,57,1315.0695723759059
98,610,0,991.467655185567
99,761,4,1157.7958359736413
100,1639,25,507.7202657577999
101,186,55,412.53015381414264
102,955,4,1519.7086191987225
103,471,38,731.4723779792292
104,142,0,230.800667280374
105,19,3,2.1159427884815562e-07
106,2708,144,3900.999156100095
107,622,32,1047.2166169964535
108,53,28,149.50653554535626
109,138,1,224.28594130671974
110,38,4,2.2318414100439623e-06
111,1393,0,2264.1220387961084
112,549,59,1006.6915090953744
113,204,0,331.5727896096922
114,360,0,585.1284522447535
115,946,0,1537.5875439379845
116,1163,11,1415.8371799999798
117,239,0,388.4602780214041
118,1394,26,2313.375531652672
119,301,0,489.23240035072234
120,2482,1,2902.8851588750545
121,1487,4,2168.0453900201514
122,1005,39,1373.2271393426715
123,541,74,868.805895026769
124,364,0,591.6298794918065
125,498,31,869.0263431499953
126,421,1,684.2619190357105
127,445,0,723.2837812446301
128,1062,41,1680.1284080688413
129,1353,40,2221.9471492621074
130,704,0,1144.2511954913045
131,467,42,639.0451999689554
132,608,30,1044.6624896726387
133,270,4,407.96456043841573
134,336,4,441.55526724812535
135,302,0,490.85775716248554
136,205,0,333.1981464214554
137,949,43,1593.0617250480004
138,249,38,457.323565524645
139,1038,34,1743.964403139939
140,251,0,407.9645597625625
141,766,0,1245.0233178206192
142,1550,43,2538.1598064363284
143,113,0,183.66531973924128
144,839,0,1363.6743650793285
145,273,4,360.8292124508658
146,303,0,492.48311397424874
147,2851,75,4742.168457268151
148,678,4,1069.4847835636
149,615,79,1099.7316980887488
150,525,45,782.5031671288959
151,205,0,333.1981464214554
152,731,5,744.9046200714619
153,454,0,737.9119925504993
154,898,0,1459.5704169733538
155,514,0,835.4334012562946
156,611,45,1045.3020599224346
157,322,9,280.0021842878629
158,163,47,311.29362412698134
159,254,1,412.8273314712506
160,503,0,817.5544763268988
161,100,0,162.53568118631972
162,36,0,58.5128452334751
163,115,0,186.91603336276768
164,359,0,583.5030954329902
165,844,0,1371.8011491381442
166,1394,85,2349.5984809345273
167,1324,105,1854.8830007257122
168,921,1,884.1919986652242
169,584,1,948.1115081359982
170,1138,56,786.1294926064767
171,52,46,121.90153897045244
172,1817,24,1760.92469360339
173,1033,42,1719.5181717007954
174,383,1,622.4983601887069
175,324,0,526.6156070212763
176,1064,1,789.9213035829555
177,1090,15,1119.0100308463975
178,1077,3,264.9311533834332
179,671,49,1127.6418882069283
180,253,0,411.2152733860889
181,548,49,920.0342686605213
182,416,13,559.1596250564845
183,1296,17,440.1139235524654
184,677,0,1100.3665615736998
185,1043,1,367.32853252451457
186,573,61,545.1741548159748
187,306,0,497.35918440953833
188,325,60,474.8628272570523
189,337,0,547.7452455741986
190,204,0,331.5727896096922
191,549,14,701.1459427850898
192,284,0,461.601334550748
193,250,0,406.3392029507993
194,530,51,194.29418051173974
195,787,80,898.6582054633171
196,446,132,493.0078259963023
197,250,0,406.3392029507993
198,544,80,176.799216542126
199,205,0,333.1981464214554
200,434,1,4.8739635013216205
201,303,3,62.91681566754018
202,526,14,687.7815423995805
203,367,1,476.2274389126488
204,252,1,364.24722193142276
205,904,0,1469.3225578439326
206,1193,16,1915.5682474206058
207,482,67,691.3909389162716
208,446,1,723.2838312446302
209,1044,1,186.91392641879972
210,492,3,80.79574059693535
211,475,48,426.38193727111
212,478,0,776.9205560328174
213,1436,180,2420.1115862153597
214,1700,52,892.8060551239806
215,1531,3,2486.325978950402
216,455,1,737.9120425504995
217,904,1,227.54784671287965
218,404,3,654.5488520933169
219,1241,68,1943.9347980974387
220,163,16,240.07524194480766
221,721,2,1170.95813283691
222,786,2,541.2417613831777
223,2387,75,3070.2197137171283
224,922,53,1558.7834472798866
225,549,186,1038.165440801108
226,657,2,1064.6088117149106
227,19,13,7.83605707689498
228,762,2,1238.0518975163102
229,224,51,161.437377350758
230,369,0,599.7566635506228
231,250,108,264.4772686632837
232,811,99,780.7031690439984
233,1366,1,2218.6120980667406
234,886,1,1438.440828420433
235,12,0,19.504281751158366
236,230,0,373.83206671553535
237,225,0,365.70528265671936
238,871,1,1414.060476243986
239,114,1,183.6653697392413
240,364,1,590.0045726800433
241,141,1,227.55000365684762
242,1263,116,1907.860127013902
243,1243,464,1046.9506884087505
244,51,51,134.32313111280092
245,447,1,726.5211961415552
246,431,1,698.9034790681814
247,224,86,378.52337499509485
248,204,0,331.5727896096922
249,482,23,753.7704517579572
250,1232,92,1570.6559697610887
251,703,0,1142.6258386795414
252,550,1,892.3209396680086
253,696,50,1189.1728744142815
254,529,16,466.49469577235135
255,656,1,1064.6087617149108
256,222,130,271.2614875552237
257,608,385,502.22836211024213
258,651,146,870.9535721924469
259,139,1,224.29929003332123
260,1696,964,912.0266702481093
261,327,233,487.53099923973434
262,361,45,338.22324983109473
263,205,0,333.1981464214554
264,394,131,548.5162883923132
265,384,18,602.9075833936998
266,353,50,629.3286950811461
267,460,1,746.0388266093157
268,1451,83,1642.2280344977391
269,1095,103,1439.1589077290976
270,998,18,1320.311253601439
271,684,18,1002.5721904457665
272,560,102,1030.0812189291373
273,418,1,679.3858486004208
274,208,1,336.44891004498186
275,587,154,1108.3666212159362
276,400,16,626.8401587998948
277,19,16,11.276916714725518
278,348,1,563.9988636918313
279,19,12,12.849351304279757
280,458,1,742.7881129857892
281,2129,161,3181.171640108877
282,347,1,562.373506880068
283,500,161,738.2441836699342
284,304,2,493.6384777287554
285,407,0,661.5202223976264
286,305,52,550.1860912058645
287,302,51,548.03821471177
288,419,1,681.011205412184
289,751,1,1219.017658832409
290,303,52,548.803086871037
291,113,1,182.0400129274781
292,419,1,679.3991973270223
293,31,1,48.760754362895916
294,1456,84,2066.5764926453703
295,395,80,363.0775532361053
296,795,1,1290.5333585499873
297,280,49,514.1776427822584
298,142,1,230.78736855377252
299,1492,104,2530.9128312988014
300,205,1,333.18484769485394
301,51,50,133.89113962325106
302,734,27,1055.1309342629806
303,671,1,1088.9891138913579
304,1350,223,1963.1045648820307
305,52,52,140.3271881697787
306,267,12,218.78054877410625
307,2079,359,2776.762662198027
308,249,52,460.2694743213771
309,1494,154,2576.210992730481
310,289,25,253.9452073860455
311,19,18,18.65437581706493
312,531,2,861.4258615179052
313,112,1,180.4146561157149
314,1790,784,1747.235864509475
315,1908,168,3222.9144139711866
316,38,28,48.87461254826622
317,860,1,1397.793559399753
318,1526,15,1470.2457846158914
319,1184,82,1884.5926387673205
320,1455,42,1538.5292741357453
321,778,17,746.2026033868168
322,250,1,404.71389613903614
323,605,2,980.0902575032243
324,141,1,227.55000365684762
325,113,1,182.0400129274781
326,916,14,1169.7457632281048
327,20,15,12.491400600170088
328,186,71,338.36024248095197
329,411,52,717.3016845243535
330,19,14,9.84586118528042
331,548,2,887.4449192327188
332,411,1,666.3963428329163
333,554,1,898.8223669150616
334,52,52,128.57416712052856
335,416,15,656.7377812812822
336,812,54,1367.7034122177042
337,214,101,432.5259511393067
338,251,1,406.33925295079933
339,362,1,586.7538590565168
340,901,1,1462.8211805968801
341,585,52,993.1816947774679
342,202,1,326.6967691744027
343,668,1,1084.1130434560685
344,493,53,844.718572429107
345,1137,120,1498.24016542108
346,303,1,437.9300639858023
347,223,16,340.4522286156792
348,281,1,455.09995730369525
349,455,1,737.9120425504995
350,643,67,608.950462642386
351,266,117,328.4818205556921
352,103,103,170.47199235957518
353,205,1,333.18484769485394
354,360,56,625.2040729992584
355,1066,18,982.0742139818482
356,761,1,1235.2712269500405
357,523,2,846.8109989386375
358,277,71,411.13358289428555
359,575,17,508.9077388575286
360,256,53,449.1842886998696
361,195,53,354.40035098698013
362,309,1,502.22195611822644
363,297,1,481.1056662919064
364,340,99,345.454615133633
365,62,1,99.14681552755503
366,232,1,375.4574735272986
367,556,52,937.4741022847858
368,268,19,230.20839514751668
369,51,51,121.45203235192652
370,708,156,1257.8241912017495
371,410,1,664.770986021153
372,300,2,484.3564299154328
373,417,67,690.486773858605
374,515,2,836.5887650108014
375,19,17,10.617246473459751
376,1084,68,1774.5019203392387
377,113,2,183.19532668198474
378,942,78,1539.5384822663182
379,245,15,217.2296904947564
380,515,114,672.3167332701421
381,1168,100,1973.777590614874
382,253,1,411.2019746594874
383,305,1,494.108520786012
384,20,17,10.768307733293275
385,507,2,823.5859105166953
386,1372,118,1984.2499338811842
387,149,16,222.0156284435603
388,254,1,411.2153233860889
389,416,52,717.3889411227519
390,52,52,126.81678099688784
391,207,1,336.43556131838034
392,1015,130,1521.1010744074647
393,205,1,296.34342631268083
394,294,2,474.6042890448536
395,52,52,124.55929468000399
396,877,1,1425.4246251997263
397,1845,128,2384.262935255573
398,142,1,229.17536046861082
399,417,53,718.6677278121126
400,412,1,668.0216996446795
401,431,33,381.6811151651632
402,162,52,305.2926746034908
403,444,1,721.6451257062654
404,1545,53,2536.0395162015607
405,507,16,464.9901363361778
406,574,1,931.3295031503267
407,44,1,69.89039291581749
408,272,18,418.5925675586029
409,19,17,16.511993097317028
410,164,52,305.10452369567855
411,3186,160,5319.6438175832145
412,225,16,188.35326400460804
413,1381,54,2293.312271900582
414,1969,136,3263.727288276586
415,265,18,407.6478244475407
416,620,52,1061.4339120013387
417,112,1,180.4146561157149
418,206,1,333.19819642145546
419,20,18,13.195483955749731
420,206,1,334.81020450661714
421,258,52,473.7243136211987
422,374,53,663.1599464253416
423,679,1,1103.6039764706245
424,469,1,760.667037915185
425,1014,52,1706.9143228108571
426,609,1,988.2169915620406
427,773,67,1290.7416751699875
428,644,1,1046.7164880589146
429,412,14,455.59313259718016
430,269,16,156.2692100489908
431,365,171,295.1284396131585
432,600,152,1057.8285381651176
433,750,1,1219.0043101058075
434,2031,80,2415.3681017509443
435,1543,157,2674.554893017904
436,521,1,845.1855921268742
437,85,52,193.30006843143846
438,367,1,596.4926512004948
439,649,1,1053.2312640325688
440,115,1,185.2907265510045
441,408,1,661.5202723976265
442,1108,2,1797.6447338200871
443,568,1,921.5773622797471
444,359,52,646.3359803991762
445,1106,12,1141.8501052485572
446,144,1,232.4260740921372
447,405,54,713.6380241979095
448,685,298,624.3199659655119
449,621,1,1007.7212733031996
450,1071,116,1563.7955601855235
451,556,1,902.0730805385881
452,651,75,1019.3362142284348
453,144,1,232.4260740921372
454,958,374,1120.7804776181497
455,150,52,297.86050449568063
456,161,126,49.34198006409951
457,160,64,100.52797141048495
458,1864,52,2021.3158644670957
459,918,54,1552.070127532912
460,930,63,1099.565051647432
461,1496,157,2594.625579380326
462,143,1,232.41272536553572
463,1239,1,2012.1917829728216
464,142,1,229.17536046861082
465,600,132,917.3855693545096
466,603,1,978.464850691461
467,255,1,412.8406801978521
468,574,255,438.2225489509677
469,166,53,328.62861122976494
470,571,1,926.4534327150369
471,28,1,43.884683927606325
472,319,1,516.8635161506969
473,339,1,549.370652385962
474,249,1,403.08853932727294
475,1868,1110,1158.3436903158713
476,143,1,230.80071728037402
477,303,1,490.8578071624856
478,113,1,182.0400129274781
479,303,1,490.8578071624856
480,184,68,336.9148422587146
481,934,12,1491.9210579516448
482,1759,56,2745.8665198589224
483,404,27,340.3376610468009
484,112,1,180.4146561157149
485,252,1,407.96460976256253
486,947,2,1535.9622871262213
487,1130,1,1835.0278904906393
488,641,1,1040.2284095384637
489,734,14,1015.4957273389612
490,52,52,140.27628253509607
491,976,14,1565.2447644388246
492,134,15,194.435873605794
493,227,18,197.5485927061859
494,114,1,183.6653697392413
495,51,51,132.04268888401236
496,978,2,1587.9603563760404
497,510,211,1065.488460968951
498,19,13,9.320219097894478
499,287,169,613.5347694867887
500,1388,3,2253.899954868273
501,826,1,1340.9194197146446
502,1497,781,1040.9924645666363
503,193,53,367.6829022882136
504,391,1,633.8892065976512
505,205,50,273.69452529568605
506,585,419,178.20890494195132
507,538,131,447.80791130668774
508,295,25,260.29898017981793
509,261,1,422.5928210684313
510,308,52,556.6613698744999
511,456,1,739.5373993622627
512,1919,1063,1280.8914426817046
513,510,1,828.9186752826402
514,306,51,555.277364815832
515,380,11,590.6133390336245
516,1303,690,1112.1842699529998
517,274,68,476.8074048714038
518,245,15,217.19971250834243
519,152,102,83.48914059778731
520,670,52,1138.9802001870773
521,143,1,230.80071728037402
522,360,155,737.4231782801614
523,715,2,1160.4915148823345
524,607,1,984.966277938514
525,19,14,12.47073567271475
526,21,12,6.213502547208365
527,1128,52,1886.7369756757707
528,223,13,191.9953656697917
529,295,1,477.85495266838
530,860,1,1396.1815513145914
531,4526,587,6146.336668135846
532,71,64,135.62454136690909
533,1104,106,1889.2184389975168
534,1224,383,1291.3297854354894
535,18,13,14.811544707439367
536,1023,25,767.731031131524
537,879,606,501.91788862502165
538,1121,536,845.198090803498
539,1017,545,1277.2612068322696
540,1636,3,2656.9884441855315
541,832,13,1150.6439964119108
542,256,53,458.5155058660661
543,1265,697,1344.075000315224
544,19,14,9.532312998473351
545,596,1,967.0873530091183
546,1506,478,1636.4924226523633
547,612,26,672.11559053176
548,1002,587,943.6085013356644
549,138,2,223.82924697606467
550,251,1,406.33925295079933
551,524,67,693.781690044269
552,195,52,352.2773234991222
553,515,262,547.1278730109385
554,660,16,789.1565922064192
555,192,52,343.5627466178808
556,722,53,1208.2615250214428
557,604,53,1016.2001172580556
558,114,1,183.6653697392413
559,144,1,232.4260740921372
560,1182,378,1262.875782215081
561,339,16,324.765878780727
562,300,52,522.2051096780207
563,205,1,333.18484769485394
564,139,1,224.29929003332123
565,536,1,869.565944303323
566,204,1,329.94748279792907
567,678,15,1076.9311488584626
568,208,1,300.67771113940904
569,207,1,334.82355323321866
570,665,102,1152.857091229178
571,531,306,431.353435342183
572,52,52,118.88510822054427
573,250,1,406.3259042241978
574,19,12,3.8660344593757388
575,323,184,148.58462715306976
576,113,1,182.0400129274781
577,128,1,206.42036510392606
578,1085,1,1761.886833961298
579,981,104,1675.0046758569372
580,142,1,229.17536046861082
581,522,103,929.1546927614903
582,250,1,404.71389613903614
583,208,1,336.44891004498186
584,349,1,565.6242205035945
585,1115,106,1894.7727653969437
586,252,1,407.96460976256253
587,402,166,333.96792012679794
588,605,53,1024.8607976657458
589,515,321,199.88674883991362
590,720,401,793.2360682405061
591,816,164,683.1025497550753
592,1189,231,1439.5029458447154
593,115,1,185.2907265510045
594,114,1,183.6653697392413
595,251,1,406.33925295079933
596,302,52,530.6103451301472
597,67,1,107.27359958637102
598,397,25,437.99839664957733
599,249,1,403.08853932727294
600,721,353,548.9842360824155
601,206,1,333.19819642145546
602,427,15,537.4426209424201
603,144,1,232.4260740921372
604,195,52,346.9190540435406
605,611,86,998.9107409483245
606,338,235,147.90521119633644
607,940,233,937.4082424047093
608,1528,123,2434.577497397183
609,243,19,297.2087341777963
610,140,1,225.92464684508442
611,473,18,423.80764727053935
612,203,1,328.3221259861659
613,224,19,205.2641425926242
614,583,20,923.7995071969264
615,50,48,132.74252041629157
616,552,53,955.0911601077516
617,161,18,241.235921961183
618,775,1,1258.0262223147245
619,113,1,182.0400129274781
620,339,19,534.8779444881121
621,161,19,127.84975802640743
622,227,1,367.3306894684826
623,637,1,1033.726982291411
624,358,52,635.3080907673497
625,316,1,511.98744571540715
626,435,18,684.2302568179309
627,1342,141,2082.3238396582606
628,1927,20,2052.8776632206136
629,410,105,774.3025987248643
630,105,105,285.51967703931444
631,576,18,689.814654161557
632,901,1,1462.8211805968801
633,136,18,116.54691393221808
634,302,51,542.6654591613261
635,1237,2,2008.9277706226937
636,1298,71,1326.2479592730663
637,20,1,30.881829433500748
638,296,19,461.64590527231275
639,206,1,333.19819642145546
640,112,1,180.4146561157149
641,1705,54,2824.9297590388346
642,1167,48,1451.3859908458082
643,304,1,494.09517205941046
644,19,18,11.173521669430494
645,641,1,1040.2284095384637
646,1171,69,1647.690691807501
647,256,1,414.4660370096153
648,322,19,499.15865109838967
649,1669,21,2508.5576695075238
650,2132,266,3337.656082315997
651,25,25,72.89960008934466
652,142,1,230.78736855377252
653,505,1,819.1798831386621
654,1266,123,1726.7836965992815
655,52,52,114.2227120677147
656,916,54,1546.8422884073088
657,306,53,554.4820840093871
658,301,1,487.6070935389592
659,439,21,393.70431595102957
660,759,1,1232.0205133265142
661,602,41,856.5734301517485
662,325,18,510.092782010805
663,195,52,377.3871114017322
664,320,69,555.3271660685782
665,1282,86,2021.5909266443005
666,451,2,729.7853084916832
667,72,71,162.58057929607213
668,351,1,570.4869422122828
669,829,19,1324.6375614996564
670,143,1,230.80071728037402
671,304,1,492.4831639742488
672,415,20,647.6951536822995
673,341,1,552.6213660094885
674,18,18,6.759763915977537
675,590,22,748.5649449033356
676,987,1,1602.6018664085102
677,735,91,932.8043614891006
678,955,53,1613.7861069229664
679,205,1,331.57283960969227
680,141,1,227.55000365684762
681,697,1,1131.2483909971995
682,414,2,669.6471064564428
683,18,18,8.34306197298171
684,355,52,640.053626380626
685,19,19,10.34035585845202
686,1442,19,1268.8308507624272
687,321,1,520.1142297742234
688,546,2,884.1942056091923
689,554,1,898.8223669150616
690,362,1,586.7538590565168
691,508,1,824.0559535739519
692,792,54,1344.0400539136563
693,291,1,471.3535254213272
694,227,1,367.3306894684826
695,51,51,135.86064729174296
696,303,1,492.46981524764726
697,444,1,720.0331176211037
698,1297,93,1389.009443664835
699,250,1,404.71389613903614
700,52,52,128.68444139185337
701,498,53,854.5471090113364
702,302,1,489.2324503507224
703,2484,127,3845.6556341857504
704,52,52,138.5590449295957
705,721,53,1220.7348709573143
706,1526,90,2291.514646444024
707,1147,1,1862.6589562906127
708,19,18,12.628986718500341
709,336,20,568.8889719576667
710,643,70,730.9409870063836
711,19,19,9.22129791952332
712,144,2,233.58138784664385
713,512,52,881.9423171312404
714,2086,160,3567.5733514203284
715,558,1,905.3237941621146
716,2567,231,3927.6185182029476
717,1227,2,1991.0621944199008
718,142,1,229.17536046861082
719,206,0,334.8235032332186
720,1896,73,2549.534134998668
721,96,53,208.73424931563662
722,626,105,1122.8512653230437
723,693,72,1128.1639647583331
724,384,20,419.8747059694898
725,717,40,981.2251428878537
726,350,1,568.8615854005195
727,1164,104,1995.312796689581
728,250,1,404.71389613903614
729,438,20,693.7471263956251
730,775,74,1275.6118050225634
731,709,1,1150.7526727383572
732,1578,105,2662.567500237098
733,720,37,645.4663970348312
734,814,51,1372.9953275295684
735,686,19,974.045693125725
736,304,23,319.31077665001635
737,143,1,230.80071728037402
738,225,1,364.0799758449562
739,641,106,1134.0333983721098
740,305,1,495.72052887117366
741,254,1,411.2153233860889
742,252,1,407.96460976256253
743,1156,2,1875.6618607847176
