episode,steps,actions,episode_reward
1,763,419,1e-08
2,2142,1209,1e-08
3,1086,604,1e-08
4,666,383,1e-08
5,235,151,1e-08
6,828,482,1e-08
7,252,135,1e-08
8,165,90,1e-08
9,271,163,1e-08
10,408,217,1e-08
11,1620,940,1e-08
12,254,142,1e-08
13,19,13,1e-08
14,444,243,1e-08
15,19,15,1e-08
16,19,15,1e-08
17,455,269,1e-08
18,354,187,1e-08
19,62,35,1e-08
20,1386,766,1e-08
21,406,217,1e-08
22,657,356,1e-08
23,1176,637,1e-08
24,1362,740,1e-08
25,748,2,1e-08
26,706,1,1e-08
27,249,1,1e-08
28,765,12,1e-08
29,1130,18,1e-08
30,410,3,1e-08
31,255,10,1e-08
32,627,27,1e-08
33,61,3,1e-08
34,447,1,1e-08
35,304,1,1e-08
36,254,1,1e-08
37,144,3,1e-08
38,296,4,1e-08
39,141,3,1e-08
40,346,1,1e-08
41,1144,6,1e-08
42,19,1,1e-08
43,956,30,1e-08
44,3012,7,1e-08
45,164,3,1e-08
46,141,1,1e-08
47,877,10,1e-08
48,144,1,1e-08
49,832,60,1e-08
50,556,2,1e-08
51,223,3,1e-08
52,261,183,1e-08
53,391,246,1e-08
54,1007,598,1e-08
55,112,70,1e-08
56,206,103,1e-08
57,1095,705,1e-08
58,569,383,1e-08
59,932,596,1e-08
60,1684,1036,1e-08
61,839,422,1e-08
62,53,27,1e-08
63,18,5,1e-08
64,410,189,1e-08
65,1378,3,1e-08
66,581,12,1e-08
67,253,3,1e-08
68,205,1,1e-08
69,6,3,1e-08
70,12,2,1e-08
71,142,2,1e-08
72,391,35,1e-08
73,974,3,1e-08
74,1628,4,1e-08
75,720,1,1e-08
76,368,1,1e-08
77,652,3,1e-08
78,394,4,1e-08
79,112,3,1e-08
80,205,1,1e-08
81,1187,3,1e-08
82,619,2,1e-08
83,330,19,1e-08
84,772,0,1e-08
85,504,1,1e-08
86,159,3,1e-08
87,19,3,1e-08
88,304,19,1e-08
89,508,14,1e-08
90,191,0,1e-08
91,387,3,1e-08
92,206,0,1e-08
93,1372,22,1e-08
94,653,27,1e-08
95,733,1,1e-08
96,642,1,1e-08
97,304,2,1e-08
98,354,52,1e-08
99,52,32,1e-08
100,19,3,1e-08
101,664,31,1e-08
102,70,28,1e-08
103,745,63,1e-08
104,3475,5,1e-08
105,133,30,1e-08
106,1413,37,1e-08
107,19,3,1e-08
108,1103,3,1e-08
109,518,68,1e-08
110,1101,82,1e-08
111,990,60,1e-08
112,998,0,1e-08
113,251,0,1e-08
114,143,0,1e-08
115,501,26,1e-08
116,51,23,1e-08
117,1366,1,1e-08
118,143,0,1e-08
119,1403,8,1e-08
120,494,0,1e-08
121,600,31,1e-08
122,609,0,1e-08
123,324,1,1e-08
124,114,1,1e-08
125,4023,51,1e-08
126,566,39,1e-08
127,603,42,1e-08
128,242,0,1e-08
129,445,0,1e-08
130,461,43,1e-08
131,646,0,1e-08
132,873,30,1e-08
133,803,45,1e-08
134,1009,0,1e-08
135,303,43,1e-08
136,715,5,1e-08
137,303,29,1e-08
138,607,4,1e-08
139,1453,32,1e-08
140,207,0,1e-08
141,1087,65,1e-08
142,252,0,1e-08
143,560,0,1e-08
144,1861,37,1e-08
145,840,0,1e-08
146,1630,83,1e-08
147,1203,0,1e-08
148,250,0,1e-08
149,806,0,1e-08
150,1603,134,1e-08
151,446,0,1e-08
152,250,0,1e-08
153,457,0,1e-08
154,1028,1,1e-08
155,510,0,1e-08
156,165,36,1e-08
157,303,0,1e-08
158,738,51,1e-08
159,611,0,1e-08
160,148,0,1e-08
161,917,1,1e-08
162,400,2,1e-08
163,1286,83,1e-08
164,1050,86,1e-08
165,19,9,1e-08
166,499,0,1e-08
167,392,0,1e-08
168,278,6,1e-08
169,900,48,1e-08
170,268,8,1e-08
171,612,1,1e-08
172,2021,21,1e-08
173,1210,49,1e-08
174,323,0,1e-08
175,206,1,1e-08
176,1361,57,1e-08
177,781,14,1e-08
178,828,49,1e-08
179,975,100,1e-08
180,251,0,1e-08
181,52,49,1e-08
182,969,15,1e-08
183,251,0,1e-08
184,514,95,1e-08
185,651,14,1e-08
186,623,0,1e-08
187,1000,67,1e-08
188,248,1,1e-08
189,416,1,1e-08
190,19,13,1e-08
191,52,48,1e-08
192,370,1,1e-08
193,110,1,1e-08
194,643,13,1e-08
195,114,0,1e-08
196,537,1,1e-08
197,529,62,1e-08
198,166,15,1e-08
199,143,1,1e-08
200,453,51,1e-08
201,18,13,1e-08
202,72,61,1e-08
203,691,66,1e-08
204,323,66,1e-08
205,355,32,1e-08
206,114,2,1e-08
207,949,75,1e-08
208,346,2,1e-08
209,207,0,1e-08
210,19,16,1e-08
211,801,0,1e-08
212,553,1,1e-08
213,1268,83,1e-08
214,1272,0,1e-08
215,427,52,1e-08
216,1438,61,1e-08
217,510,1,1e-08
218,348,2,1e-08
219,568,115,1e-08
220,19,14,1e-08
221,301,46,1e-08
222,348,1,1e-08
223,1054,2,1e-08
224,347,3,1e-08
225,1631,3,1e-08
226,1311,2,1e-08
227,677,51,1e-08
228,203,1,1e-08
229,224,16,1e-08
230,971,296,1e-08
231,50,9,1e-08
232,533,51,1e-08
233,457,1,1e-08
234,699,1,1e-08
235,1007,4,1e-08
236,338,17,1e-08
237,864,0,1e-08
238,52,51,1e-08
239,1735,457,1e-08
240,143,2,1e-08
241,843,345,1e-08
242,250,1,1e-08
243,341,80,1e-08
244,475,16,1e-08
245,301,2,1e-08
246,409,1,1e-08
247,303,1,1e-08
248,144,0,1e-08
249,204,0,1e-08
250,902,1,1e-08
251,1199,1,1e-08
252,616,0,1e-08
253,1387,2,1e-08
254,459,1,1e-08
255,1837,66,1e-08
256,52,49,1e-08
257,1459,505,1e-08
258,1218,18,1e-08
259,552,0,1e-08
260,194,50,1e-08
261,525,20,1e-08
262,502,1,1e-08
263,664,1,1e-08
264,221,98,1e-08
265,306,170,1e-08
266,303,2,1e-08
267,1972,115,1e-08
268,304,1,1e-08
269,257,52,1e-08
270,256,49,1e-08
271,19,16,1e-08
272,359,47,1e-08
273,245,31,1e-08
274,300,2,1e-08
275,52,52,1e-08
276,739,69,1e-08
277,257,1,1e-08
278,206,1,1e-08
279,1093,36,1e-08
280,353,51,1e-08
281,469,50,1e-08
282,152,33,1e-08
283,837,19,1e-08
284,636,18,1e-08
285,1243,659,1e-08
286,113,2,1e-08
287,303,1,1e-08
288,369,53,1e-08
289,672,104,1e-08
290,324,31,1e-08
291,2077,499,1e-08
292,394,1,1e-08
293,685,201,1e-08
294,498,52,1e-08
295,301,1,1e-08
296,204,0,1e-08
297,204,1,1e-08
298,610,99,1e-08
299,111,1,1e-08
300,1360,51,1e-08
301,115,0,1e-08
302,417,0,1e-08
303,32,1,1e-08
304,807,1,1e-08
305,143,1,1e-08
306,898,618,1e-08
307,1024,2,1e-08
308,193,51,1e-08
309,1232,52,1e-08
310,207,1,1e-08
311,258,52,1e-08
312,902,144,1e-08
313,142,1,1e-08
314,2088,284,1e-08
315,257,52,1e-08
316,132,13,1e-08
317,302,53,1e-08
318,51,51,1e-08
319,164,52,1e-08
320,52,52,1e-08
321,1044,25,1e-08
322,19,16,1e-08
323,53,1,1e-08
324,248,51,1e-08
325,53,52,1e-08
326,399,51,1e-08
327,1045,54,1e-08
328,270,14,1e-08
329,19,15,1e-08
330,162,15,1e-08
331,2901,203,1e-08
332,442,1,1e-08
333,53,53,1e-08
334,820,25,1e-08
335,18,14,1e-08
336,507,1,1e-08
337,350,1,1e-08
338,777,17,1e-08
339,193,52,1e-08
340,554,1,1e-08
341,19,15,1e-08
342,52,51,1e-08
343,251,1,1e-08
344,393,0,1e-08
345,414,1,1e-08
346,60,14,1e-08
347,304,1,1e-08
348,19,16,1e-08
349,1091,20,1e-08
350,813,45,1e-08
351,559,2,1e-08
352,1170,15,1e-08
353,305,2,1e-08
354,509,404,1e-08
355,124,17,1e-08
356,406,2,1e-08
357,144,1,1e-08
358,206,1,1e-08
359,204,1,1e-08
360,557,1,1e-08
361,302,53,1e-08
362,1024,121,1e-08
363,165,51,1e-08
364,252,1,1e-08
365,1321,53,1e-08
366,525,1,1e-08
367,564,1,1e-08
368,499,53,1e-08
369,303,1,1e-08
370,2405,301,1e-08
371,367,18,1e-08
372,852,277,1e-08
373,366,57,1e-08
374,1051,1,1e-08
375,555,1,1e-08
376,745,19,1e-08
377,1276,168,1e-08
378,308,1,1e-08
379,457,33,1e-08
380,70,68,1e-08
