episode,steps,actions,episode_reward
1,1070,603,876.038438667248
2,783,418,656.3999348304881
3,1220,374,466.5117635180231
4,206,3,4.570646175450168
5,1180,1,7.095377917783357
6,19,15,51.164345810453796
7,567,27,77.49970787867663
8,653,343,574.1965080710272
9,205,113,173.19327627511115
10,584,326,449.398019848563
11,1361,742,1128.8058889031568
12,72,56,137.2364413398291
13,232,113,327.6409618588035
14,161,87,172.68311791703758
15,529,264,453.0970962150303
16,1158,644,558.9458178461581
17,822,1,4.256490746901485
18,986,1,2.837047161460549
19,142,1,16.152968591368733
20,352,3,8.720046466050958
21,530,201,359.0293128923962
22,302,169,245.36903447242238
23,51,30,77.5945339088039
24,247,138,201.87468751439985
25,103,65,126.34290012878421
26,361,198,311.9273330292187
27,207,115,169.59009672306826
28,884,500,758.2356798023789
29,401,264,900.4369223581751
30,251,115,660.4282251044385
31,52,41,87.8671935387266
32,554,273,1409.048469311924
33,1939,1267,3979.522367702352
34,113,55,183.74496187785874
35,204,91,385.06477797621596
36,983,640,2017.8069922349569
37,510,252,907.085096795548
38,6,3,2.9958953367353267
39,275,95,503.8150378167004
40,373,117,917.9847965919823
41,19,10,53.93163885410324
42,641,244,1028.164370497646
43,580,291,758.4926500606065
44,390,103,986.8476375483878
45,19,4,56.923088604256876
46,621,223,1171.352655259056
47,1227,363,2604.58628000956
48,878,233,1809.606986783123
49,1391,246,2527.888775023603
50,341,51,696.9514079268023
51,336,59,641.45465015864
52,89,7,182.70666169392715
53,755,179,1063.1075458298012
54,1911,288,3822.5734340477966
55,154,52,159.47765571748613
56,2533,383,5589.862104532971
57,257,40,556.6286652883286
58,2728,368,5389.574522325064
59,1651,196,3769.5050828429485
60,437,103,707.9498004113922
61,657,72,1403.0962213731882
62,854,90,1825.142841397495
63,883,114,1943.426386158754
64,225,1,12.7731522595471
65,745,3,13.191620982674658
66,288,1,4.871437271121197
67,970,1,53.93701623733425
68,249,3,8.78049166958585
69,20,1,44.99196104137813
70,443,2,27.834439265624148
71,586,3,213.8757243895171
72,303,3,7.859997049089588
73,113,1,17.196879597833533
74,1388,2,122.06846831907765
75,222,3,77.96173839060981
76,1003,1,28.387031699397383
77,497,3,114.24254731741078
78,478,5,87.42512507109967
79,301,17,655.7904254137776
80,51,3,134.6132262185418
81,192,15,413.4591271871191
82,721,54,1747.684351710066
83,19,0,57.00000001
84,132,7,204.0348789870923
85,657,43,1539.3784567373025
86,397,23,883.9725545777453
87,326,1,44.000911139247684
88,2386,48,429.93454233794046
89,103,32,230.65589191977796
90,1843,452,4242.223541495547
91,1296,265,2415.4676352579586
92,304,33,606.9577069279859
93,1405,283,3034.9114626642076
94,52,5,152.98971136949402
95,458,36,1128.1497168209698
96,1379,199,2744.058677560662
97,448,79,853.3551831808311
98,1132,1,46.83979831012956
99,878,6,184.24413908610583
100,302,3,26.825312717020385
101,165,1,61.871646409057014
102,59,17,176.69858694108868
103,704,62,1179.9952716246223
104,799,19,1464.1272587328333
105,457,0,652.6127488749954
106,258,16,465.12588680680693
107,52,13,155.54634225624912
108,549,4,820.5456063170964
109,301,0,427.2525192277234
110,508,18,804.7095589700874
111,559,35,926.0832401626669
112,283,8,486.09321041620507
113,1212,151,2371.2503331433695
114,444,42,712.163290135308
115,711,4,1170.1439804061608
116,601,20,885.807153259654
117,26,11,23.98794419550556
118,310,36,569.2580723877454
119,1621,33,2230.5007802179275
120,952,99,1578.657288033387
121,142,7,236.476227265693
122,19,14,17.99198589392216
123,549,3,1011.9311068765313
124,648,102,999.1519228078665
125,372,36,656.5121982870941
126,1056,100,1684.086023410166
127,249,0,353.92275018366524
128,205,0,295.0329254448068
129,337,49,485.88624891700624
130,104,38,301.3937379327306
131,38,32,20.98579254576758
132,603,30,995.6034031868098
133,312,0,442.8663986675738
134,443,6,622.5711280340713
135,581,126,983.5899083771408
136,1459,141,2342.551911073251
137,421,1,610.5142475741051
138,254,29,403.9621370193541
139,303,0,430.9092556804697
140,556,67,913.4499976314088
141,496,38,815.0871380569971
142,383,89,549.7549587487864
143,166,64,264.10874703665735
144,677,170,1053.2267101374694
145,19,19,8.991812781291049e-05
146,1263,241,1974.6379798632815
147,1217,43,1620.9075642347862
148,680,51,1104.1379600513774
149,1201,37,2230.015805985136
150,1252,173,1687.654812631543
151,302,45,408.2641017450374
152,810,99,1518.3944469306743
153,582,19,734.3505908866933
154,52,44,151.46068460244942
155,427,97,784.6827461819229
156,53,41,151.35004872687875
157,323,19,454.4284424505452
158,257,36,441.88951360701407
159,52,40,140.35713245637527
160,361,21,604.6778699726203
161,1466,181,2548.29443470011
162,668,39,914.0505461908378
163,1552,670,2543.3234119739227
164,257,154,516.0691249708634
165,1091,617,1565.8536850629782
166,377,169,678.6026414145923
167,477,254,592.2240656490228
168,114,23,231.1689385106315
169,214,113,437.05353157553117
170,572,217,922.1614298137765
171,1105,776,2005.5287695261486
172,609,236,996.0495284089716
173,1399,563,2385.525855686704
174,468,250,698.4964812285908
175,1009,46,1774.7205357366195
176,1701,54,3801.2035566068384
177,573,203,943.0282481277044
178,1169,591,2292.351773388805
179,592,416,1020.8234961490418
180,732,506,1098.2972725297059
181,140,55,278.3735973496727
182,1023,586,1763.9591322383826
183,468,280,599.1430959044294
184,51,51,146.89735455917074
185,66,43,96.20050219159677
186,1613,865,2625.0128483978788
187,467,285,477.58032996907417
188,714,377,1034.8869085126164
189,252,22,606.8528052952455
190,254,138,296.09104823992305
191,1746,1065,2739.4147257446534
192,760,416,905.8062441622429
193,19,18,53.96447775234209
194,225,76,348.0640897653108
195,734,157,1613.2296829170439
196,454,234,664.1058859893052
197,1176,414,2236.249197299762
198,144,57,192.52899203296894
199,51,32,132.9064246707859
200,205,131,228.75140943953465
201,304,181,406.6698262144917
202,235,214,538.34768934078
