episode,steps,actions,episode_reward
1,1221,685,1e-08
2,341,209,1e-08
3,570,326,1e-08
4,115,72,1e-08
5,201,115,1e-08
6,542,307,1e-08
7,536,291,1e-08
8,1527,763,1e-08
9,2733,9,1e-08
10,466,3,1e-08
11,454,2,1e-08
12,616,3,1e-08
13,275,3,1e-08
14,403,2,1e-08
15,1289,4,1e-08
16,777,3,1e-08
17,253,1,1e-08
18,810,331,1e-08
19,909,492,1e-08
20,269,158,1e-08
21,412,234,1e-08
22,19,17,1e-08
23,304,158,1e-08
24,301,1,1e-08
25,788,3,1e-08
26,1215,3,1e-08
27,349,23,1e-08
28,2305,33,1e-08
29,29,15,1e-08
30,115,72,1e-08
31,695,458,1e-08
32,2519,1456,1e-08
33,1354,653,1e-08
34,188,101,1e-08
35,731,394,1e-08
36,222,115,1e-08
37,461,218,1e-08
38,1313,777,1e-08
39,837,619,1e-08
40,204,137,1e-08
41,366,256,1e-08
42,19,17,1e-08
43,430,206,1e-08
44,517,267,1e-08
45,659,370,1e-08
46,436,290,1e-08
47,643,313,1e-08
48,153,82,1e-08
49,802,439,1e-08
50,575,308,1e-08
51,856,508,1e-08
52,114,67,1e-08
53,625,344,1e-08
54,782,88,1e-08
55,695,1,1e-08
56,657,3,1e-08
57,1533,533,1e-08
58,502,333,1e-08
59,479,260,1e-08
60,226,111,1e-08
61,263,119,1e-08
62,1478,887,1e-08
63,2662,487,1e-08
64,201,3,1e-08
65,337,3,1e-08
66,245,29,1e-08
67,586,280,1e-08
68,19,17,1e-08
69,1978,1147,1e-08
70,839,421,1e-08
71,816,483,1e-08
72,114,61,1e-08
73,303,138,1e-08
74,251,166,1e-08
75,171,95,1e-08
76,499,2,1e-08
77,113,3,1e-08
78,2323,289,1e-08
79,604,442,1e-08
80,555,402,1e-08
81,542,405,1e-08
82,102,85,1e-08
83,505,415,1e-08
84,298,254,1e-08
85,52,42,1e-08
86,370,291,1e-08
87,216,159,1e-08
88,144,116,1e-08
89,347,285,1e-08
90,444,383,1e-08
91,210,170,1e-08
92,314,256,1e-08
93,813,786,1e-08
94,37,37,1e-08
95,978,940,1e-08
96,534,527,1e-08
97,864,839,1e-08
98,1093,1050,1e-08
99,114,82,1e-08
100,851,705,1e-08
101,195,186,1e-08
102,645,539,1e-08
103,371,326,1e-08
104,164,134,1e-08
105,19,19,1e-08
106,300,294,1e-08
107,667,615,1e-08
108,526,477,1e-08
109,252,241,1e-08
110,702,637,1e-08
111,643,578,1e-08
112,1203,1113,1e-08
113,614,545,1e-08
114,777,765,1e-08
115,845,805,1e-08
116,248,245,1e-08
117,602,548,1e-08
118,440,430,1e-08
119,1543,1428,1e-08
120,1033,936,1e-08
121,257,221,1e-08
122,511,499,1e-08
123,341,324,1e-08
124,300,290,1e-08
125,418,339,1e-08
126,916,857,1e-08
127,456,369,1e-08
128,994,908,1e-08
129,204,163,1e-08
